tag,defect_weight,lambda_area,lambda_dice,lambda_tv,area_loss_type,checkpoint,val_sample_count,val_mse,val_mae,val_iou,val_dice,val_area_error,val_center_error,val_area_ratio,val_pred_area_gt_true_count,val_polygon_count,val_polygon_iou,val_polygon_dice,val_polygon_area_error,val_polygon_area_ratio,val_small_polygon_count,val_small_polygon_iou,val_small_polygon_dice,val_small_polygon_area_error,val_small_polygon_area_ratio,val_small_polygon_pred_area_zero,val_medium_polygon_count,val_medium_polygon_area_error,val_medium_polygon_area_ratio,val_multi_defect_count,val_multi_defect_center_error,val_multi_defect_iou,val_multi_defect_dice,test_sample_count,test_mse,test_mae,test_iou,test_dice,test_area_error,test_center_error,test_area_ratio,test_pred_area_gt_true_count,test_polygon_count,test_polygon_iou,test_polygon_dice,test_polygon_area_error,test_polygon_area_ratio,test_small_polygon_count,test_small_polygon_iou,test_small_polygon_dice,test_small_polygon_area_error,test_small_polygon_area_ratio,test_small_polygon_pred_area_zero,test_medium_polygon_count,test_medium_polygon_area_error,test_medium_polygon_area_ratio,test_multi_defect_count,test_multi_defect_center_error,test_multi_defect_iou,test_multi_defect_dice
v4_weight_area_w5_a004,5,0.04,0.03,0.0,symmetric,checkpoints/best_model_v4_w5_dice003_area004.pt,200,31842.778635253908,62.644233837127686,0.35835036431096057,0.5071138276386048,0.8901532831774142,1.0741780280694366,1.8779548050726387,189,60,0.22628577029194966,0.3457485505191858,1.2976312830910268,2.2894561773107003,22,0.12230424808262935,0.1996510554055826,1.7196791031610184,2.7196791031610186,0,24,1.4035059080071874,2.3853047624056702,60,1.0067259341478347,0.3621269404674722,0.5238043219739303,200,32006.030270996092,62.597277059555054,0.3513328566094429,0.4961972694661682,0.9115109355995752,1.1146607244946063,1.8985737811066568,191,60,0.22057597017568342,0.3351089793639442,1.4283038281566514,2.4278396931355553,25,0.12367600642472149,0.2028041936059578,1.7443154467655695,2.7443154467655693,0,21,1.7033590053698366,2.703359005369837,60,0.8645409809425473,0.38707408181255,0.5494363313224894
v4_weight_area_w5_a007,5,0.07,0.03,0.0,symmetric,checkpoints/best_model_v4_w5_dice003_area007.pt,200,31651.104196777345,79.03899454116821,0.34847670875126724,0.49053806932258776,0.7930981957202539,1.2474395049363374,1.7604808622230705,183,60,0.1940367423876159,0.29506485570913676,1.0925519244848398,2.049886036992955,22,0.06785158657455749,0.11247920651038995,1.1897193186886057,2.189719318688606,0,24,1.4048291909354094,2.334498587773916,60,1.003112794458866,0.36732679606934376,0.5290248151672551,200,31943.718056640624,79.21607551574706,0.34313316864210924,0.4829267077089133,0.8032971103205623,1.3119587495550513,1.7843970289153586,187,60,0.19243967751564506,0.2895852272780541,1.1621723749915966,2.1538821530139782,25,0.07069190380586624,0.11966710843653999,1.2157090553012653,2.2129264466056138,0,21,1.5848115285202726,2.5848115285202726,60,0.8746575087308883,0.3841378653027606,0.5472009828702474
v4_weight_area_w7_a004,7,0.04,0.03,0.0,symmetric,checkpoints/best_model_v4_w7_dice003_area004.pt,200,33566.12069580078,65.77838255882263,0.34598670986828495,0.4911901751931485,0.9305332303345559,1.0916647432025652,1.9061385483835391,189,60,0.20260953383305144,0.30979185923044866,1.148373766498984,2.0890926193702444,22,0.07220110384034975,0.1216643931668513,0.9653927233418794,1.934636845761593,0,24,1.5756648758760397,2.4556548958361195,60,0.932417513243854,0.36362472169572,0.5241857344182236,200,33395.2433972168,64.69249606132507,0.34489219766290263,0.4886719249357852,0.9116124968326887,1.2054167686216533,1.8861755684886097,187,60,0.21007665627783426,0.31788656535355797,1.20945649810971,2.149438076141343,25,0.10088576705658142,0.16686687136487827,0.9693412407951162,1.8882547998589962,0,21,1.8617384118630906,2.78678868354409,60,0.9657322222987811,0.39259717951448864,0.5574625636672846
v4_weight_area_w7_a007,7,0.07,0.03,0.0,symmetric,checkpoints/best_model_v4_w7_dice003_area007.pt,200,33121.604375,80.48366231918335,0.3464697055743779,0.49242967903346957,0.9676636526295327,1.1509306729584932,1.9532075558532072,189,60,0.20700483838473646,0.31550179919442256,1.3345858808210083,2.3201155876907924,22,0.08373101573024465,0.13582063967872168,1.3312781857170262,2.3312781857170255,0,24,1.6846668617236926,2.6484911288981565,60,0.9749788385505478,0.36557347936026174,0.527040435933056,200,32745.35631347656,79.95208255767822,0.34510157518209056,0.4887033680777472,0.8951350983880453,1.2881017105281354,1.8843734117369955,192,60,0.21216286360616415,0.32151244879921564,1.175491774732304,2.159147306471405,25,0.10971023963096303,0.17677577638470146,1.0197847665123658,2.0026964074660825,0,21,1.6768102756553456,2.6504550794888293,60,1.0144512608647347,0.39328241401587505,0.5572370580727327
