variant,seed,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
C0_reference_20_77,42,False,train,curvature_template,LD_dominant,31,0.5741787552833557,1.5409376517899576,1.7603319900170449,0.937038924424879,0.16336119126889012,0.7955886213852622,0.8812765123877294,0.0004678505892732045
C0_reference_20_77,42,False,train,curvature_template,WD_dominant,34,0.5740422220791087,1.711305908858776,1.74852782707004,0.8593385800280992,0.16193890199065208,0.799398995788511,0.8813265034290211,0.00043225963460880685
C0_reference_20_77,42,False,train,curvature_template,boxy,32,0.7813965873792768,2.3947298959828913,1.9915538097266108,0.8843667862238362,0.23977844836190343,0.7558409232589085,0.8537628592743853,0.00047286965252624213
C0_reference_20_77,42,False,train,curvature_template,round,33,0.5478228059681979,2.293872131542726,2.724679088050669,0.9555616505218275,0.12186748839237473,0.6918403773636534,0.806788745393744,0.0004040812233473513
C0_reference_20_77,42,False,train,curvature_template,sharp,32,0.7584445374086499,1.300202155020088,1.9382800983730704,0.8563367268070579,0.24253472685813904,0.7656946328222622,0.8586472940425318,0.0003607057769841049
C0_reference_20_77,42,False,train,depth_bin,deep,49,0.7335308540840538,2.210960932532135,2.4646488151379993,1.8031281050370664,0.16953236845378972,0.7740330223549358,0.8670441951360979,0.0008392999030659165
C0_reference_20_77,42,False,train,depth_bin,medium,57,0.6038685702441031,1.8755811048965705,1.9224297974193305,0.4376058458236226,0.19038068934490807,0.7710875907587222,0.8613957692509385,0.00022606841153710296
C0_reference_20_77,42,False,train,depth_bin,shallow,56,0.6126165214393821,1.511497596544879,1.7739828996626394,0.5750884804209428,0.19405326739485776,0.7407691535484199,0.8414482517101598,0.00027138741519853023
C0_reference_20_77,42,False,train,aspect_bin,balanced,44,0.6208881823854013,1.8866318762302399,1.1544641981070691,0.8431598776951432,0.1908841822296381,0.8166045122974854,0.8945084624030294,0.0004112336739787927
C0_reference_20_77,42,False,train,aspect_bin,compact,43,0.6049147816591485,2.1825397882697195,0.9424519164617672,0.9153199885040522,0.18076576240534006,0.7540368364958723,0.8539185249611209,0.0004282784365661724
C0_reference_20_77,42,False,train,aspect_bin,narrow,33,0.7023062209288279,1.8047172756809178,4.710101734508168,0.6683671149340543,0.17757260663942856,0.590769080820867,0.7362056112916001,0.00031804305895506826
C0_reference_20_77,42,False,train,aspect_bin,wide,42,0.6705601101829892,1.5112473936307997,1.9746218669627393,1.118758484410743,0.1903342976279202,0.8455505045202397,0.9127183907870698,0.0005286574901436411
C0_reference_20_77,42,False,val,curvature_template,LD_dominant,7,0.6122422175748008,2.0169592925480435,1.7371735157711166,1.0396747887134552,0.16992670510496413,0.7708902665087926,0.8622020129897628,0.0004973963098434199
C0_reference_20_77,42,False,val,curvature_template,WD_dominant,8,0.5755623318254948,2.1794049479067326,1.121430665254593,0.9555428810417652,0.1625201217830181,0.8290163376943593,0.9016032026373737,0.0004428030251801829
C0_reference_20_77,42,False,val,curvature_template,boxy,8,1.0848993062973022,4.1311317682266235,3.5968963727355003,1.5505812726914883,0.29439189471304417,0.6490655950215487,0.7696036267848003,0.0007921834931039484
C0_reference_20_77,42,False,val,curvature_template,round,8,0.555650319904089,2.5411951690912247,2.8146298713982105,0.9639923665672541,0.12040837993845344,0.6914397995665957,0.8032540742335992,0.000405061213314184
C0_reference_20_77,42,False,val,curvature_template,sharp,8,0.8980614170432091,1.7151479590684175,1.9169309921562672,1.1038779001682997,0.2875874303281307,0.7139632839841638,0.8249433520777772,0.0004415814364620019
C0_reference_20_77,42,False,val,depth_bin,deep,15,0.8076075077056885,2.968022448817889,2.061898182829221,1.8538930813471477,0.19662368322412174,0.759686425045561,0.8567555698135697,0.000865680759306997
C0_reference_20_77,42,False,val,depth_bin,medium,11,0.6240843019702218,1.7379283607006073,2.265720554373481,0.45514103363860736,0.19405260614373468,0.7559798269045067,0.8470672947300152,0.00021734141906067222
C0_reference_20_77,42,False,val,depth_bin,shallow,13,0.786157122025123,2.693554238631175,2.454455306323675,0.8503639457317499,0.23267812568407792,0.673310578773992,0.7893518728894636,0.0003660646549318559
C0_reference_20_77,42,False,val,aspect_bin,balanced,11,0.5932842791080475,2.0434416139667686,1.3655132868073203,0.9691003425554796,0.16673838550394232,0.8213266188195579,0.8953865281810619,0.0004110468269738538
C0_reference_20_77,42,False,val,aspect_bin,compact,12,0.6840317472815514,2.2491811141371727,1.193560974051555,0.793287243694067,0.2166540523370107,0.6973979351443628,0.8163562871502091,0.00039953058391499024
C0_reference_20_77,42,False,val,aspect_bin,narrow,6,0.9120086133480072,3.53168848156929,5.872409462928772,0.9753772392868996,0.21546641488869986,0.5021729147819999,0.6527574153351021,0.0004523794389873122
C0_reference_20_77,42,False,val,aspect_bin,wide,10,0.8992522805929184,2.7995591789484022,2.3181483201682567,1.7837864756584167,0.23819801919162273,0.8047706478255398,0.8868576388991938,0.0008104648775770329
C0_reference_20_77,42,False,test,curvature_template,LD_dominant,8,0.534515630453825,1.3322089686989784,1.5220104530453682,0.5988151694182307,0.16870633698999882,0.8239252853336293,0.9008601317873146,0.00030040049568924587
C0_reference_20_77,42,False,test,curvature_template,WD_dominant,8,0.5945873335003853,1.5125284045934677,2.072053261101246,0.6903284024447203,0.17555983737111092,0.7628549076288234,0.8555611478283318,0.0003001750992552843
C0_reference_20_77,42,False,test,curvature_template,boxy,7,1.0129569683756148,2.8708948769739697,3.7378687347684587,1.0998829613838876,0.2968375576393945,0.6856646136162109,0.8056992182341187,0.0006749187720872994
C0_reference_20_77,42,False,test,curvature_template,round,8,0.48412548936903477,2.5307678282260895,2.9484304636716843,0.809567965567112,0.09451494412496686,0.7040140414097328,0.8090204753659365,0.00032250385265797377
C0_reference_20_77,42,False,test,curvature_template,sharp,8,0.8057541735470295,1.3354333294555545,0.8424502350389957,0.8400186910293996,0.2817305736243725,0.7686691759088267,0.8622412203628356,0.00037658578730770387
C0_reference_20_77,42,False,test,depth_bin,deep,11,0.8449912585995414,2.5404307517138394,2.9875698035413567,1.6056505712595852,0.2155654328790578,0.7236289175070953,0.831895652371663,0.0007695775711908937
C0_reference_20_77,42,False,test,depth_bin,medium,11,0.5919377898628061,1.537653538313779,2.282412252642892,0.35451955043456773,0.18673906949433414,0.7769713650023706,0.8592070843925845,0.00019225778206336227
C0_reference_20_77,42,False,test,depth_bin,shallow,17,0.6256670741473928,1.7014614821356886,1.6044019898947548,0.567479483454543,0.2009768773089437,0.7511033217622028,0.8505428368227916,0.0002671508469468202
C0_reference_20_77,42,False,test,aspect_bin,balanced,9,0.6584528949525621,1.8952029546101887,1.1421854727798038,0.7563907868332334,0.2114582078324424,0.8190929765735533,0.8975372401462215,0.00036364109109854326
C0_reference_20_77,42,False,test,aspect_bin,compact,9,0.7641062074237399,3.0353415053751736,1.391526738802592,0.9845049911075168,0.22887498802608913,0.6468879869873566,0.7794648406823325,0.0004155142475307609
C0_reference_20_77,42,False,test,aspect_bin,narrow,9,0.7286640173859067,1.870572159687678,5.347712755203247,0.7129629066007005,0.17697085936864218,0.6095719926699948,0.7484987873118312,0.00037920713253293396
C0_reference_20_77,42,False,test,aspect_bin,wide,12,0.5901293096443018,1.0478102341294289,1.1926509787638981,0.7603578663741549,0.19051832860956588,0.8829485809569525,0.935987543094226,0.00039137425361938466
C1_split_heads,42,True,train,curvature_template,LD_dominant,31,0.4888829016877759,2.702924735123111,1.8392184347875657,0.8543625743158402,0.1138093977745983,0.7579739770574625,0.8559385590197325,0.00040161773581677416
C1_split_heads,42,True,train,curvature_template,WD_dominant,34,0.44874479775043097,2.311945774975945,1.9781706948928974,0.8921929440077614,0.09552599674583796,0.7714966931297473,0.8630029561533837,0.0004349729445975219
