split,group_name,group_value,sample_count,iou_mean,dice_mean,area_error_mean,center_error_px_mean,pred_area_mean,true_area_mean,pred_area_zero_mean,type_accuracy,center_mae_m,width_mae_m,length_mae_m,depth_mae_m,angle_mae_deg
train,overall,rect_rot,268,0.7016697862437046,0.8213074415126235,0.13817298361183158,2.170951606347484,359.55223880597015,410.00373134328356,0.0,0.9925373134328358,0.0008956835437044564,0.0009367848023661036,0.0005459366957031524,0.00023990137408723804,16.795588661524068
train,defect_type,rectangular_notch,134,0.7251506339308911,0.8375588081243529,0.1762877942916571,2.0957324755156757,456.089552238806,526.5298507462686,0.0,0.9925373134328358,0.0008731982759896239,0.0014093609582354774,0.0008311864829608309,0.00027179592480160186,nan
train,defect_type,rotated_rect,134,0.6781889385565182,0.8050560749008941,0.1000581729320061,2.246170737179291,263.0149253731343,293.4776119402985,0.0,0.9925373134328358,0.0009181688114192892,0.0004642086464967301,0.00026068690844547395,0.00020800682337287425,16.795588661524068
train,source_pack,pilot_v2_rectangular_notch,81,0.7174009200485396,0.8320118559135496,0.18798434458398772,1.9714598397409644,439.3333333333333,514.1481481481482,0.0,1.0,0.0008328781718628419,0.0015462093216217594,0.0008545875100901833,0.00032076548014617996,nan
train,source_pack,pilot_v3_rotated_rect,30,0.6773926303405747,0.8038842776526647,0.13467865042173982,2.3379110268522845,414.8666666666667,480.06666666666666,0.0,0.9666666666666667,0.0009165611475811775,0.0009983579938610395,0.0004866890454043945,0.00033013372449204327,14.503775380700146
train,source_pack,pilot_v7_topup_rotated_rect,16,0.7181696140896234,0.8345373334704521,0.0717491018307646,1.5703443553944112,222.3125,239.5,0.0,1.0,0.0005696774813238907,0.00016005680663511157,0.00017938704695552588,0.00019505387172102928,19.663011395814113
train,source_pack,pilot_v8_topup_rotated_rect,24,0.6598189277525692,0.7935757311532873,0.11341790909200872,2.3362789435707687,212.91666666666666,239.5,0.0,1.0,0.0009412166903110669,0.0003250756223375599,0.00018506865793218216,0.00015830221430708966,19.489756423751658
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.7369945362793904,0.8460362256540713,0.1584119344109254,2.28565857924684,481.6981132075472,545.4528301886793,0.0,0.9811320754716981,0.0009348195672022527,0.001200215346267763,0.0007954226490461602,0.00019695566097309566,nan
train,source_pack,pilot_v9_topup_rotated_rect,64,0.6754557932009462,0.8025401691239649,0.0858971908240028,2.338333494444492,220.796875,239.75,0.0,1.0,0.0009974022817828372,0.0003420389839448035,0.00020343021606095135,0.00017263730478589423,16.142707542502414
train,area_bin,small,102,0.6793407314653769,0.8058256470393158,0.08954741917059035,2.2196425809034936,219.12745098039215,239.3921568627451,0.0,1.0,0.0009129516942368177,0.000306129163386775,0.00019206678695684554,0.00017973185886683708,17.704804823641226
train,area_bin,medium,78,0.7213695979234004,0.8347731927663953,0.13409505105139058,2.1508308279138637,402.14102564102564,410.85897435897436,0.0,0.9871794871794872,0.000905210842682006,0.001276715766065396,0.0006705710115149999,0.00028346470431782876,9.137171258591641
train,area_bin,large,88,0.710089993929763,0.827316696495387,0.19814896443820673,2.132348666723726,484.5681818181818,607.0,0.0,0.9886363636363636,0.0008672235360391187,0.0013664695751768622,0.0008456327645531433,0.00027103036038831556,15.760184665456302
