observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
mag_x_5line_only,richer_obs_base_030,richer_obs_base_023,internal_cuboid,internal_cuboid,deep,medium,medium,small,elongated_y,elongated_y,0.4490177035331726,1.3000000715255737,1.1999998092651367,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_001,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.5243540406227112,5.0059967041015625,0.9999999403953552,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_002,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,large,large,elongated_y,elongated_y,0.6771146059036255,13.714591026306152,2.1999998092651367,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_003,richer_obs_base_010,internal_cuboid,internal_ellipsoid,deep_plus,medium,medium,large,compact,elongated_y,0.5744985342025757,13.579764366149902,2.1999998092651367,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_004,richer_obs_base_013,internal_ellipsoid,internal_cuboid,deep_plus,deep,large,large,compact,compact,0.7116268277168274,2.0615527629852295,0.9999999403953552,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_005,richer_obs_base_025,internal_ellipsoid,internal_ellipsoid,shallow,deep_plus,medium,medium,compact,elongated_x,0.6568080186843872,12.631706237792969,3.3999998569488525,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_006,richer_obs_base_019,internal_cuboid,internal_cuboid,shallow,deep_plus,large,medium,compact,elongated_y,0.596548855304718,17.346181869506836,3.3999998569488525,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_007,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,medium,medium,compact,elongated_y,0.4631297290325165,6.7082037925720215,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_008,richer_obs_base_025,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,elongated_x,0.6223984360694885,10.920622825622559,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_009,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,medium,small,compact,compact,0.705544650554657,13.82967758178711,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_010,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,medium,deep_plus,large,medium,elongated_y,elongated_y,0.4740976095199585,2.1000001430511475,2.1999998092651367,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_011,richer_obs_base_012,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
dual_mag_xy_5line,richer_obs_base_012,richer_obs_base_011,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
dual_mag_xy_5line,richer_obs_base_013,richer_obs_base_015,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,small,compact,elongated_y,0.6062553524971008,12.191800117492676,0.9999999403953552,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_014,richer_obs_base_019,internal_cuboid,internal_cuboid,deep_plus,deep_plus,large,medium,compact,elongated_y,0.6890276074409485,24.351797103881836,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_015,richer_obs_base_025,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,small,medium,elongated_y,elongated_x,0.5423952341079712,2.0024983882904053,0.0,True,True,False,False,True
dual_mag_xy_5line,richer_obs_base_016,richer_obs_base_023,internal_ellipsoid,internal_cuboid,deep_plus,medium,large,small,elongated_y,elongated_y,0.5713256597518921,3.1240999698638916,2.1999998092651367,False,False,True,True,False
