sample_id,split,component_types,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,short_note,preview_path,seed,extra_fragment_flag,third_largest_component_area_ratio
sample_101,test,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.2920634920634921,0.4520884520884521,0.0979381443298969,5.0266270778244735,426,388,localization,predicted mask center is far from the true union mask center.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v2_gate\sample_101_test_rectangular_notch_rectangular_notch_rectangular_notch.png,42,0,0.28169014084507044
sample_102,test,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.3162518301610542,0.48053392658509453,0.14256198347107438,6.357229814045813,415,484,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v2_gate\sample_102_test_rectangular_notch_rectangular_notch_rotated_rect.png,42,0,0.30120481927710846
sample_116,test,rotated_rect+rotated_rect+rotated_rect,3,3,0.32643312101910826,0.4921968787515006,0.007228915662650603,2.7967178556845216,418,415,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v2_gate\sample_116_test_rotated_rect_rotated_rect_rotated_rect.png,42,0,0.284688995215311
sample_103,test,rectangular_notch+rotated_rect+rotated_rect,3,3,0.4810606060606061,0.649616368286445,0.0633245382585752,6.352497217311012,403,379,localization,predicted mask center is far from the true union mask center.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v2_gate\sample_103_test_rectangular_notch_rotated_rect_rotated_rect.png,42,0,0.3002481389578164
sample_053,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.23839009287925697,0.385,0.09424083769633508,6.958725287036259,418,382,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v2_gate\sample_053_train_rectangular_notch_rectangular_notch_rectangular_notch.png,42,0,0.284688995215311
sample_032,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.27191679049034173,0.42757009345794394,0.03669724770642202,5.9806646380058135,420,436,missed component,component recall heuristic is below 1.0 for the three-component target.,,42,0,0.2833333333333333
sample_043,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.288961038961039,0.44836272040302266,0.09498680738786279,6.362184028463041,415,379,missed component,component recall heuristic is below 1.0 for the three-component target.,,42,0,0.29397590361445786
sample_018,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.31546707503828486,0.479627473806752,0.060948081264108354,6.318362207258836,416,443,localization,predicted mask center is far from the true union mask center.,,42,0,0.2956730769230769
sample_066,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.3378787878787879,0.5050962627406569,0.09698275862068965,4.37914691949485,419,464,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.2840095465393795
sample_078,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.3488,0.5172004744958482,0.09706546275395034,6.722812948345867,400,443,localization,predicted mask center is far from the true union mask center.,,42,0,0.315
sample_013,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.5688622754491018,0.7251908396946565,0.18333333333333332,3.311030925003556,426,360,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.28169014084507044
sample_073,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.5688622754491018,0.7251908396946565,0.18333333333333332,3.353126712393421,426,360,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.284037558685446
sample_023,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.5764023210831721,0.7312883435582822,0.17914438502673796,0.7168179655915442,441,374,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.31519274376417233
sample_003,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.5921787709497207,0.743859649122807,0.002336448598130841,3.325544298582345,427,428,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.28337236533957844
sample_002,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.6332046332046332,0.7754137115839244,0.009501187648456057,4.242486836600583,425,421,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.2823529411764706
sample_008,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.6334661354581673,0.775609756097561,0.04488778054862843,1.6479538596765684,419,401,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.324582338902148
sample_060,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.6474694589877836,0.7860169491525424,0.16342412451361868,0.586262350806446,430,514,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30930232558139537
sample_007,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.6800804828973843,0.8095808383233533,0.012048192771084338,1.4573191112036274,420,415,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30952380952380953
sample_030,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.6908127208480566,0.8171368861024033,0.21121495327102804,0.71313921576593,422,535,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3222748815165877
sample_005,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.7108433734939759,0.8309859154929577,0.03233256351039261,0.28240846284313426,419,433,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.324582338902148
sample_054,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.7251908396946565,0.8407079646017699,0.14754098360655737,2.3981383464794717,416,488,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30528846153846156
sample_004,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.7309236947791165,0.8445475638051044,0.013824884792626729,0.7487782510384995,428,434,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.2850467289719626
sample_009,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.7320754716981132,0.8453159041394336,0.06736842105263158,1.3831348681485287,443,475,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3160270880361174
sample_001,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.8295454545454546,0.906832298136646,0.13527851458885942,1.569267503290315,428,377,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.2850467289719626
sample_006,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.8385093167701864,0.9121621621621622,0.08620689655172414,1.9461137887464162,424,464,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3231132075471698
sample_098,val,rectangular_notch+rectangular_notch+rotated_rect,3,6,0.5885826771653543,0.7410161090458488,0.08527131782945736,0.8876119719257738,420,387,extra fragments,prediction has more connected components than the true three-component union mask.,,42,1,0.2976190476190476
sample_087,val,rectangular_notch+rotated_rect+rotated_rect,3,3,0.6294964028776978,0.7726269315673289,0.14344262295081966,4.482355940208962,418,488,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.284688995215311
sample_090,val,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.6643478260869565,0.7983281086729362,0.21121495327102804,1.275615422363665,422,535,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.31990521327014215
sample_092,val,rotated_rect+rotated_rect+rotated_rect,3,3,0.6962025316455697,0.8208955223880597,0.1559633027522936,0.10470579104191258,368,436,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.26902173913043476
