candidate,selected_seed,seed,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy
internal_conv1d_multitask,True,2026,train,shape_type,internal_cuboid,4,0.18079499900341034,0.5982259511947632,0.2461954653263092,0.04237872734665871,0.11413750797510147,0.4893174171447754,1.0
internal_conv1d_multitask,True,2026,train,shape_type,internal_ellipsoid,36,0.3989507555961609,1.1993486881256104,1.1610747575759888,0.08061584830284119,0.37850260734558105,0.7531505823135376,1.0
internal_conv1d_multitask,True,2026,train,shape_type,internal_sphere,24,0.4128960967063904,0.22704574465751648,0.36537447571754456,0.12674887478351593,0.727124035358429,0.9640119075775146,1.0
internal_conv1d_multitask,True,2026,train,burial_depth_level,deep,15,0.43228790163993835,0.6257085204124451,0.889001190662384,0.1008269190788269,0.6076975464820862,0.9646098613739014,1.0
internal_conv1d_multitask,True,2026,train,burial_depth_level,deep_plus,15,0.46951326727867126,0.9279168248176575,0.8116016983985901,0.10431749373674393,0.7663871645927429,0.9387047290802002,1.0
internal_conv1d_multitask,True,2026,train,burial_depth_level,medium,15,0.3654864430427551,0.865103542804718,0.829998254776001,0.0922112911939621,0.35105639696121216,0.7565321326255798,1.0
internal_conv1d_multitask,True,2026,train,burial_depth_level,shallow,19,0.3150314390659332,0.7756643295288086,0.7154441475868225,0.0870169997215271,0.2977108359336853,0.6478563547134399,1.0
internal_conv1d_multitask,True,2026,train,size_level,large,20,0.41805562376976013,0.8281573057174683,0.7366026043891907,0.13603425025939941,0.4233599901199341,0.837524950504303,1.0
internal_conv1d_multitask,True,2026,train,size_level,medium,21,0.3401309549808502,0.6568186283111572,0.69524747133255,0.04709405079483986,0.5451494455337524,0.8218312859535217,1.0
internal_conv1d_multitask,True,2026,train,size_level,small,23,0.4126543402671814,0.8983575105667114,0.9660959243774414,0.10452167689800262,0.5051426887512207,0.7912182211875916,1.0
internal_conv1d_multitask,True,2026,train,aspect_bin,compact,38,0.3766913115978241,0.4714192748069763,0.4940257668495178,0.10198533535003662,0.5729379057884216,0.8693076968193054,1.0
internal_conv1d_multitask,True,2026,train,aspect_bin,elongated_x,13,0.40983662009239197,1.0445603132247925,1.5565778017044067,0.08445849269628525,0.3782249689102173,0.6972894668579102,1.0
internal_conv1d_multitask,True,2026,train,aspect_bin,elongated_y,13,0.41175130009651184,1.501949667930603,0.9649204015731812,0.08771191537380219,0.3726968467235565,0.7775780558586121,1.0
internal_conv1d_multitask,True,2026,val,shape_type,internal_cuboid,16,0.6655377149581909,1.2471402883529663,1.7985163927078247,0.1440594494342804,0.7494717240333557,1.709830641746521,1.0
internal_conv1d_multitask,True,2026,val,burial_depth_level,deep,2,0.6138988733291626,0.7095008492469788,1.4454628229141235,0.09286974370479584,1.2363840341567993,1.9990105628967285,1.0
internal_conv1d_multitask,True,2026,val,burial_depth_level,medium,9,0.6487683057785034,1.131723165512085,1.6250354051589966,0.1303364485502243,0.8428446650505066,1.7710552215576172,1.0
internal_conv1d_multitask,True,2026,val,burial_depth_level,shallow,5,0.7163782119750977,1.6699466705322266,2.2520041465759277,0.18923671543598175,0.3866354823112488,1.4839545488357544,1.0
internal_conv1d_multitask,True,2026,val,size_level,large,6,0.8708767890930176,1.7834265232086182,2.5726613998413086,0.2625195384025574,0.6517891883850098,1.6803181171417236,1.0
internal_conv1d_multitask,True,2026,val,size_level,medium,5,0.6431894302368164,1.3181095123291016,1.4932595491409302,0.07823152095079422,1.0021615028381348,1.696183204650879,1.0
internal_conv1d_multitask,True,2026,val,size_level,small,5,0.4414790868759155,0.5326274633407593,1.1747995615005493,0.06773527711629868,0.6140007376670837,1.7588934898376465,1.0
internal_conv1d_multitask,True,2026,val,aspect_bin,compact,5,0.522952675819397,0.6260398030281067,1.3822133541107178,0.13686919212341309,0.6332710385322571,1.5911967754364014,1.0
