model,sample_index,source_index,area_bin,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y
current_baseline_on_overfit30,0,76,small,polygon,11108.0234375,30.407697677612305,0.3296943231441048,0.49589490968801314,0.1443661971830986,0.9417271614074707,4.948994030113241,4.324659398622032,False,False,True,-2.0073444843292236,4.637451648712158,-1.779849886894226,5.551287651062012
current_baseline_on_overfit30,1,747,small,polygon,10924.5419921875,29.515356063842773,0.4585152838427948,0.6287425149700598,0.21866666666666668,0.39819982647895813,4.461708464071322,5.710377727053739,False,True,False,-0.15924333035945892,4.694039821624756,-0.5384925007820129,4.572659492492676
current_baseline_on_overfit30,2,78,small,polygon,12846.16796875,29.13112449645996,0.27488151658767773,0.4312267657992565,0.7251184834123223,0.25054991245269775,1.7664101769019567,6.426078402177808,False,True,False,7.450615882873535,5.123650074005127,7.235466003417969,5.252047061920166
current_baseline_on_overfit30,3,618,small,polygon,12074.25,32.060386657714844,0.2625,0.4158415841584158,0.9560975609756097,0.8873811364173889,6.1062972494627985,3.121673157456044,False,False,True,-7.501033782958984,5.097357749938965,-7.776320934295654,4.253756999969482
current_baseline_on_overfit30,4,441,small,polygon,11164.22265625,26.649656295776367,0.0,0.0,0.8793103448275862,1.720533847808838,0.4263748702866792,3.5328203538039133,False,True,False,-2.471284866333008,4.401154041290283,-2.226217269897461,6.104145050048828
current_baseline_on_overfit30,5,433,small,polygon,6855.5361328125,23.034503936767578,0.0,0.0,1.0,nan,0.0,2.147102025372206,True,True,False,nan,nan,-4.503901958465576,4.6772685050964355
current_baseline_on_overfit30,6,677,small,rotated_rect,18724.439453125,38.96171951293945,0.15584415584415584,0.2696629213483146,0.1023454157782516,1.4424004554748535,6.410850728238998,7.1417790773018766,False,True,False,-6.7468581199646,5.147196292877197,-6.599254131317139,6.582024574279785
current_baseline_on_overfit30,7,85,small,rotated_rect,12239.0078125,34.12135696411133,0.49295774647887325,0.660377358490566,0.07391304347826087,0.3887612819671631,7.522470925772126,7.004730011852587,False,False,True,2.9232192039489746,5.039463520050049,3.0521085262298584,5.4062371253967285
current_baseline_on_overfit30,8,198,small,polygon,9378.05078125,25.263410568237305,0.0,0.0,1.0,nan,0.0,4.964221704052051,True,True,False,nan,nan,4.837069034576416,4.946396350860596
current_baseline_on_overfit30,9,846,small,polygon,17166.765625,38.83906555175781,0.24704336399474375,0.39620653319283455,0.3548387096774194,1.3576761484146118,8.314309970590244,6.1367525973404184,False,False,True,-7.357943534851074,5.215155124664307,-7.315673351287842,6.572173118591309
