sample_index,defect_type,area_bin,num_defects,complexity_level,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y,pred_area_gt_true
0,rotated_rect,,1.0,2.0,20213.19921875,37.73073959350586,0.25,0.4,0.6876484560570071,1.125193476676941,4.0048782459070225,12.821701456477996,-1.9927583932876587,4.188654899597168,-2.1501212120056152,5.30279016494751,False
1,polygon,,1.0,2.0,9903.4755859375,27.272493362426758,0.0,0.0,0.8226600985221675,1.6154872179031372,0.548196261797159,3.091217809578424,-3.685091972351074,4.236813068389893,-4.461345672607422,5.653580188751221,False
2,multi_defect,,2.0,3.0,10944.279296875,25.77104949951172,0.0,0.0,1.0,nan,0.0,7.019957685791397,nan,nan,6.553210258483887,5.320888042449951,False
3,multi_defect,,3.0,3.0,41419.046875,78.61764526367188,0.2755528989838613,0.4320524835988753,0.4940014114326041,3.7047200202941895,10.91824221412675,21.57761397129373,-3.557011127471924,4.823408603668213,0.1446363478899002,4.6725544929504395,False
4,rotated_rect,,1.0,2.0,25122.669921875,46.587852478027344,0.16417910447761194,0.28205128205128205,0.5020576131687243,1.966795563697815,5.52764563978802,11.100974301392469,-4.4235639572143555,4.712413311004639,-4.4404120445251465,6.679136753082275,False
5,rotated_rect,,1.0,2.0,18756.4296875,40.01997375488281,0.37688984881209503,0.5474509803921569,0.3716475095785441,1.0330281257629395,7.492015577894506,11.923268694088208,5.258610248565674,5.240822792053223,5.256647109985352,6.273849010467529,False
6,polygon,,1.0,2.0,12566.994140625,22.742223739624023,0.0,0.0,1.0,nan,0.0,5.786516096747789,nan,nan,3.3276913166046143,4.368952751159668,False
7,polygon,,1.0,2.0,41194.94921875,65.16024780273438,0.17163120567375886,0.2929782082324455,0.41306436119116235,2.225790023803711,9.304108776612892,15.85200857030118,-3.6290700435638428,4.780869483947754,-3.7500905990600586,7.003366947174072,False
8,polygon,,1.0,2.0,11385.2783203125,27.271955490112305,0.002506265664160401,0.005,0.8603988603988604,1.6262675523757935,0.7461560230016886,5.3449135525223,6.148600101470947,5.43599271774292,6.187131881713867,3.8101816177368164,False
9,rotated_rect,,1.0,2.0,13469.7890625,29.058443069458008,0.3856893542757417,0.5566750629722922,0.5921985815602837,1.0212751626968384,3.5023650059262934,8.588408101488824,-0.3657417595386505,4.664031028747559,-0.2835988402366638,5.681997299194336,False
10,rotated_rect,,1.0,2.0,10006.466796875,31.389118194580078,0.6614173228346457,0.7962085308056872,0.2740286298568507,0.2830350697040558,5.40582424827754,7.446332556078076,-2.875999689102173,4.37928581237793,-2.811758279800415,4.654933929443359,False
11,rotated_rect,,1.0,2.0,18518.6484375,37.55744171142578,0.02962962962962963,0.05755395683453238,0.5758196721311475,2.1803743839263916,3.152128505333664,7.431104882139266,-2.709562301635742,4.146781921386719,-2.832502841949463,6.323687553405762,False
12,polygon,,1.0,2.0,24764.376953125,42.72563171386719,0.30419161676646705,0.46648301193755737,0.6911057692307693,1.0650402307510376,3.9135122022741626,12.669424717089896,-2.175370931625366,4.162245273590088,-2.8126814365386963,3.3089306354522705,False
13,rotated_rect,,1.0,2.0,23503.470703125,40.55596923828125,0.13443396226415094,0.23700623700623702,0.41254125412541254,1.8465970754623413,5.42105192221635,9.227970406918843,3.1599009037017822,5.08625602722168,3.135230541229248,3.239823818206787,False
14,rotated_rect,,1.0,2.0,14096.921875,36.42698669433594,0.5656877897990726,0.7226061204343535,0.3060200668896321,0.5719785690307617,6.319484684606138,9.106149015408363,-3.401404857635498,4.6157965660095215,-3.2220466136932373,4.072666645050049,False
15,polygon,,1.0,2.0,15101.8046875,38.094200134277344,0.5454545454545454,0.7058823529411765,0.13065976714100905,0.5317409038543701,10.2329968868803,11.770991954700108,-0.7306622266769409,4.6703643798828125,-0.6343164443969727,4.147424697875977,False
16,polygon,,1.0,2.0,16574.416015625,42.07028579711914,0.6141257536606374,0.7609391675560299,0.17348927875243664,0.5038827061653137,12.913067500110856,15.62359346121903,0.24924148619174957,4.796311855316162,0.6600252389907837,4.504499435424805,False
17,rotated_rect,,1.0,2.0,15465.5068359375,31.018400192260742,0.23356401384083045,0.37868162692847124,0.6722532588454376,0.8161892294883728,2.680070613230555,8.177260905140955,-1.6814182996749878,4.1787190437316895,-1.845680832862854,3.37923002243042,False
