split,sample_count,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error
train,162,0.6461113923125796,0.4468101876799339,0.8454125907134127,1.8511671239487182,2.035119338122047,0.8981590448292317,0.19226883443785303,0.18994916294827874,0.17381475185170586,0.18534424889510798,0.7614980454774725,0.8562088055848226,0.0004272178392528548,0.33068725696684403,0.0008981590486924957,0.5254112478704511
val,39,0.7486944236816504,0.5487817963346456,0.9486070420497503,2.5295834308251357,2.2502389185321636,1.1248635611472986,0.21566433020127126,0.211593950406099,0.19649168314077917,0.20791665512399796,0.7298490255306381,0.8315550804306858,0.0005162771157278584,0.39211613551164287,0.001124863560574177,0.7934174726721338
test,39,0.6780143536818333,0.4387845003213256,0.9172442085467852,1.8918915996566796,2.1857599088778863,0.8002313476246901,0.2094394748027508,0.20446911683449379,0.18931882809369993,0.20107580616306037,0.7506502455785019,0.8477271366767738,0.0003877372636895579,0.3405436946031375,0.0008002313403173899,0.5764562522168966
