model,observation_config,split,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_euclidean_mean_mm,shape_accuracy,shape_macro_f1,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count
ridge_feature_probe,R0_3line_z0p008,train,20,0.2908349633216858,0.374838650226593,0.6372211575508118,0.054477497935295105,0.36419305205345154,1.0031640529632568,2.102187395095825,0.7,0.7571428571428571,2.102187395095825,1.7158279418945312,3.751904010772705,3.9198129177093506,4.223820686340332,0.36419305205345154,0.3848784863948822,0.6442310214042664,0.8942849636077881,1.0326213836669922,3,0.15,0,0.0,6,1
ridge_feature_probe,R0_3line_z0p008,val,5,0.7603190541267395,0.7988854050636292,1.644286870956421,0.09805920720100403,1.49144446849823,2.604691743850708,5.350612640380859,0.6,0.5,5.350612640380859,4.443296432495117,8.894213676452637,9.384025573730469,9.8738374710083,1.4914443492889404,1.879802942276001,2.3629608154296875,2.5093374252319336,2.655714273452759,4,0.8,1,0.2,2,3
ridge_feature_probe,R0_3line_z0p008,test,5,0.7082778215408325,0.8422194123268127,0.8554635643959045,0.06353729218244553,1.2857052087783813,2.608006000518799,5.230869293212891,0.8,0.6,5.230869293212891,4.556798934936523,8.16668701171875,8.202906608581543,8.239126205444336,1.285705327987671,1.2772740125656128,1.8052868843078613,1.8329362869262695,1.8605855703353882,4,0.8,1,0.2,1,3
ridge_feature_probe,R1_5line_z0p008,train,20,0.2728293240070343,0.4158768951892853,0.655656099319458,0.05682867392897606,0.23634257912635803,0.9491791725158691,2.0349087715148926,0.7,0.7424242424242425,2.0349087715148926,2.0139973163604736,3.2981362342834473,3.4050731658935547,5.132421493530273,0.23634257912635803,0.23690497875213623,0.4597438871860504,0.5069236159324646,0.6237456798553467,2,0.1,0,0.0,6,0
ridge_feature_probe,R1_5line_z0p008,val,5,0.8945277333259583,0.9047402739524841,1.9433181285858154,0.15435507893562317,1.736825704574585,2.2732086181640625,4.357251167297363,0.4,0.3333333333333333,4.357251167297363,4.243299961090088,5.91070032119751,6.252288341522217,6.593875885009766,1.736825704574585,1.5693353414535522,2.6049318313598633,2.7067041397094727,2.808476209640503,4,0.8,2,0.4,3,3
ridge_feature_probe,R1_5line_z0p008,test,5,0.5811147689819336,1.046040415763855,1.0089843273162842,0.05576435849070549,0.7196089029312134,2.238818407058716,4.829686164855957,0.8,0.6,4.829686164855957,4.080211639404297,8.434004783630371,8.58078384399414,8.727563858032227,0.7196089029312134,0.5041258335113525,1.2507578134536743,1.4288166761398315,1.6068755388259888,1,0.2,0,0.0,1,1
ridge_feature_probe,R1_9line_z0p008,train,20,0.21122393012046814,0.3956454396247864,0.4476158022880554,0.036470428109169006,0.2345646768808365,0.6787732839584351,1.4319051504135132,0.8,0.8282828282828283,1.4319051504135132,1.125519871711731,2.6790666580200195,2.9908339977264404,3.9271321296691895,0.23456469178199768,0.20956547558307648,0.43693864345550537,0.5738008618354797,0.7024144530296326,0,0.0,0,0.0,4,0
ridge_feature_probe,R1_9line_z0p008,val,5,0.8335026502609253,1.4091469049453735,1.1806620359420776,0.1427517980337143,1.2862645387649536,2.521364688873291,5.304526329040527,0.4,0.3333333333333333,5.304526329040527,4.810205459594727,7.595104694366455,8.360095977783203,9.12508773803711,1.2862643003463745,1.313783884048462,1.8008307218551636,1.9282512664794922,2.0556719303131104,5,1.0,2,0.4,3,4
ridge_feature_probe,R1_9line_z0p008,test,5,0.5999664664268494,1.0395196676254272,0.9996955990791321,0.10507968813180923,0.868050217628479,1.7561925649642944,3.5452656745910645,0.8,0.6,3.5452656745910645,4.452853679656982,4.5565314292907715,4.561165809631348,4.565800189971924,0.868050217628479,0.5893616676330566,1.7558683156967163,1.917405366897583,2.0789425373077393,4,0.8,1,0.2,1,2
ridge_feature_probe,R2_5line_multi_liftoff,train,20,0.032194752246141434,0.05110292136669159,0.06842043250799179,0.006119959522038698,0.04499971866607666,0.09197618812322617,0.18955755233764648,0.9,0.9055555555555556,0.18955755233764648,0.18752571940422058,0.27217215299606323,0.2967594265937805,0.325336217880249,0.04499971494078636,0.036305516958236694,0.09839782863855362,0.11796871572732925,0.13015983998775482,0,0.0,0,0.0,2,0
