group_key,group_value,sample_count,schema_pass_count,mean_delta_norm
source_pack,v2_120_source,112,112,0.02060581645488543
source_pack,v3_topup_20_76,128,128,0.020733162326620938
split,test,39,39,0.020861642717668955
split,train,162,162,0.020635054273500836
split,val,39,39,0.02064649647329292
curvature_template,LD_dominant,46,46,0.020140155362794673
curvature_template,WD_dominant,50,50,0.019980607054910896
curvature_template,boxy,47,47,0.020900345569338133
curvature_template,round,49,49,0.021128113802653725
curvature_template,sharp,48,48,0.021221352150658828
depth_bin,deep,75,75,0.019881867036530325
depth_bin,medium,79,79,0.020767271334866666
depth_bin,shallow,86,86,0.021278392529772174
size_bin,elongated,48,48,0.020495433503256708
size_bin,large_wide,64,64,0.021170214131906277
size_bin,medium_balanced,64,64,0.020767259244319058
size_bin,small_compact,64,64,0.020217454945623516
aspect_bin,balanced,64,64,0.020767259244319058
aspect_bin,compact,64,64,0.020217454945623516
aspect_bin,narrow,48,48,0.020495433503256708
aspect_bin,wide,64,64,0.021170214131906277
