scope,feature,target,finite_count,pearson_r,spearman_r,abs_pearson_r,abs_spearman_r,label_usage
all,nlslite_Bx_center_to_outer_abs_peak_ratio,D_m,240,-0.0890204378541699,-0.10200666295724888,0.0890204378541699,0.10200666295724888,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,L_m,240,-0.16804722469244843,-0.16809690883400147,0.16804722469244843,0.16809690883400147,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,W_m,240,-0.16835109888102,-0.18219310887482568,0.16835109888102,0.18219310887482568,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,profile_depth_energy,240,-0.056633352915651476,-0.14406760534037044,0.056633352915651476,0.14406760534037044,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,profile_grid_max_abs_depth_m,240,-0.0890204387245622,-0.10200666295724888,0.0890204387245622,0.10200666295724888,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,profile_grid_mean_abs_depth_m,240,-0.0789228543786808,-0.08879581242729907,0.0789228543786808,0.08879581242729907,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,profile_max_abs_depth_m,240,-0.08915991730887374,-0.09850257816975987,0.08915991730887374,0.09850257816975987,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,profile_mean_abs_depth_m,240,-0.09181820275056296,-0.15269362315317972,0.09181820275056296,0.15269362315317972,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,projected_mask_area_px,240,-0.16229541101673314,-0.17633428883239533,0.16229541101673314,0.17633428883239533,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,wLD,240,0.031192925774033427,0.059069154975016,0.031192925774033427,0.059069154975016,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,wLW,240,0.049441078676975246,0.05563784380634887,0.049441078676975246,0.05563784380634887,diagnostic_target_only
all,nlslite_Bx_center_to_outer_abs_peak_ratio,wWD,240,0.052284749167921675,0.06603237330495007,0.052284749167921675,0.06603237330495007,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,D_m,240,0.3461919908408726,0.3702416283782489,0.3461919908408726,0.3702416283782489,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,L_m,240,0.5701635288391866,0.5737004389144241,0.5701635288391866,0.5737004389144241,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,W_m,240,0.5119846187925517,0.4745650978030914,0.5119846187925517,0.4745650978030914,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,profile_depth_energy,240,0.4147183817199383,0.49731158527057756,0.4147183817199383,0.49731158527057756,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,profile_grid_max_abs_depth_m,240,0.34619199187145794,0.3702416283782489,0.34619199187145794,0.3702416283782489,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,profile_grid_mean_abs_depth_m,240,0.3396442687247181,0.3512309241479886,0.3396442687247181,0.3512309241479886,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,profile_max_abs_depth_m,240,0.3472129923482553,0.3713753711001926,0.3472129923482553,0.3713753711001926,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,profile_mean_abs_depth_m,240,0.4782062213057032,0.5460572232156807,0.4782062213057032,0.5460572232156807,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,projected_mask_area_px,240,0.5583973573411819,0.5471529339936386,0.5583973573411819,0.5471529339936386,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,wLD,240,0.03864345888695738,0.0532650495776274,0.03864345888695738,0.0532650495776274,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,wLW,240,0.05670510406504361,0.05659384300556352,0.05670510406504361,0.05659384300556352,diagnostic_target_only
all,nlslite_Bx_fit_residual_max,wWD,240,0.03413050806763047,0.02621129046353375,0.03413050806763047,0.02621129046353375,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,D_m,240,0.32962519717866023,0.36259740509411964,0.32962519717866023,0.36259740509411964,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,L_m,240,0.5632979839516195,0.5695955868076592,0.5632979839516195,0.5695955868076592,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,W_m,240,0.5021740822271219,0.4778849535344609,0.5021740822271219,0.4778849535344609,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,profile_depth_energy,240,0.3991272879270682,0.4885379954513098,0.3991272879270682,0.4885379954513098,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,profile_grid_max_abs_depth_m,240,0.32962519776166244,0.36259740509411964,0.32962519776166244,0.36259740509411964,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,profile_grid_mean_abs_depth_m,240,0.3233663111001486,0.3391708189378287,0.3233663111001486,0.3391708189378287,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,profile_max_abs_depth_m,240,0.3306309639592847,0.3631938054480112,0.3306309639592847,0.3631938054480112,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,profile_mean_abs_depth_m,240,0.4642008520826921,0.5364216392645704,0.4642008520826921,0.5364216392645704,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,projected_mask_area_px,240,0.549483322741751,0.5420173673385187,0.549483322741751,0.5420173673385187,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,wLD,240,0.02630759253622157,0.02552332676214929,0.02630759253622157,0.02552332676214929,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,wLW,240,0.05027337476975858,0.040700683715605895,0.05027337476975858,0.040700683715605895,diagnostic_target_only
all,nlslite_Bx_fit_residual_mean,wWD,240,0.0345932253980613,0.018304989761171044,0.0345932253980613,0.018304989761171044,diagnostic_target_only
all,nlslite_Bx_line_to_line_amplitude_spread,D_m,240,0.015890234439730082,0.001120637313089012,0.015890234439730082,0.001120637313089012,diagnostic_target_only
all,nlslite_Bx_line_to_line_amplitude_spread,L_m,240,0.06764816009568927,0.07664403633597404,0.06764816009568927,0.07664403633597404,diagnostic_target_only
all,nlslite_Bx_line_to_line_amplitude_spread,W_m,240,0.09653495861496007,0.1012632051838181,0.09653495861496007,0.1012632051838181,diagnostic_target_only
all,nlslite_Bx_line_to_line_amplitude_spread,profile_depth_energy,240,0.007756420274712106,0.07031719300682301,0.007756420274712106,0.07031719300682301,diagnostic_target_only
all,nlslite_Bx_line_to_line_amplitude_spread,profile_grid_max_abs_depth_m,240,0.01589023364398658,0.001120637313089012,0.01589023364398658,0.001120637313089012,diagnostic_target_only
