metric,b2_reference,selected_candidate,delta_selected_minus_b2,improvement_direction,passes_gate
total_normalized_mae,0.3952564597129822,0.35737112164497375,-0.03788533806800842,lower,True
L_mae_mm,0.8486037850379944,0.7353984713554382,-0.11320531368255615,lower,True
W_mae_mm,0.9846186637878418,0.992022693157196,0.007404029369354248,lower,True
D_mae_mm,0.08997005224227905,0.0860849991440773,-0.0038850530982017517,lower,True
burial_depth_mae_mm,0.4132470190525055,0.4569946229457855,0.04374760389328003,lower,False
center_xyz_error_p95_mm,8.308867454528809,5.998929500579834,-2.3099379539489746,lower,True
center_xyz_error_max_mm,8.785345077514648,10.468412399291992,1.6830673217773438,lower,False
burial_depth_error_p95_mm,1.266088604927063,1.6901942491531372,0.4241056442260742,lower,False
catastrophic_failure_count,5,5,0.0,lower,False
geometry_branch_failure_count,1,1,0.0,lower,False
shape_accuracy,0.975,0.95,-0.025000000000000022,higher,True
