sample_index,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
0,polygon,9596.5703125,24.210205078125,0.04961832061068702,0.09454545454545454,0.6442307692307693,1.4440613985061646,2.603932243536505,1.583678089636237,2.654059410095215,4.733297824859619,2.307692289352417,3.331390857696533
1,polygon,48340.75,79.59679412841797,0.47985347985347987,0.6485148514851485,0.1288056206088993,1.3076846599578857,29.358955354025625,26.00886708748743,-3.472184658050537,5.450930118560791,-3.1606216430664062,6.720956802368164
2,multi_defect,49402.23046875,93.72419738769531,0.42823250296559906,0.5996677740863787,0.8780876494023905,0.4811412990093231,35.8916274737751,19.110730793206514,-4.6810736656188965,4.852084636688232,-4.24038553237915,5.045193195343018
3,polygon,17051.29296875,40.810691833496094,0.1509090909090909,0.26224328593996843,3.41025641025641,2.1714799404144287,7.857479752425945,1.7816378508407666,6.332827091217041,5.711573600769043,6.144182205200195,3.5483033657073975
4,multi_defect,24907.826171875,60.6708869934082,0.679596174282678,0.8092375830433407,0.21048951048951048,0.0711095929145813,26.35910358808006,21.77557373249826,-4.146599292755127,4.945760250091553,-4.095231056213379,4.896588325500488
5,rotated_rect,25775.51171875,55.94615173339844,0.3621566632756867,0.5317401045556386,1.5144356955380578,1.4746445417404175,14.588111633379953,5.801743770686599,5.34546422958374,5.296176910400391,5.300716400146484,3.822211503982544
6,polygon,7847.345703125,26.87899398803711,0.09090909090909091,0.16666666666666666,2.5,1.3824596405029297,2.558249221720075,0.7309283490628786,6.49856424331665,5.082371234893799,6.714824199676514,6.447811126708984
7,multi_defect,69184.3828125,105.59208679199219,0.2867756315007429,0.4457274826789838,0.42917251051893407,0.5332068204879761,31.03399948729472,21.71466303674302,-0.1867038756608963,5.180409908294678,-0.697315514087677,5.333984851837158
8,polygon,25002.26953125,54.09080505371094,0.22488038277511962,0.3671875,2.830188679245283,1.4062609672546387,12.364871238313697,3.228266875027714,4.991768836975098,5.419589996337891,4.711766719818115,6.797693252563477
9,triangle,34511.8515625,59.57904815673828,0.3380191693290735,0.5052531041069723,0.16322314049586778,1.9581468105316162,17.146360855100028,14.740388372768052,-1.766603946685791,4.9515581130981445,-1.6469227075576782,6.906044006347656
10,rect,24736.337890625,51.45262908935547,0.31827309236947793,0.48286367098248284,1.3494897959183674,1.4046956300735474,14.024687697643984,5.969248184013509,-3.3273043632507324,5.091523170471191,-3.3165831565856934,3.68686842918396
11,polygon,5571.60888671875,20.080808639526367,0.24836601307189543,0.39790575916230364,1.9791666666666667,0.7263001203536987,2.177557373249826,0.7309283490628786,3.952805757522583,4.783499240875244,3.9604270458221436,4.057239055633545
12,polygon,5108.63330078125,18.864328384399414,0.0,0.0,1.3225806451612903,10.2269926071167,1.096392523594318,0.4720578921031091,3.57621431350708,4.652076721191406,-6.548063278198242,3.20625638961792
13,polygon,27663.017578125,50.18989562988281,0.16906077348066298,0.2892249527410208,1.2553846153846153,1.7108017206192017,11.161884997147709,4.948994030113241,-2.0207793712615967,5.351329803466797,-1.8565906286239624,7.054234504699707
14,multi_defect,49448.1875,86.51957702636719,0.34922737306843266,0.5176701570680629,0.7731397459165155,1.4121875762939453,29.754874876434684,16.78089668056859,3.2298648357391357,5.242806434631348,2.813842296600342,3.8932883739471436
15,multi_defect,58302.48828125,100.73031616210938,0.43975069252077564,0.6108706108706109,0.4559952746603662,0.9741051197052002,37.53621625916658,25.78045197840528,0.9156838059425354,5.146761894226074,1.500280499458313,5.92594575881958
16,rect,38679.34765625,60.291568756103516,0.11535337124289195,0.20684632192279678,0.21451612903225806,2.0976853370666504,11.466438475923908,9.441157842062182,-2.7809364795684814,5.178478240966797,-2.788944721221924,3.080808162689209
17,rect,27377.333984375,54.24161148071289,0.3054545454545455,0.467966573816156,2.2738095238095237,1.0522973537445068,16.75044133269097,5.11649844344015,-1.0123801231384277,5.142332077026367,-1.0552762746810913,4.090909481048584
18,polygon,25066.251953125,55.155494689941406,0.49927431059506533,0.6660212971926428,0.49215922798552475,0.37045639753341675,18.836632662307935,12.623741695273466,-4.116479873657227,5.651339530944824,-4.1099042892456055,6.021737575531006
19,polygon,14641.3427734375,32.197879791259766,0.25448028673835127,0.4057142857142857,2.72972972972973,0.6372156143188477,8.405676014223104,2.2536957429438758,-1.0091216564178467,4.84519100189209,-0.6865407824516296,4.295659065246582
20,multi_defect,54068.44921875,90.52473449707031,0.32069438099588854,0.48564510549982703,0.5881826320501343,1.3356893062591553,27.01389356744889,17.009311789650738,0.8930504322052002,4.91692590713501,1.5213714838027954,6.095602512359619
