source_index,sample_id,split,defect_type,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
2,rect_0003,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.9110070257611241,0.9534313725490197,0.04784688995215311,0.6349828359407391,398,418,0,0.009856995195150375,0.051398396492004395,0.06125539168715477,0.0,1.0,0.05279336869716644,balanced_pilot_v7_training_gate_only
4,rect_0005,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.9090909090909091,0.9523809523809523,0.09090909090909091,0.7711360962283154,640,704,0,0.013100646436214447,0.0342097282409668,0.047310374677181244,0.0,1.0,0.08135935664176941,balanced_pilot_v7_training_gate_only
5,rect_0006,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8181818181818182,0.9,0.18181818181818182,1.074505520785039,432,528,0,0.016114942729473114,0.06151098012924194,0.07762592285871506,0.0,1.0,0.059092044830322266,balanced_pilot_v7_training_gate_only
6,rect_0007,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.900523560209424,0.9476584022038568,0.0110803324099723,0.715089486911678,365,361,0,0.016608787700533867,0.04985630512237549,0.0664650946855545,0.0,1.0,0.04600944370031357,balanced_pilot_v7_training_gate_only
7,rect_0008,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.9116379310344828,0.9537767756482526,0.08008658008658008,0.4416844134755792,425,462,0,0.00892686564475298,0.02912968397140503,0.038056548684835434,0.0,1.0,0.0539555586874485,balanced_pilot_v7_training_gate_only
8,rect_0009,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8940972222222222,0.9440879926672777,0.10260869565217391,0.4582503571415159,516,575,0,0.008934937417507172,0.036437273025512695,0.04537221044301987,0.0,1.0,0.06728421151638031,balanced_pilot_v7_training_gate_only
9,rect_0010,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8477443609022557,0.9175991861648016,0.080078125,0.8122857569124547,471,512,0,0.02348550595343113,0.07482975721359253,0.09831526130437851,0.0,1.0,0.06237560510635376,balanced_pilot_v7_training_gate_only
11,rect_0012,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.9172794117647058,0.9568552253116012,0.08272058823529412,0.2855852051524566,499,544,0,0.007239347789436579,0.03278064727783203,0.04001999646425247,0.0,1.0,0.06507635861635208,balanced_pilot_v7_training_gate_only
12,rect_0013,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8856088560885609,0.9393346379647749,0.05333333333333334,1.2554429106471798,497,525,0,0.019923944026231766,0.07105576992034912,0.09097971022129059,0.0,0.9999998807907104,0.06621185690164566,balanced_pilot_v7_training_gate_only
13,rect_0014,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8622222222222222,0.9260143198090692,0.08237986270022883,0.8683498030182709,401,437,0,0.023492924869060516,0.06879919767379761,0.09229212254285812,0.0,1.0,0.05215135216712952,balanced_pilot_v7_training_gate_only
