candidate,seed,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
current_baseline_composite,42,overall,all,500,200,21158.920823974608,48.59307155609131,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16,131,67,0.4278887232240536,0.4282327857812874
current_baseline_composite,42,area_bin,small,500,67,14569.093017578125,36.969518718434806,0.2147079655229421,0.31174388731013636,0.48258143590351976,1.204856552324205,14,35,32,0.04387041692955873,0.4282327857812874
current_baseline_composite,42,area_bin,medium,500,66,19482.30301550663,45.705984780282684,0.3320368544658089,0.4733530427965,0.3083446000342558,1.337747581419535,2,50,14,0.497045297228053,0.4282327857812874
current_baseline_composite,42,area_bin,large,500,67,29400.34229244403,63.06062032215631,0.4184643286076563,0.5763151733968777,0.25099685881828365,1.0977119532094073,0,46,21,0.7437826431862504,0.4282327857812874
current_baseline_composite,42,signal_bin,low_signal,500,67,17057.717507433536,41.58859341180147,0.18128291954467904,0.2754640334067431,0.5466754474157349,1.485622780434057,16,53,14,-0.08992849446431284,0.4282327857812874
current_baseline_composite,42,signal_bin,non_low_signal,500,133,23224.940539826126,52.12164325283882,0.39241368790977427,0.5434975011555425,0.24716717572757493,1.1071667785483195,0,78,53,0.6887440133377418,0.4282327857812874
current_baseline_composite,123,overall,all,500,200,21701.699974365234,48.183811383247374,0.3143685815224847,0.4463300471411402,0.34982548385615786,1.2360381859096246,9,133,66,0.41087314480746706,0.4112353112779857
current_baseline_composite,123,area_bin,small,500,67,14042.360173011893,35.76169274458245,0.2168792560421094,0.3162268454776738,0.4365064440279319,1.1828237134268729,8,36,31,0.09659965749185134,0.4112353112779857
current_baseline_composite,123,area_bin,medium,500,66,20200.749363754734,45.623899055249765,0.32428904886110094,0.46488040901195665,0.3055008524913351,1.372728038751162,1,50,16,0.4836686053817225,0.4112353112779857
current_baseline_composite,123,area_bin,large,500,67,30839.588138409516,63.127634703223386,0.4020855063409394,0.5581597580064889,0.30680759338704505,1.1502891328018994,0,47,19,0.6534376709603833,0.4112353112779857
