perturbation_name,metric,reference_candidate,current_candidate,current_seed,reference_value,current_value,delta,improved
clean,profile_depth_rmse_m,A0_reference_20_77,A2_axis_gain_aug,123,0.000387737259305327,0.000525244751770515,0.00013750749246518797,False
clean,profile_rmse_degradation_pct_vs_20_85,A0_reference_20_77,A2_axis_gain_aug,123,6.687660116207187e-05,35.464181073901905,35.464114197300745,False
clean,er_like_profile_error,A0_reference_20_77,A2_axis_gain_aug,123,0.34054370052539384,0.5501614663845453,0.20961776585915148,False
clean,L_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,1.891891377667586,1.9243389731034255,0.032447595435839416,False
clean,W_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,2.185759879075564,1.9370486778326523,-0.24871120124291157,True
clean,D_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,0.8002313404606703,1.0436944488722544,0.24346310841158403,False
clean,curvature_mae_mean,A0_reference_20_77,A2_axis_gain_aug,123,0.2010758042526551,0.21349454226975256,0.012418738017097475,False
clean,projected_mask_iou,A0_reference_20_77,A2_axis_gain_aug,123,0.7506502455785019,0.7610736862881092,0.010423440709607323,True
clean,projected_mask_dice,A0_reference_20_77,A2_axis_gain_aug,123,0.8477271366767738,0.857960988088222,0.01023385141144817,True
gain_scaling_0.8x,profile_depth_rmse_m,A0_reference_20_77,A2_axis_gain_aug,123,0.0008679314080673533,0.0004831751729607976,-0.0003847562351065557,True
gain_scaling_0.8x,profile_rmse_degradation_pct_vs_20_85,A0_reference_20_77,A2_axis_gain_aug,123,123.84539212593933,24.614151592651115,-99.23124053328822,True
gain_scaling_0.8x,er_like_profile_error,A0_reference_20_77,A2_axis_gain_aug,123,1.153080087632705,0.5139173989017041,-0.6391626887310009,True
gain_scaling_0.8x,L_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,4.535925485766851,1.9829716720642188,-2.552953813702633,True
gain_scaling_0.8x,W_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,2.768469211764825,2.077373300225307,-0.6910959115395179,True
gain_scaling_0.8x,D_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,1.752266756235025,0.9342223379092339,-0.818044418325791,True
gain_scaling_0.8x,curvature_mae_mean,A0_reference_20_77,A2_axis_gain_aug,123,0.2027888032488334,0.22011902842384118,0.01733022517500779,False
gain_scaling_0.8x,projected_mask_iou,A0_reference_20_77,A2_axis_gain_aug,123,0.624899966290028,0.7580027754091901,0.13310280911916217,True
gain_scaling_0.8x,projected_mask_dice,A0_reference_20_77,A2_axis_gain_aug,123,0.749301983901185,0.8544644043641881,0.10516242046300317,True
gain_scaling_0.9x,profile_depth_rmse_m,A0_reference_20_77,A2_axis_gain_aug,123,0.0005456707940305559,0.0005064846627647057,-3.918613126585016e-05,True
gain_scaling_0.9x,profile_rmse_degradation_pct_vs_20_85,A0_reference_20_77,A2_axis_gain_aug,123,40.73219580038941,30.625826981873214,-10.106368818516199,True
gain_scaling_0.9x,er_like_profile_error,A0_reference_20_77,A2_axis_gain_aug,123,0.6706167553097774,0.5307975417146316,-0.13981921359514582,True
gain_scaling_0.9x,L_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,3.144973784685135,1.9137256879072924,-1.2312480967778425,True
gain_scaling_0.9x,W_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,2.450579339877153,2.0100802297775564,-0.4404991100995965,True
gain_scaling_0.9x,D_mae_mm,A0_reference_20_77,A2_axis_gain_aug,123,1.1147301775904803,0.991168909921096,-0.12356126766938436,True
gain_scaling_0.9x,curvature_mae_mean,A0_reference_20_77,A2_axis_gain_aug,123,0.19903480605437204,0.21862494945526123,0.019590143400889187,False
gain_scaling_0.9x,projected_mask_iou,A0_reference_20_77,A2_axis_gain_aug,123,0.6864146665338592,0.7591130511839622,0.07269838465010303,True
