case_bucket,rank,sample_id,split,shape_type,representation_target,target_role,diagnosis,failure_reason,eligibility_status,suitability_flag,baseline_profile_rmse_m,refined_profile_rmse_m,oracle_profile_rmse_m,profile_rmse_improvement_m,baseline_Dice,refined_Dice,oracle_Dice,Dice_improvement,baseline_IoU,refined_IoU,oracle_IoU,IoU_improvement,feature_residual_before,feature_residual_after,feature_residual_improvement,notes
degraded_any_row,1,surf_shape_039_flat_bottom_pit,test,flat_bottom_pit,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.0002418089170758106,0.0006013742682514951,0.00015498528051100492,-0.0003595653511756845,0.7737973387922211,0.49101796407185627,0.9521410579345088,-0.28277937472036485,0.6310517529215359,0.3253968253968254,0.9086538461538461,-0.3056549275247105,23.989425638260542,1.295002424580715,22.694423213679826,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,2,surf_shape_064_asymmetric_corrosion,train,asymmetric_corrosion,profile_basis,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00014189393297362113,0.0005001001524846465,0.00012891391930111286,-0.00035820621951102537,0.8288907996560619,0.6783954961294862,0.9730848861283644,-0.1504953035265757,0.7077826725403817,0.5133120340788072,0.9475806451612904,-0.19447063846157453,27.603735938305764,0.5667821750370038,27.03695376326876,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,3,surf_shape_055_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.0003136099082393107,0.0005987588745019337,0.00021442498321898993,-0.00028514896626262296,0.7284878863826232,0.48747913188647746,0.9075451647183846,-0.24100875449614573,0.5729303547963206,0.32229580573951433,0.830739299610895,-0.25063454905680627,40.24704497376418,0.9425074717801325,39.30453750198405,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,4,surf_shape_112_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,depth_grid,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.0002053691511042363,0.00043253012357863504,0.00022249663571097632,-0.00022716097247439874,0.8258859784283513,0.5095890410958904,0.8911627906976745,-0.3162969373324609,0.7034120734908137,0.34191176470588236,0.8036912751677853,-0.36150030878493133,49.02833096283892,0.7909613341329387,48.237369628705984,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,5,surf_shape_056_sharp_wall_boxy_corrosion,test,sharp_wall_boxy_corrosion,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.000455077449054399,0.0006513508100784763,0.00022986899643422543,-0.0001962733610240773,0.8614298323036187,0.5275,0.9218884120171674,-0.3339298323036187,0.7565891472868217,0.35823429541595925,0.8550955414012739,-0.39835485187086245,9.304674248609109,1.141888191554268,8.162786057054841,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,6,surf_shape_032_flat_bottom_pit,train,flat_bottom_pit,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00026916367277319794,0.00045338903363389277,0.00017795447086396782,-0.00018422536086069483,0.7763371150729336,0.8147345612134345,0.9438423645320198,0.03839744614050089,0.6344370860927152,0.6873857404021938,0.8936567164179104,0.05294865430947859,13.969627244435891,0.39301949048972024,13.57660775394617,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,7,surf_shape_046_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved,rbc_refinement_applied,True,0.00023057969025119324,0.0004067592747346167,0.00012830843930873774,-0.00017617958448342346,0.6771653543307087,0.7643312101910829,0.91875,0.08716585586037418,0.5119047619047619,0.6185567010309279,0.8497109826589595,0.106651939126166,3.5670768194037907,0.28472881338320205,3.2823480060205887,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,8,surf_shape_119_irregular_corrosion_non_rbc,test,irregular_corrosion_non_rbc,depth_grid,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00019330905531576576,0.00035910341794834644,0.00019738841548599164,-0.00016579436263258068,0.7693693693693694,0.6362252663622526,0.9014084507042254,-0.13314410300711677,0.6251830161054173,0.46651785714285715,0.8205128205128205,-0.15866515896256012,29.65337733541007,0.5753012118432098,29.07807612356686,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,9,surf_shape_036_flat_bottom_pit,val,flat_bottom_pit,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00017618257455745984,0.0003350310666403373,8.892428660356799e-05,-0.00015884849208287746,0.8855813953488372,0.5157750342935528,0.9539078156312625,-0.3698063610552844,0.7946577629382304,0.34750462107208874,0.9118773946360154,-0.4471531418661417,7.35563157261017,0.6059052472820767,6.749726325328093,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,10,surf_shape_031_flat_bottom_pit,train,flat_bottom_pit,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved,rbc_refinement_applied,True,0.00036174996843863085,0.0005129718240420332,0.00015282541025000033,-0.0001512218556034023,0.6200657894736842,0.6033898305084746,0.9556400506970849,-0.01667595896520957,0.44934445768772346,0.4320388349514563,0.9150485436893204,-0.01730562273626718,11.177255175740962,0.3199870241717534,10.857268151569208,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,11,surf_shape_120_irregular_corrosion_non_rbc,test,irregular_corrosion_non_rbc,depth_grid,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00019301522410602982,0.00032084584184750023,0.00021545939256345208,-0.00012783061774147042,0.8404423380726699,0.8268482490272373,0.8931860036832413,-0.013594089045432578,0.7247956403269755,0.7048092868988391,0.8069883527454242,-0.019986353428136372,24.155128201445134,0.5683620479260819,23.58676615351905,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,12,surf_shape_008_rbc_like_smooth_pit,train,rbc_like_smooth_pit,six_param_rbc,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00021959380562752072,0.0003439936494989449,7.479148027891204e-05,-0.0001243998438714242,0.7310344827586207,0.6933769419460344,0.9627906976744186,-0.03765754081258632,0.5760869565217391,0.5306633291614519,0.9282511210762332,-0.045423627360287266,36.96168251495256,1.353823996406668,35.60785851854589,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,13,surf_shape_028_flat_bottom_pit,train,flat_bottom_pit,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00021784820066138235,0.0003121692846325879,9.169775872977344e-05,-9.432108397120555e-05,0.8674481514878268,0.517503805175038,0.9534192269573836,-0.3499443463127888,0.7659235668789809,0.3490759753593429,0.9109848484848485,-0.41684759151963796,12.279552381598023,1.8966934411991552,10.382858940398869,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,14,surf_shape_083_elongated_crack_like_surface_defect,val,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved,rbc_refinement_applied,True,0.0004033049781607859,0.0004884613931204387,9.162499635709624e-05,-8.515641495965282e-05,0.5016216216216216,0.475177304964539,0.9228130360205832,-0.02644431665708258,0.3347763347763348,0.3116279069767442,0.856687898089172,-0.023148427799590587,9.408939096457328,0.3282616786906116,9.080677417766715,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,15,surf_shape_063_asymmetric_corrosion,train,asymmetric_corrosion,profile_basis,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.00018158806306345593,0.0002654486528781286,0.00011905125955241824,-8.386058981467269e-05,0.7296786389413988,0.6870748299319728,0.9704749679075738,-0.042603809009426064,0.5744047619047619,0.5233160621761658,0.942643391521197,-0.05108869972859609,29.660068863327506,0.6027963687135139,29.057272494613994,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,16,surf_shape_015_rbc_like_smooth_pit,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved,rbc_refinement_applied,True,0.0002163964454773409,0.00029815023995123776,6.759837471551316e-05,-8.175379447389685e-05,0.6773547094188377,0.3671497584541063,0.9615384615384616,-0.3102049509647314,0.5121212121212121,0.22485207100591717,0.9259259259259259,-0.2872691411152949,16.054804047959607,0.5333837258034618,15.521420322156144,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,17,surf_shape_052_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,polygon_or_contour,already_pass_reference,rbc_representable_and_model_pass,already_pass_reference_profile_degraded,rbc_refinement_applied,True,0.0003475051983696192,0.0004110039833975589,0.00011342106790848217,-6.349878502793973e-05,0.827639751552795,0.7395715896279594,0.9206896551724137,-0.08806816192483558,0.7059602649006622,0.5867620751341681,0.853035143769968,-0.1191981897664941,22.836273125145798,0.3278642294065546,22.508408895739244,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,18,surf_shape_078_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved,rbc_refinement_applied,True,0.0003507134442320541,0.00040534449599889617,0.00012683441708348883,-5.463105176684209e-05,0.562429696287964,0.7975646879756468,0.9261992619926199,0.23513499168768281,0.39123630672926446,0.6632911392405063,0.8625429553264605,0.27205483251124185,8.538172484915778,0.4219895228881283,8.11618296202765,"Any row degraded on profile RMSE, Dice, or Er-like."
degraded_any_row,19,surf_shape_047_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved,rbc_refinement_applied,True,0.00043140673289178704,0.00048108724581781895,0.00021113086825279086,-4.9680512926031915e-05,0.5903614457831325,0.7159090909090909,0.9133192389006343,0.1255476451259584,0.4188034188034188,0.5575221238938053,0.8404669260700389,0.13871870509038647,60.73885975490522,0.44578128329217764,60.29307847161304,"Any row degraded on profile RMSE, Dice, or Er-like."
