candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,active_component_count,collapsed_component_count,out_of_image_center_count,avg_scale_x,avg_scale_y
anisotropic_basis_oracle_k2,oracle,val,overall,all,0.5,129,0.8833260101230139,0.9377500167539878,0.016115213164486324,0.017760314662803627,0,119,7,nan,1.8049608137125153,1.8049608137125155,1.9922480620155039,0.007751937984496124,0.0,1.2762365951094516,1.0943966743557951
anisotropic_basis_oracle_k2,oracle,val,area_bin,small,0.5,43,0.8787455687737935,0.934739278484688,0.021264191756476283,0.029283474556841823,0,37,4,nan,1.7922206555020053,1.8049608137125155,1.9767441860465116,0.023255813953488372,0.0,1.1562151728674424,0.7028811948243961
anisotropic_basis_oracle_k2,oracle,val,area_bin,medium,0.5,43,0.8866483417078821,0.939805491214818,0.014746206965066665,0.010955121027045819,0,40,2,nan,1.8117076259576335,1.8049608137125155,2.0,0.0,0.0,1.2413523238758708,1.1179288126701532
anisotropic_basis_oracle_k2,oracle,val,area_bin,large,0.5,43,0.884584119887366,0.9387052805624577,0.012335240771916023,0.013042348404523245,0,42,1,nan,1.8109541596779077,1.8049608137125155,2.0,0.0,0.0,1.4311422885850418,1.4623800155728361
anisotropic_basis_oracle_k2,oracle,val,signal_bin,low_signal,0.5,43,0.8785401690357697,0.9346336396746096,0.021405708165474494,0.02602245599345499,0,35,6,nan,1.7917681005449047,1.8049608137125155,1.9767441860465116,0.023255813953488372,0.0,1.1416398356127184,0.7945741442746894
anisotropic_basis_oracle_k2,oracle,val,signal_bin,non_low_signal,0.5,86,0.8857189306666359,0.939308205293677,0.013469965663992237,0.013629243997477948,0,84,1,nan,1.8115571702963205,1.8049608137125155,2.0,0.0,0.0,1.3435349748578183,1.244307939396348
anisotropic_basis_oracle_k2,oracle,val,defect_type,polygon,0.5,72,0.8853627789239891,0.9386756685836128,0.017257398202267158,0.02518176051186553,0,64,5,nan,1.8067810493053347,1.8049608137125155,1.9861111111111112,0.013888888888888888,0.0,1.357326661547025,0.9101491885052787
anisotropic_basis_oracle_k2,oracle,val,defect_type,rotated_rect,0.5,57,0.8807532495323084,0.9365807723376195,0.014672453116763162,0.008385856748199123,0,55,2,nan,1.8026615687531646,1.8049608137125155,2.0,0.0,0.0,1.1738070375040959,1.3271303406932897
anisotropic_basis_oracle_k2,oracle,test,overall,all,0.5,138,0.8847886493738988,0.9384616390609345,0.018064908031570133,0.015839224671978718,0,133,4,nan,1.805185380403263,1.8051853804032632,2.0,0.007246376811594203,0.0,1.2669445772965748,1.1411540656202082
anisotropic_basis_oracle_k2,oracle,test,area_bin,small,0.5,46,0.8752130856441659,0.9324176038269046,0.026528593449011567,0.023018378744144804,0,43,3,nan,1.781102096022059,1.8051853804032632,2.0,0.021739130434782608,0.0,1.1068236244761425,0.7830740747892339
anisotropic_basis_oracle_k2,oracle,test,area_bin,medium,0.5,46,0.891096292667428,0.9423181441525845,0.015538481887713857,0.015017526092655633,0,44,1,nan,1.8178759549322987,1.8051853804032632,2.0,0.0,0.0,1.3042492736940798,1.0996264620967533
