sample_id,source_index,split,defect_type,source_pack,mse,mae,rmse,nrmse,correlation,line0_mse,line1_mse,line2_mse,amplitude_abs_error,abs_peak_index_error_mean
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.20267830789089203,0.35759150981903076,0.450198076285197,0.34151893658610066,0.9591848726930708,0.18609732389450073,0.18462252616882324,0.2373150885105133,1.7472023963928223,1.3333333333333333
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.3988337814807892,0.4792562425136566,0.6315328823432627,0.40539731086274094,0.9498791064444516,0.349469929933548,0.39962056279182434,0.44741082191467285,3.16097354888916,43.666666666666664
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.4051090180873871,0.5089110136032104,0.6364817500033972,0.4247357451402593,0.9504168504687647,0.3503105938434601,0.3959967792034149,0.46901965141296387,3.7258052825927734,32.333333333333336
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.3983533978462219,0.5050743222236633,0.6311524362990465,0.4051348013116208,0.9609984653778918,0.41137877106666565,0.4108779728412628,0.37280353903770447,2.571533203125,35.333333333333336
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.2044941782951355,0.34375816583633423,0.45221032528585137,0.33822734346598055,0.949762258956698,0.21497701108455658,0.1965266317129135,0.201978862285614,3.057621479034424,1.3333333333333333
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.14087972044944763,0.28880587220191956,0.3753394736094881,0.3681884105280223,0.9500451249946013,0.1454515904188156,0.11491043120622635,0.16227713227272034,2.1595611572265625,2.3333333333333335
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.11893907189369202,0.275745689868927,0.34487544402826364,0.3750340089628914,0.9309686064206216,0.11524118483066559,0.08467601239681244,0.15689998865127563,1.3121161460876465,17.0
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.37980446219444275,0.4762996435165405,0.6162827777850381,0.3854796451860399,0.9561597172558238,0.3905821144580841,0.36527150869369507,0.3835597634315491,2.725954055786133,1.6666666666666667
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.30711984634399414,0.410569429397583,0.5541839463066339,0.4123489800809702,0.9612843970751476,0.31334057450294495,0.27401289343833923,0.33400601148605347,3.2370877265930176,46.666666666666664
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.4006955623626709,0.49687880277633667,0.6330051835195909,0.3923397096285569,0.9759177244550271,0.3805505037307739,0.4157796800136566,0.40575653314590454,3.264528274536133,42.666666666666664
rect_p2_0016,15,train,rectangular_notch,pilot_v2_rectangular_notch,0.2172270119190216,0.35635149478912354,0.46607618681823,0.333339707525215,0.9648938747259613,0.23079556226730347,0.2145119607448578,0.20637351274490356,1.0203943252563477,48.0
rect_p2_0017,16,train,rectangular_notch,pilot_v2_rectangular_notch,0.16093690693378448,0.3094865679740906,0.4011694242259553,0.3281934568526071,0.9506914616616994,0.20813319087028503,0.14223425090312958,0.13244326412677765,0.9851937294006348,44.666666666666664
rect_p2_0019,18,train,rectangular_notch,pilot_v2_rectangular_notch,0.13094443082809448,0.2892317771911621,0.3618624473858741,0.3070080272621459,0.960376625140202,0.12729671597480774,0.11676795035600662,0.14876866340637207,1.2597837448120117,27.0
rect_p2_0020,19,train,rectangular_notch,pilot_v2_rectangular_notch,0.14835898578166962,0.30357685685157776,0.3851739682035504,0.3470165025165963,0.9574986557924394,0.12822356820106506,0.1336747407913208,0.18317866325378418,2.1564736366271973,18.0
rect_p2_0021,20,train,rectangular_notch,pilot_v2_rectangular_notch,0.21322393417358398,0.37852632999420166,0.4617617721007056,0.3342061486191954,0.9658903902067218,0.19306625425815582,0.20818737149238586,0.23841820657253265,1.7189807891845703,27.333333333333332
rect_p2_0022,21,train,rectangular_notch,pilot_v2_rectangular_notch,0.3326592743396759,0.42931199073791504,0.576766221566135,0.40731227141902077,0.9489117571023166,0.3345140814781189,0.31746938824653625,0.34599432349205017,3.850536346435547,12.333333333333334
