candidate,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,mean_abs_change,large_probability_drift,bz_improves_mask_worsens
current_baseline,val,overall,all,0.8,200,0.35095418350155794,0.4926910310956512,0.27557527021030387,1.068811905855427,4,119,80,0.1700986908748746,0.5680699443869053,0.0,0,0
current_baseline,val,area_bin,small,0.8,67,0.26886152525021506,0.38578337835866966,0.339990275846274,1.1092748943538893,4,25,42,0.1336614734201289,0.3146546277626107,0.0,0,0
current_baseline,val,area_bin,medium,0.8,66,0.38492846049922685,0.5368264379085199,0.20833473692283938,1.137849406085231,0,40,26,0.11731684182516554,0.7134201614849074,0.0,0,0
current_baseline,val,area_bin,large,0.8,67,0.39957964351639125,0.5561220144348816,0.2773972078127316,0.96275752838423,0,54,12,0.2585299685875426,0.6783044501385413,0.0,0,0
current_baseline,val,signal_bin,low_signal,0.8,67,0.2617518191334813,0.38121111557392673,0.3852147642255145,1.1174607757065032,4,42,25,0.15115146594705867,0.25774817048189347,0.0,0,0
current_baseline,val,signal_bin,non_low_signal,0.8,133,0.3958907129200627,0.5488500862832868,0.22034334465376917,1.0457677043470226,0,77,55,0.1796435335076841,0.7243974545495804,0.0,0,0
current_baseline,val,defect_type,multi_defect,0.8,71,0.37446811183224404,0.5286769372765536,0.30872870442622924,0.996192266088976,0,52,18,0.26325804021366883,0.5944163446825684,0.0,0,0
current_baseline,val,defect_type,polygon,0.8,72,0.27240158913177026,0.39216081572320305,0.31126159984858404,1.1629045662634514,4,33,39,0.11563373711477551,0.3533008050063893,0.0,0,0
current_baseline,val,defect_type,rotated_rect,0.8,57,0.42088923408306667,0.5748520164986721,0.18920141822281486,1.047017055253188,0,34,23,0.12285593416737883,0.8065398323589239,0.0,0,0
current_baseline,test,overall,all,0.8,200,0.34825649643354545,0.49246241330196733,0.2754771724955517,1.169265166997458,2,129,71,0.1467555822711438,0.5652417372399611,0.0,0,0
current_baseline,test,area_bin,small,0.8,67,0.29047389197541423,0.42030597429513405,0.3664364800218076,1.1918218447611881,2,23,44,0.16085948967444363,0.3443433862487406,0.0,0,0
current_baseline,test,area_bin,medium,0.8,66,0.34584287796338176,0.49492707053750856,0.19985954814464363,1.2398351586677812,0,48,18,0.12484523270166281,0.6409104003562467,0.0,0,0
current_baseline,test,area_bin,large,0.8,67,0.4084166952055693,0.5621909810021481,0.259006868061235,1.0778651146857596,0,58,9,0.15423500429449685,0.7116008081464824,0.0,0,0
current_baseline,test,signal_bin,low_signal,0.8,67,0.2625629886797045,0.39369958889079326,0.3650373542507299,1.2907798336102412,2,45,22,0.17266136552415676,0.29122522331976786,0.0,0,0
current_baseline,test,signal_bin,non_low_signal,0.8,133,0.3914254063546533,0.5422151143211302,0.23036038920534913,1.1098782998558723,0,84,49,0.133705300482032,0.7032801314704344,0.0,0,0
current_baseline,test,defect_type,multi_defect,0.8,62,0.3473416707086131,0.496712197111872,0.2722312323067395,1.2494121794138224,0,50,12,0.17703255548352195,0.5718226355137456,0.0,0,0
current_baseline,test,defect_type,polygon,0.8,75,0.31281981010589427,0.4461783992024658,0.34487713512241064,1.100548233683795,2,37,38,0.13995724101861318,0.4141210741859494,0.0,0,0
current_baseline,test,defect_type,rotated_rect,0.8,63,0.39134333245766684,0.543380103163055,0.1960525866970109,1.1700147124273437,0,42,21,0.12505245933102238,0.7386708489237109,0.0,0,0
proposal_only,val,overall,all,0.8,200,0.35096565622935694,0.4927055970381056,0.27550574835282876,1.068734329954094,4,119,80,0.17006125363288446,0.5681655049146339,7.225658991956152e-05,0,5
proposal_only,val,area_bin,small,0.8,67,0.2688829240753723,0.38581217223507597,0.33978303157574286,1.1092903239149896,4,25,42,0.13360292891930067,0.31491206473470545,7.402379462780403e-05,0,2
proposal_only,val,area_bin,medium,0.8,66,0.3849571050382627,0.5368643471344036,0.20830008632462432,1.1375142320087461,0,40,26,0.11727086567517483,0.7135213658480419,7.121924180396353e-05,0,2
proposal_only,val,area_bin,large,0.8,67,0.39956427463128524,0.5560993575671702,0.27743105757560865,0.9628462530116537,0,54,12,0.25852205006600315,0.6782325746228468,7.151125051922151e-05,0,1
proposal_only,val,signal_bin,low_signal,0.8,67,0.26178596538583415,0.381248100219886,0.38512722968225377,1.1171609506247535,4,42,25,0.1510853335303046,0.2579068359234663,7.568973958415827e-05,0,1
proposal_only,val,signal_bin,non_low_signal,0.8,133,0.39589076364677067,0.5488533585931487,0.22028289685605076,1.045795404373255,0,77,55,0.17962055172967284,0.7244612253838686,7.052710850957669e-05,0,4
proposal_only,val,defect_type,multi_defect,0.8,71,0.37446109715613757,0.5286661437328033,0.308772301603139,0.9959602953052856,0,52,18,0.26323747293839994,0.5943549392858019,7.376813828415552e-05,0,2
proposal_only,val,defect_type,polygon,0.8,72,0.27245905246601004,0.3922212717515141,0.31108167068114234,1.1629178988582947,4,33,39,0.11558271157425931,0.35359865353638176,7.190576742585917e-05,0,1
proposal_only,val,defect_type,rotated_rect,0.8,57,0.4208656415830333,0.5748402041488258,0.18913045557369548,1.0470233435432117,0,34,23,0.12281464762462858,0.8065753901581636,7.081692826448074e-05,0,2
proposal_only,test,overall,all,0.8,200,0.348263391939782,0.49247047933525956,0.2755008256701463,1.1692297837950967,2,129,71,0.14670536338351667,0.5652330456048953,7.315540615309147e-05,0,3
proposal_only,test,area_bin,small,0.8,67,0.2904214000799632,0.42025265862210553,0.3665167239633901,1.1920771493361546,2,23,44,0.1607839485991802,0.3441573347386787,7.49538827873419e-05,0,2
proposal_only,test,area_bin,medium,0.8,66,0.3458609036843984,0.49494642329309635,0.19988802433076333,1.2396760856111844,0,48,18,0.12478808477295167,0.6409193026467314,7.240801471308453e-05,0,0
proposal_only,test,area_bin,large,0.8,67,0.4084720140213219,0.5622493104780074,0.25896917944256326,1.0776695646901628,0,58,9,0.15421693321706645,0.7117521450567661,7.209316586272846e-05,0,1
proposal_only,test,signal_bin,low_signal,0.8,67,0.2625187615781358,0.39365576556408927,0.36515708810270275,1.2907328225099124,2,45,22,0.1725814572410352,0.29101743903952226,7.589719223063578e-05,0,3
proposal_only,test,signal_bin,non_low_signal,0.8,133,0.3914580553550474,0.5422493201072025,0.2303356408357005,1.1098485994607883,0,84,49,0.13367003790642085,0.7033717346265494,7.177420564786237e-05,0,0
proposal_only,test,defect_type,multi_defect,0.8,62,0.3473435547754082,0.49671819080921664,0.27224035376771527,1.2492593852502685,0,50,12,0.1769965963378068,0.5718213918169096,7.499318915858655e-05,0,2
proposal_only,test,defect_type,polygon,0.8,75,0.31282210428294804,0.4461816459182152,0.3449616279074705,1.1004735890724888,2,37,38,0.13989532607297103,0.4140421222936928,7.315078240935691e-05,0,0
proposal_only,test,defect_type,rotated_rect,0.8,63,0.39136063762952367,0.5433959459208627,0.19601811281540663,1.1701403698987431,0,42,21,0.1250021309251823,0.7387384707349798,7.135229876324062e-05,0,1
proposal_forward,val,overall,all,0.8,200,0.2987860725771237,0.4294690382630364,0.3713024779928232,1.0960248647852964,6,170,29,0.04522144291549921,0.35695263284733686,0.010064160950387304,0,155
proposal_forward,val,area_bin,small,0.8,67,0.19657601699145813,0.29023914475143364,0.4394858536943323,1.1831585832673017,6,55,11,0.021811923498649206,0.04732930804855945,0.00826292075188535,0,54
proposal_forward,val,area_bin,medium,0.8,66,0.3243029547103316,0.46970306579380666,0.36132909701730886,1.1682615926997229,0,56,10,0.022480195867970135,0.4326769234868294,0.008791392362168566,0,57
proposal_forward,val,area_bin,large,0.8,67,0.37586009501664414,0.5290654121174624,0.312943626834358,0.9455355980725431,0,59,8,0.09103278778215397,0.5919818802997485,0.013119173191015177,0,44
proposal_forward,val,signal_bin,low_signal,0.8,67,0.17055554486762003,0.2638306073276172,0.5819164598622598,1.2110091411798705,6,63,3,0.025079173897740555,-0.14753030766702258,0.009133682845906639,0,56
proposal_forward,val,signal_bin,non_low_signal,0.8,133,0.3633834060849188,0.5129109545989241,0.2652037051713777,1.0432877154614693,0,107,26,0.05536830024023477,0.6110906555124652,0.010532898040614407,0,99
proposal_forward,val,defect_type,multi_defect,0.8,71,0.33861633988879053,0.4862658511379322,0.37759307815716325,1.017152530521574,0,59,12,0.08469766172462366,0.4472891128695595,0.013993690626590814,0,51
proposal_forward,val,defect_type,polygon,0.8,72,0.21927687354561237,0.3216796837358028,0.37985836552144203,1.2182294706052,6,60,11,0.019296885364585452,0.1610981917599732,0.0076843880159584745,0,61
proposal_forward,val,defect_type,rotated_rect,0.8,57,0.3496056050532723,0.49487710513747846,0.3526593812607406,1.0527692814275884,0,51,6,0.02879612025265631,0.49182332893001024,0.00817551260421935,0,43
