seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,train,30,0.6392415387459062,0.7735192060213866,0.08924942386018818,2.7707201368108567,479.6333333333333,446.4,0,0.3192394812901815,3.1,0.9,0.0,0.0,0.1,0.1,1.0
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,train,30,0.6463753424886671,0.7756745076109751,0.07244367325046476,2.150214624082449,484.8666666666667,492.2,0,0.31729815701643627,3.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.9888888888888888
all,component_types=rectangular_notch+rotated_rect+rotated_rect,train,30,0.6798598104726221,0.8052977938534125,0.09374955170092601,2.0188722397415466,480.1333333333333,460.4,0,0.28590402056773506,3.066666666666667,0.9333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,1.0
all,component_types=rotated_rect+rotated_rect+rotated_rect,train,30,0.6397116783631032,0.776294183179458,0.07147248293893556,2.5346286811691954,490.1,488.4,0,0.3151968608299891,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,val,9,0.5492136528211862,0.6992711077635634,0.11014430405506036,1.5665799189840177,488.0,472.3333333333333,0,0.45329071746932137,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,val,9,0.6970436262525976,0.8212172587011297,0.10214962578587906,3.9548953396085462,479.44444444444446,514.3333333333334,0,0.26897763046953416,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rotated_rect+rotated_rect,val,6,0.44048771482264404,0.6067269778771758,0.12393588352123802,4.985186683765495,475.8333333333333,425.5,0,0.7083903700113297,3.1666666666666665,0.8333333333333334,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0
all,component_types=rotated_rect+rotated_rect+rotated_rect,val,6,0.6364552287652598,0.7770209741737658,0.032759343053460704,2.367741703244714,479.3333333333333,489.0,0,0.3503211736679077,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,test,6,0.5327339215215022,0.6895419890910243,0.13538654519046678,3.7347751790636647,473.8333333333333,483.0,0,0.44403229653835297,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,test,6,0.4635294100374378,0.6183006732493139,0.13043251669974892,6.168026545619554,495.6666666666667,473.5,0,0.5824017425378164,3.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.8888888888888888
all,component_types=rectangular_notch+rotated_rect+rotated_rect,test,9,0.5915407236085373,0.7087343232329354,0.1081708840741379,2.378856107093515,494.77777777777777,454.0,0,0.5368739482429292,3.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888
all,component_types=rotated_rect+rotated_rect+rotated_rect,test,9,0.6098443866841659,0.7563196114304618,0.10059631713590964,1.929346619391764,496.22222222222223,499.6666666666667,0,0.3637527558538649,3.111111111111111,0.8888888888888888,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0
all,component_types=rectangular_notch+rectangular_notch+rectangular_notch,all,45,0.6070349459310415,0.7474726241124402,0.09958001607653306,2.658432765545863,480.53333333333336,456.46666666666664,0,0.362688770559099,3.066666666666667,0.9333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,1.0
all,component_types=rectangular_notch+rectangular_notch+rotated_rect,all,45,0.6321295415812892,0.7637998799141177,0.08611670955078551,3.0468590233926163,485.22222222222223,494.1333333333333,0,0.3429811964432398,3.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.9777777777777776
all,component_types=rectangular_notch+rotated_rect+rotated_rect,all,45,0.630279713679808,0.7595089909324857,0.10065866241827667,2.4863776057484666,482.4888888888889,454.46666666666664,0,0.39242951936191983,3.066666666666667,0.9333333333333333,0.022222222222222223,0.0,0.06666666666666667,0.06666666666666667,0.9777777777777777
all,component_types=rotated_rect+rotated_rect+rotated_rect,all,45,0.6333040267476033,0.7723961742955663,0.0721354977936004,2.391320671757112,489.8888888888889,490.73333333333335,0,0.32959128154648676,3.022222222222222,0.9777777777777777,0.0,0.0,0.022222222222222223,0.022222222222222223,1.0
all,min_component_distance_bin=near,train,48,0.6627610432793692,0.7923195032063896,0.06432233948076829,2.3993707525680574,481.8125,474.3125,0,0.2951658625776569,3.0416666666666665,0.9583333333333334,0.0,0.0,0.041666666666666664,0.041666666666666664,1.0
all,min_component_distance_bin=medium,train,36,0.5905654323218338,0.7345609558546555,0.0790353034055549,2.7335387288911543,483.6666666666667,468.5833333333333,0,0.37650640308856964,3.0277777777777777,0.9722222222222222,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.9907407407407407
all,min_component_distance_bin=far,train,36,0.6967434850309222,0.8180011154245185,0.10763085374551613,1.9626633358548078,486.19444444444446,471.8333333333333,0,0.26130454656150603,3.0555555555555554,0.9444444444444444,0.0,0.0,0.05555555555555555,0.05555555555555555,1.0
all,min_component_distance_bin=near,val,6,0.5519939561286403,0.6960717103189761,0.07660173304079959,3.425053113432098,478.1666666666667,476.0,0,0.43023048092921573,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=medium,val,12,0.6315412872912743,0.7708307292011,0.1361166347692411,2.666406674782553,478.8333333333333,466.25,0,0.34114254514376324,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=far,val,12,0.5656261657436952,0.7133736665134025,0.063150559378413,3.4386374059509257,485.25,493.0,0,0.5147992471853892,3.0833333333333335,0.9166666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0
all,min_component_distance_bin=near,test,18,0.5281435972866081,0.668590777478451,0.12934283707392902,3.628750259538695,494.6111111111111,487.6666666666667,0,0.545158079928822,3.0555555555555554,0.9444444444444444,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555,0.9074074074074073
all,min_component_distance_bin=far,test,12,0.6069551025690857,0.7498256159500406,0.09547067624174999,2.7394275178975267,486.0833333333333,462.0,0,0.3709499277174473,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=near,all,72,0.619876091185285,0.7533666723671204,0.08160074667572775,2.7921891593827204,484.7083333333333,477.7916666666667,0,0.3689193017780781,3.0416666666666665,0.9583333333333334,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.9768518518518517
all,min_component_distance_bin=medium,all,48,0.6008093960641939,0.7436283991912666,0.09330563624647646,2.716755715364004,482.4583333333333,468.0,0,0.36766543860236806,3.0208333333333335,0.9791666666666666,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.9930555555555555
all,min_component_distance_bin=far,all,60,0.6525623446811094,0.7834405257473999,0.09630275937134228,2.4132109862825755,485.98333333333335,474.1,0,0.3339325629174709,3.05,0.95,0.0,0.0,0.05,0.05,1.0
all,union_mask_area_bin=small,train,39,0.6696116607685315,0.7971234654482162,0.117738582350086,2.262942248519687,467.5897435897436,423.2307692307692,0,0.2866326597256538,3.0256410256410255,0.9743589743589743,0.0,0.0,0.02564102564102564,0.02564102564102564,1.0
all,union_mask_area_bin=medium,train,42,0.6428956047594847,0.7751316772998588,0.06288107454118116,2.728595281365134,488.26190476190476,467.2857142857143,0,0.3196286080139024,3.0714285714285716,0.9285714285714286,0.023809523809523808,0.0,0.07142857142857142,0.07142857142857142,0.992063492063492
all,union_mask_area_bin=large,train,39,0.6420302803137913,0.7764160287405759,0.06601651564442233,2.0865979729363593,494.84615384615387,525.3846153846154,0,0.32118154680117583,3.0256410256410255,0.9743589743589743,0.0,0.0,0.02564102564102564,0.02564102564102564,1.0
all,union_mask_area_bin=small,val,12,0.48908003637931197,0.6463833140126731,0.11991317960583586,3.3769875121562554,481.3333333333333,431.0,0,0.5763134111960729,3.0833333333333335,0.9166666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0
all,union_mask_area_bin=medium,val,6,0.6487565355643589,0.7866588020819748,0.04039641061934055,3.066664335992614,486.5,469.5,0,0.3152765929698944,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,union_mask_area_bin=large,val,12,0.6597061269377983,0.7925275358203302,0.0974566757525478,2.907250957296966,478.5833333333333,531.5,0,0.3371053251127402,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,union_mask_area_bin=small,test,12,0.5283366278977657,0.6778539660416983,0.1766663023491457,4.02760277953394,494.5,420.5,0,0.4801885237296422,3.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.9444444444444443
