seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean,task_gate_accuracy,count_head_accuracy
all,component_count=1,train,402,0.7627560672925753,0.8633567848234579,0.10834725168665657,1.8581713815529695,392.31094527363183,402.5422885572139,0,0.18738373213294726,1.0024875621890548,0.9975124378109452,0.9975124378109452,0.0024875621890547263,0.0,0.0,0.0,0.0024875621890547263,0.0024875621890547263,1.0,1.0,1.0
all,component_count=2,train,160,0.7087254598239678,0.8276018786855825,0.10481375623158669,2.8947254888999625,683.68125,714.18125,0,0.27499003820121287,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=3,train,320,0.7976908477072904,0.8864664717146404,0.06855146963862528,1.7190813308675488,419.04375,434.475,0,0.15933913569315336,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=1,val,99,0.6540801790618266,0.7871286727196338,0.2120765425340977,2.8478660534937035,345.2828282828283,343.4141414141414,0,0.294222157410901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=2,val,40,0.614132467723931,0.7574225916279869,0.13169392267300306,4.937701019481669,692.15,721.225,0,0.40920699425041673,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=3,val,80,0.6737270451962329,0.7923742842381675,0.07511585357548892,2.520277206133069,418.1125,429.975,0,0.2943159601651132,2.9875,0.9875,0.0,0.0125,0.9875,0.0125,0.0,0.0,0.0,0.9958333333333332,0.9875,1.0
all,component_count=1,test,99,0.6452005344297908,0.7809455256217134,0.2484872559625456,2.601411991141251,369.32323232323233,372.6060606060606,0,0.3008433625553594,1.02020202020202,0.9797979797979798,0.9797979797979798,0.020202020202020204,0.0,0.0,0.0,0.020202020202020204,0.020202020202020204,1.0,1.0,1.0
all,component_count=2,test,40,0.5838968828268294,0.7299970718516491,0.15932819382608548,4.353780738560944,664.525,708.875,0,0.45861011147499087,2.1,0.925,0.0,0.925,0.05,0.025,0.0,0.075,0.075,0.9875,0.925,0.975
all,component_count=3,test,80,0.6580504873580942,0.7717639917782215,0.0830769817082513,2.5969687027902286,420.6375,428.275,0,0.34402091512456534,3.0,0.95,0.0,0.025,0.95,0.05,0.0,0.025,0.025,0.9666666666666668,0.95,0.9375
all,component_count=1,all,600,0.7254278828121423,0.8371812885580391,0.14858568538200606,2.1441057030052573,380.7583333333333,387.8466666666667,0,0.22373291132350762,1.005,0.995,0.995,0.005,0.0,0.0,0.0,0.005,0.005,1.0,1.0,1.0
all,component_count=2,all,240,0.672155198307772,0.7996378630369944,0.11837952357090589,3.4783972856070773,681.9,714.4708333333333,0,0.32796287642170985,2.0166666666666666,0.9875,0.0,0.9875,0.008333333333333333,0.004166666666666667,0.0,0.0125,0.0125,0.9979166666666667,0.9875,0.9958333333333333
all,component_count=3,all,480,0.7537568205639147,0.8516673604791585,0.07206645230637357,1.9989285387322488,419.15416666666664,432.69166666666666,0,0.21261556967704867,2.997916666666667,0.9895833333333334,0.0,0.00625,0.9895833333333334,0.010416666666666666,0.0,0.004166666666666667,0.004166666666666667,0.99375,0.9895833333333334,0.9895833333333334
