group_type,split,source_defect_type,variant_type,residual_method,height_m,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error
split_source_defect_type,train,rectangular_notch,all,multi_height_mean_per_height_nrmse,all,4.0,32.0,112.0,0.4732142857142857,0.5267857142857143,0.6979166666666666,96.0,-0.09522715902328129,-0.16565774718021256,-0.1673469387755102,0.36288455682227894,0.8389928431274803
split_source_defect_type,train,rotated_rect,all,multi_height_mean_per_height_nrmse,all,4.0,32.0,112.0,0.48214285714285715,0.5178571428571428,0.5520833333333334,96.0,-0.0299379593152593,-0.037060832739242766,-0.036734693877551024,0.33601116816410487,0.6303067355804888
split_source_defect_type,val,rectangular_notch,all,multi_height_mean_per_height_nrmse,all,1.0,8.0,28.0,0.32142857142857145,0.6785714285714286,0.6666666666666666,24.0,-0.5435627031253786,-0.4523809523809524,-0.35714285714285715,0.4155149179423697,0.5540238151522947
split_source_defect_type,val,rotated_rect,all,multi_height_mean_per_height_nrmse,all,1.0,8.0,28.0,0.5357142857142857,0.4642857142857143,0.625,24.0,0.7266884404740281,0.1666666666666667,0.07142857142857142,0.33299366640050077,0.8585436005274472
split_source_defect_type,test,rectangular_notch,all,multi_height_mean_per_height_nrmse,all,1.0,8.0,28.0,0.5,0.5,1.0,24.0,-0.9058721056694453,0.0,0.0,0.41823456802268155,0.4277062666270909
split_source_defect_type,test,rotated_rect,all,multi_height_mean_per_height_nrmse,all,1.0,8.0,27.0,0.4444444444444444,0.5555555555555556,0.8695652173913043,23.0,-0.43420328320068396,-0.05988131309566294,-0.1111111111111111,0.30929681997078684,0.3920886573751481
split_source_defect_type,train,rectangular_notch,all,multi_height_raw_concat_nrmse,all,4.0,32.0,112.0,0.4732142857142857,0.5267857142857143,0.6145833333333334,96.0,-0.128213542619241,-0.254448832047569,-0.1836734693877551,0.4001738200234105,0.8389928431274803
split_source_defect_type,train,rotated_rect,all,multi_height_raw_concat_nrmse,all,4.0,32.0,112.0,0.49107142857142855,0.5089285714285714,0.6458333333333334,96.0,-0.059680161746717794,-0.07522248229252246,-0.05714285714285714,0.3250132628968857,0.6303067355804888
split_source_defect_type,val,rectangular_notch,all,multi_height_raw_concat_nrmse,all,1.0,8.0,28.0,0.39285714285714285,0.6071428571428572,0.75,24.0,-0.5601949568627604,-0.3333333333333334,-0.21428571428571427,0.4677609758752183,0.5540238151522947
split_source_defect_type,val,rotated_rect,all,multi_height_raw_concat_nrmse,all,1.0,8.0,28.0,0.4642857142857143,0.5357142857142857,0.5833333333333334,24.0,0.7089660115223181,-0.023809523809523815,-0.07142857142857142,0.32213461571313273,0.8585436005274472
split_source_defect_type,test,rectangular_notch,all,multi_height_raw_concat_nrmse,all,1.0,8.0,28.0,0.42857142857142855,0.5714285714285714,0.7916666666666666,24.0,-0.9308551655248363,-0.19047619047619052,-0.14285714285714285,0.45995197567158996,0.4277062666270909
split_source_defect_type,test,rotated_rect,all,multi_height_raw_concat_nrmse,all,1.0,8.0,27.0,0.37037037037037035,0.6296296296296297,0.8695652173913043,23.0,-0.47553124011586484,-0.22754898976351917,-0.25925925925925924,0.3129542406782524,0.3920886573751481
split_source_defect_type,train,rectangular_notch,all,multi_height_trainstd_normalized,all,4.0,32.0,112.0,0.5,0.5,0.6979166666666666,96.0,-0.19725396801595638,-0.21225472147010624,-0.11428571428571428,0.4310809574220445,0.8389928431274803
split_source_defect_type,train,rotated_rect,all,multi_height_trainstd_normalized,all,4.0,32.0,112.0,0.4642857142857143,0.5357142857142857,0.5625,96.0,-0.08217118554615122,-0.1955784539605584,-0.1469387755102041,0.31255603925335307,0.6303067355804888
split_source_defect_type,val,rectangular_notch,all,multi_height_trainstd_normalized,all,1.0,8.0,28.0,0.39285714285714285,0.6071428571428572,0.75,24.0,-0.5586508928497441,-0.3333333333333334,-0.21428571428571427,0.5667946320188532,0.5540238151522947
split_source_defect_type,val,rotated_rect,all,multi_height_trainstd_normalized,all,1.0,8.0,28.0,0.5357142857142857,0.4642857142857143,0.625,24.0,0.7145820432896018,0.1666666666666667,0.07142857142857142,0.3023241210550014,0.8585436005274472
split_source_defect_type,test,rectangular_notch,all,multi_height_trainstd_normalized,all,1.0,8.0,28.0,0.5,0.5,1.0,24.0,-0.9228673194173515,0.0,0.0,0.5127521977948187,0.4277062666270909
split_source_defect_type,test,rotated_rect,all,multi_height_trainstd_normalized,all,1.0,8.0,27.0,0.4074074074074074,0.5925925925925926,0.8695652173913043,23.0,-0.4279543845125322,-0.17964393928698885,-0.18518518518518517,0.3001704945512887,0.3920886573751481
