defect_type,angle_deg,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_zero_sum
rectangular_notch,0.0,train,80,0.7814655330685969,0.8757035861307466,0.16353054014239285,1.8292320504676547,0
rotated_rect,-30.0,train,6,0.7542180415093328,0.8571699512725394,0.06322514166729686,2.1318499587161086,0
rotated_rect,-20.0,train,5,0.7740542606905598,0.872156198316949,0.03715833497991174,0.7272281247598349,0
rotated_rect,-10.0,train,5,0.7676405891132775,0.8683951714951708,0.048837353123067404,2.5555167218668853,0
rotated_rect,10.0,train,5,0.7376797596170499,0.8486374906824008,0.06532849503437739,3.1608821415671784,0
rotated_rect,20.0,train,6,0.7502095680336686,0.8551825808655913,0.04340246865051633,2.4074993925055046,0
rotated_rect,30.0,train,5,0.7289110975153862,0.8409725868853044,0.04121693121693122,1.0868685987057973,0
rectangular_notch,0.0,val,20,0.7250969806845758,0.8384510037203381,0.169636075245468,2.0823908035145693,0
rotated_rect,-30.0,val,1,0.5811732605729877,0.7351164797238999,0.07334525939177101,4.060240382611667,0
rotated_rect,-20.0,val,1,0.7649918962722853,0.8668503213957759,0.055357142857142855,0.8481282201250923,0
rotated_rect,-10.0,val,1,0.6121794871794872,0.7594433399602386,0.09583333333333334,4.175331009456908,0
rotated_rect,10.0,val,2,0.6725539811066127,0.7988709394099083,0.0711696042053185,3.6515528365650174,0
rotated_rect,20.0,val,1,0.6487252124645893,0.7869415807560137,0.0711743772241993,3.084282146489141,0
rotated_rect,30.0,val,2,0.6821574170294094,0.8080298867916755,0.0697420634920635,0.7912830208874351,0
rectangular_notch,0.0,test,20,0.7221257282061082,0.8355441106792497,0.20312089361394065,1.67664306454415,0
rotated_rect,-30.0,test,1,0.6514657980456026,0.7889546351084813,0.1125,3.572539127337889,0
rotated_rect,-20.0,test,2,0.6788779309287922,0.8043096183941254,0.22758183494698017,1.5642225783929933,0
rotated_rect,-10.0,test,2,0.7230326978069582,0.8392375168690958,0.05129324457055549,3.232801539324655,0
rotated_rect,10.0,test,1,0.6902017291066282,0.8167092924126172,0.09090909090909091,3.912784307334758,0
rotated_rect,20.0,test,1,0.7021943573667712,0.8250460405156538,0.06417112299465241,2.73208039603664,0
rotated_rect,30.0,test,1,0.6254180602006689,0.7695473251028807,0.2642857142857143,0.23780334039031545,0
rectangular_notch,0.0,all,120,0.7621808068608452,0.8628015764870957,0.1711465215714967,1.8459936783215563,0
rotated_rect,-30.0,all,8,0.7197434134593235,0.8333863528084522,0.07064951367444401,2.5529849077807762,0
rotated_rect,-20.0,all,8,0.7491273826978335,0.8545313187210964,0.08703906095633274,0.9515892500887816,0
rotated_rect,-10.0,all,8,0.737055978544974,0.8474867788967855,0.05532582351122267,2.9273147121800807,0
rotated_rect,10.0,all,8,0.7154635611756379,0.8322048280805547,0.06998634681145185,3.3775375860375854,0
rotated_rect,20.0,all,8,0.7315221222541717,0.842885388308152,0.04947003901524371,2.532669862194851,0
rotated_rect,30.0,all,8,0.7042860477295523,0.8238087541390944,0.07623181216931216,0.9068390469617715,0
