group_key,group_value,sample_count,schema_pass_count,mean_delta_norm
split,test,18,18,0.02050368138229819
split,train,76,76,0.02074235985194995
split,val,18,18,0.020131434962089145
curvature_template,LD_dominant,24,24,0.020189056785634475
curvature_template,WD_dominant,20,20,0.019619370098727513
curvature_template,boxy,23,23,0.020782516008932633
curvature_template,round,23,23,0.021173769245563072
curvature_template,sharp,22,22,0.02117873260290861
depth_bin,deep,35,35,0.01975946406925273
depth_bin,medium,36,36,0.020554837604564377
depth_bin,shallow,41,41,0.021373074311195252
size_bin,elongated,22,22,0.020394887269393595
size_bin,large_wide,30,30,0.021128223382177472
size_bin,medium_balanced,30,30,0.020678613842870276
size_bin,small_compact,30,30,0.02016529354230256
aspect_bin,balanced,30,30,0.020678613842870276
aspect_bin,compact,30,30,0.02016529354230256
aspect_bin,narrow,22,22,0.020394887269393595
aspect_bin,wide,30,30,0.021128223382177472
