candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
box_oracle,oracle,val,overall,all,0.5,129,0.7448905078333222,0.8434241025566622,0.41787309805950795,0.1322061952931953,0,0,129,0.1832563570743903,1.1704415123304763,1.1704415123304766,11.084999808868186,0,0
box_oracle,oracle,val,area_bin,small,0.5,43,0.6496460500914599,0.7785520325310481,0.6224987490165563,0.17579418332158592,0,0,43,0.12782980132371533,0.8056993336059517,1.1704415123304766,6.945115298835535,0,0
box_oracle,oracle,val,area_bin,medium,0.5,43,0.7763943235368497,0.8661475496683164,0.3396422580967874,0.11243370512153866,0,0,43,0.11051074075404295,1.3028996151083785,1.1704415123304766,10.447722974704838,0,0
box_oracle,oracle,val,area_bin,large,0.5,43,0.8086311498716572,0.8855727254706225,0.29147828706518,0.10839069743646136,0,0,43,0.3114285291454127,1.4027255882770997,1.1704415123304766,15.862161153064188,0,0
box_oracle,oracle,val,signal_bin,low_signal,0.5,43,0.6843698474782117,0.8010959519759997,0.5599178282766168,0.16549705407787982,0,0,43,0.18423706558424718,0.9255479711775945,1.1704415123304766,7.410446628050403,0,0
box_oracle,oracle,val,signal_bin,non_low_signal,0.5,86,0.7751508380108775,0.8645881778469937,0.3468507329509535,0.11556076590085307,0,0,86,0.18276600281946187,1.2928882829069175,1.1704415123304766,12.922276399277075,0,0
box_oracle,oracle,val,defect_type,polygon,0.5,72,0.614950515515901,0.7578984333126693,0.6657276666088682,0.23088942112452868,0,0,72,0.22101792144045854,0.707121282219702,1.1704415123304766,11.215051320758981,0,0
box_oracle,oracle,val,defect_type,rotated_rect,0.5,57,0.9090252349711174,0.951456526864864,0.10479364304978972,0.007553699506247899,0,0,57,0.1355575389277778,1.7556881187861917,1.1704415123304766,10.920724214900865,0,0
deformable_quad_oracle,oracle,val,overall,all,0.5,129,0.8066118772722097,0.879328610687304,0.16362115181753706,0.10617585323187848,0,98,27,0.13354968530660163,1.5223193361419767,1.5223193361419767,7.284437879120551,0,0
deformable_quad_oracle,oracle,val,area_bin,small,0.5,43,0.7043286839742584,0.8088054831786085,0.25996036898335506,0.13201119480546303,0,39,3,0.06280285741072582,1.2531737981695117,1.5223193361419767,3.433085267309519,0,0
deformable_quad_oracle,oracle,val,area_bin,medium,0.5,43,0.8321270240028706,0.8965491860153925,0.14021520896900733,0.09053877842894127,0,33,8,0.127964434040667,1.5884610010492557,1.5223193361419767,6.79550171694611,0,0
deformable_quad_oracle,oracle,val,area_bin,large,0.5,43,0.8833799238395001,0.9326311628679111,0.09068787750024873,0.09597758646123111,0,26,16,0.20988176446841206,1.7253232092071626,1.5223193361419767,11.624726653106027,0,0
deformable_quad_oracle,oracle,val,signal_bin,low_signal,0.5,43,0.7493481542545092,0.8416470756526715,0.216392166405637,0.11137462463121602,0,37,5,0.05433927670792611,1.3746030635015438,1.5223193361419767,4.284557789451519,0,0
deformable_quad_oracle,oracle,val,signal_bin,non_low_signal,0.5,86,0.83524373878106,0.8981693782046203,0.13723564452348708,0.10357646753220971,0,61,22,0.1731548896059394,1.5961774724621933,1.5223193361419767,8.784377923955066,0,0
deformable_quad_oracle,oracle,val,defect_type,polygon,0.5,72,0.6830257844231169,0.7988828320309285,0.2795311146820553,0.1704941544190256,0,67,5,0.1356575427570432,1.20237750177199,1.5223193361419767,5.173482200860933,0,0
