row_type,model,family,split,group_field,group_value,sample_count,sample_id,curvature_template,depth_bin,aspect_bin,size_bin,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,projected_mask_iou,projected_mask_dice,projected_mask_area_error,projected_mask_center_error_px,volume_proxy_rel_error,clip_applied,notes
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,val,,,,rbc_pilot_001_shallow_small_compact_sharp,sharp,shallow,compact,small_compact,1.0076900720596313,0.4170079231262207,1.598372459411621,2.5871191024780273,0.9148381948471069,0.9612381458282471,0.39711272716522217,0.30245327949523926,0.3505089282989502,0.3500249683856964,0.000519286491908133,1.324222207069397,0.0009612381691113114,0.6142857142857143,0.7610619469026548,0.627906976744186,0.0,2.662688083272431,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,test,,,,rbc_pilot_002_shallow_medium_balanced_sharp,sharp,shallow,balanced,medium_balanced,0.6460534930229187,0.24273468554019928,1.0493723154067993,1.533400297164917,1.3513574600219727,0.27459463477134705,0.184889018535614,0.269133985042572,0.2326464056968689,0.2288898080587387,0.0001984677219297737,0.38931429386138916,0.0002745946403592825,0.8543689320388349,0.9214659685863874,0.14563106796116504,0.0,0.1201804786397466,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_003_shallow_large_wide_sharp,sharp,shallow,wide,large_wide,0.07582804560661316,0.014339427463710308,0.13731665909290314,0.03269501030445099,0.09994674474000931,0.023632310330867767,0.043260037899017334,0.016373515129089355,0.03080439567565918,0.030145982280373573,2.4097245841403492e-05,0.038406189531087875,2.3632310330867767e-05,0.9885931558935361,0.994263862332696,0.011538461538461539,0.0,0.04881588144177793,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_004_shallow_elongated_sharp,sharp,shallow,narrow,elongated,0.37229523062705994,0.15615509450435638,0.5884353518486023,0.44489651918411255,1.6686586141586304,0.038375962525606155,0.13657301664352417,0.12510520219802856,0.12500935792922974,0.1288958638906479,6.652345473412424e-05,0.09424452483654022,3.837596159428358e-05,0.7289719626168224,0.8432432432432433,0.3717948717948718,0.0,0.43502967593280517,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,val,,,,rbc_pilot_005_medium_small_compact_sharp,sharp,medium,compact,small_compact,0.7342221736907959,0.1280841827392578,1.340360164642334,1.4690030813217163,0.3354931175708771,0.1107945591211319,0.25631779432296753,0.33436012268066406,0.2880110740661621,0.2928963303565979,0.00023367401445284486,0.27085793018341064,0.00011079455725848675,0.7692307692307693,0.8695652173913043,0.3,0.0,0.5476374540286739,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_006_medium_medium_balanced_sharp,sharp,medium,balanced,medium_balanced,0.2165958136320114,0.09883130341768265,0.3343603312969208,0.33224189281463623,0.6888387799263,0.13658474385738373,0.06803852319717407,0.07756799459457397,0.07354408502578735,0.07305020093917847,4.9447728088125587e-05,0.048498332500457764,0.00013658474199473858,0.9379310344827586,0.9679715302491103,0.06206896551724138,0.0,0.06916814452189977,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_007_medium_large_wide_sharp,sharp,medium,wide,large_wide,0.22539591789245605,0.0837545394897461,0.367037296295166,0.18385984003543854,0.03834813833236694,0.3250688314437866,0.09322965145111084,0.06649208068847656,0.08138233423233032,0.08036801964044571,0.00020065387070644647,0.1650591790676117,0.0003250688314437866,0.9577464788732394,0.9784172661870504,0.04411764705882353,0.0,0.19874403923144401,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_008_medium_elongated_sharp,sharp,medium,narrow,elongated,0.1746760755777359,0.0987454280257225,0.2506067454814911,0.08030235767364502,0.8258670568466187,0.15163445472717285,0.06362807750701904,0.04575645923614502,0.055267393589019775,0.05488397553563118,5.1651681133080274e-05,0.03763312101364136,0.0001516344491392374,0.8782051282051282,0.9351535836177475,0.1386861313868613,0.0,0.10713197705223049,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,test,,,,rbc_pilot_009_deep_small_compact_sharp,sharp,deep,compact,small_compact,0.7987637519836426,0.5088765025138855,1.0886509418487549,1.3314177989959717,0.7994784712791443,1.729880928993225,0.21158242225646973,0.2670057415962219,0.2350803017616272,0.23788948357105255,0.0005754840094596148,0.3261178731918335,0.0017298809252679348,0.8850574712643678,0.9390243902439024,0.0759493670886076,0.0,0.26546053323464086,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_010_deep_medium_balanced_sharp,sharp,deep,balanced,medium_balanced,0.23292098939418793,0.11704980581998825,0.348792165517807,0.3821793794631958,0.20740461349487305,0.3712293803691864,0.05712622404098511,0.09550690650939941,0.07563811540603638,0.07609041780233383,0.00011561385326785967,0.05896492302417755,0.0003712293691933155,0.9842931937172775,0.9920844327176781,0.005263157894736842,0.0,0.039959077218046,False,labels used only for diagnostic evaluation
per_sample,lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,train,,,,rbc_pilot_011_deep_large_wide_sharp,sharp,deep,wide,large_wide,0.14765794575214386,0.15406878292560577,0.14124710857868195,0.5454980134963989,0.7806681394577026,0.30573225021362305,0.031781136989593506,0.03023993968963623,0.030694663524627686,0.03090524673461914,9.290096932090819e-05,0.043073620647192,0.00030573224648833275,0.9582366589327146,0.9786729857819905,0.04176334106728538,0.0,0.08199451966392197,False,labels used only for diagnostic evaluation
