sample_id,split,subset,row_origin,true_shape_type,pred_shape_type,shape_correct,burial_depth_level,size_level,aspect_bin,hardcase_target_id,center_xyz_error_mm,burial_depth_error_mm,total_abs_normalized_error,failure_tags,rank_reason
internal_hard_topup_120,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_cuboid,True,deep,large,compact,target_09_x_neg_y_pos_region,14.608484268188477,0.2912389934062958,0.5093179941177368,center_outlier|visual_suspect,worst_center
internal_hard_topup_107,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,10.133456230163574,0.3913319706916809,0.9286102652549744,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,worst_center
internal_topup_045,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,shallow,large,compact,,10.002486228942871,1.547678828239441,0.7129049897193909,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_center
internal_hard_topup_109,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,8.827550888061523,1.8887200355529785,0.6447790265083313,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,worst_center
internal_hard_topup_111,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_cuboid,True,deep_plus,large,compact,target_07_deep_plus_edge,8.539483070373535,0.49571692943573,0.607631266117096,center_outlier|visual_suspect,worst_center
internal_hard_topup_108,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_cuboid,True,deep_plus,medium,elongated_y,target_07_deep_plus_edge,7.860213279724121,0.3519267737865448,0.5512890219688416,center_outlier|dimension_outlier|visual_suspect,worst_center
internal_hard_topup_105,test,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_ellipsoid,False,deep_plus,large,compact,target_07_deep_plus_edge,7.7509942054748535,0.9898571372032166,0.6824070811271667,center_outlier|shape_misclassified|visual_suspect,worst_center
internal_pilot_032,test,source_v2,source_v2_240,internal_ellipsoid,internal_cuboid,False,shallow,large,elongated_x,,7.157613277435303,0.5761545300483704,0.9862023591995239,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,worst_center
internal_hard_topup_114,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,True,deep_plus,large,elongated_y,target_08_x_pos_y_pos_region,4.204291343688965,2.8612265586853027,0.999055802822113,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,worst_burial
internal_topup_044,test,source_v2,source_v2_240,internal_ellipsoid,internal_ellipsoid,True,deep_plus,medium,compact,,5.670320510864258,1.9017924070358276,0.5895318388938904,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_burial
internal_hard_topup_109,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,8.827550888061523,1.8887200355529785,0.6447790265083313,center_outlier|burial_outlier|shape_misclassified|full_shift_failure|geometry_branch_failure|visual_suspect,worst_burial
internal_pilot_091,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,deep_plus,medium,compact,,3.606064796447754,1.5833412408828735,0.4544513523578644,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_burial
internal_topup_045,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,shallow,large,compact,,10.002486228942871,1.547678828239441,0.7129049897193909,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_burial
internal_hard_topup_103,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,True,deep_plus,large,compact,target_07_deep_plus_edge,7.041740894317627,1.4896504878997803,0.8126643300056458,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_burial
internal_pilot_082,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,deep,medium,compact,,5.113783836364746,1.3027591705322266,0.5584666132926941,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_burial
internal_hard_topup_112,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,medium,elongated_y,target_07_deep_plus_edge,2.310098886489868,1.215842366218567,0.5312691330909729,burial_outlier|dimension_outlier|shape_misclassified|visual_suspect,worst_burial
internal_hard_topup_114,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,True,deep_plus,large,elongated_y,target_08_x_pos_y_pos_region,4.204291343688965,2.8612265586853027,0.999055802822113,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,worst_total
internal_pilot_032,test,source_v2,source_v2_240,internal_ellipsoid,internal_cuboid,False,shallow,large,elongated_x,,7.157613277435303,0.5761545300483704,0.9862023591995239,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,worst_total
internal_hard_topup_107,test,hardcase_topup,hardcase_topup_v1,internal_sphere,internal_cuboid,False,deep_plus,large,compact,target_07_deep_plus_edge,10.133456230163574,0.3913319706916809,0.9286102652549744,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,worst_total
internal_pilot_042,test,source_v2,source_v2_240,internal_ellipsoid,internal_ellipsoid,True,medium,large,elongated_y,,2.569986581802368,1.0056959390640259,0.8937816023826599,burial_outlier|dimension_outlier|visual_suspect,worst_total
internal_pilot_045,test,source_v2,source_v2_240,internal_ellipsoid,internal_ellipsoid,True,deep,small,elongated_y,,5.108283519744873,0.517195999622345,0.8854435086250305,center_outlier|dimension_outlier|visual_suspect,worst_total
internal_hard_topup_116,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,False,deep_plus,large,elongated_y,target_08_x_pos_y_pos_region,6.254583835601807,0.3486485183238983,0.8129674196243286,center_outlier|dimension_outlier|shape_misclassified|visual_suspect,worst_total
internal_hard_topup_103,test,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,True,deep_plus,large,compact,target_07_deep_plus_edge,7.041740894317627,1.4896504878997803,0.8126643300056458,center_outlier|burial_outlier|full_shift_failure|visual_suspect,worst_total
internal_pilot_087,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,deep,large,elongated_y,,4.2059221267700195,0.24219322204589844,0.7854934930801392,center_outlier|dimension_outlier|visual_suspect,worst_total
internal_pilot_057,test,source_v2,source_v2_240,internal_ellipsoid,internal_ellipsoid,True,deep_plus,medium,elongated_y,,5.388106346130371,1.177013874053955,0.713627278804779,center_outlier|burial_outlier|dimension_outlier|full_shift_failure|visual_suspect,catastrophic_failure
internal_pilot_082,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,deep,medium,compact,,5.113783836364746,1.3027591705322266,0.5584666132926941,center_outlier|burial_outlier|full_shift_failure|visual_suspect,catastrophic_failure
internal_pilot_091,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,deep_plus,medium,compact,,3.606064796447754,1.5833412408828735,0.4544513523578644,center_outlier|burial_outlier|full_shift_failure|visual_suspect,catastrophic_failure
internal_topup_044,test,source_v2,source_v2_240,internal_ellipsoid,internal_ellipsoid,True,deep_plus,medium,compact,,5.670320510864258,1.9017924070358276,0.5895318388938904,center_outlier|burial_outlier|full_shift_failure|visual_suspect,catastrophic_failure
internal_topup_045,test,source_v2,source_v2_240,internal_cuboid,internal_cuboid,True,shallow,large,compact,,10.002486228942871,1.547678828239441,0.7129049897193909,center_outlier|burial_outlier|full_shift_failure|visual_suspect,catastrophic_failure
