sample_index,defect_type,area_bin,num_defects,complexity_level,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y,pred_area_gt_true
0,polygon,small,1.0,2.0,6756.29833984375,17.07024574279785,0.01904761904761905,0.037383177570093455,0.057692307692307696,1.2683827877044678,1.6750441332690968,1.583678089636237,2.488807201385498,4.586776256561279,2.307692289352417,3.331390857696533,True
1,polygon,large,1.0,2.0,45310.55078125,71.81574249267578,0.5401941747572816,0.7014624306606152,0.32201405152224827,1.084274172782898,34.384087753832915,26.00886708748743,-3.299090623855591,5.6455607414245605,-3.1606216430664062,6.720956802368164,True
2,multi_defect,large,3.0,3.0,56471.24609375,90.72705841064453,0.398443579766537,0.5698386199220924,0.8637450199203187,0.3932550847530365,35.61752934287652,19.110730793206514,-4.3738250732421875,4.675269603729248,-4.24038553237915,5.045193195343018,True
3,polygon,small,1.0,2.0,12383.49609375,26.366003036499023,0.08333333333333333,0.15384615384615385,1.5555555555555556,2.1473817825317383,4.553074507704181,1.7816378508407666,5.947210788726807,5.68663215637207,6.144182205200195,3.5483033657073975,True
4,multi_defect,large,3.0,3.0,25082.041015625,50.1083984375,0.6053347849755035,0.7541539504916921,0.062237762237762236,0.419796347618103,23.130836713052346,21.77557373249826,-4.461428165435791,5.101840972900391,-4.095231056213379,4.896588325500488,True
5,rotated_rect,medium,1.0,2.0,24632.1015625,50.894004821777344,0.36324786324786323,0.5329153605015674,1.3490813648293962,1.2778816223144531,13.628768175234924,5.801743770686599,4.962662696838379,5.054567337036133,5.300716400146484,3.822211503982544,True
6,polygon,small,1.0,2.0,5170.2373046875,18.394845962524414,0.10967741935483871,0.19767441860465115,1.5833333333333333,1.3230668306350708,1.8882315684124364,0.7309283490628786,6.297616958618164,5.192245960235596,6.714824199676514,6.447811126708984,True
7,multi_defect,large,3.0,3.0,79777.0625,115.25724029541016,0.25265768958185686,0.4033946251768034,0.4789621318373071,0.7511314153671265,32.11516433695023,21.71466303674302,-0.16258388757705688,4.806480884552002,-0.697315514087677,5.333984851837158,True
8,polygon,medium,1.0,2.0,25239.2265625,53.108863830566406,0.21787709497206703,0.3577981651376147,3.141509433962264,1.5732474327087402,13.369897718275155,3.228266875027714,4.739128589630127,5.22468376159668,4.711766719818115,6.797693252563477,True
9,triangle,large,1.0,1.0,33970.23828125,56.57318878173828,0.3529040404040404,0.5216985534297713,0.21384297520661158,1.9486255645751953,17.892516878101716,14.740388372768052,-1.7042872905731201,4.958262920379639,-1.6469227075576782,6.906044006347656,True
10,rect,medium,1.0,1.0,24343.576171875,49.19961166381836,0.31339031339031337,0.4772234273318872,1.528061224489796,1.3854525089263916,15.090624873360682,5.969248184013509,-3.3198537826538086,5.072317123413086,-3.3165831565856934,3.68686842918396,True
11,polygon,small,1.0,2.0,3645.885986328125,14.883532524108887,0.20909090909090908,0.3458646616541353,0.7708333333333334,0.6297348737716675,1.2943522847988476,0.7309283490628786,3.631392240524292,4.594176769256592,3.9604270458221436,4.057239055633545,True
12,polygon,small,1.0,2.0,4810.21923828125,17.441205978393555,0.0,0.0,1.5483870967741935,1.5076264142990112,1.2029862411659877,0.4720578921031091,-6.044462203979492,4.627285480499268,-6.548063278198242,3.20625638961792,True
