variant,seed,selected_by_validation,sample_id,split,curvature_template,depth_bin,aspect_bin,size_bin,clip_applied,clip_fraction,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,projected_mask_area_error,projected_mask_center_error_px,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error,true_L_m,true_W_m,true_D_m,true_wLD,true_wWD,true_wLW,pred_L_m,pred_W_m,pred_D_m,pred_wLD,pred_wWD,pred_wLW
P1_profile_primary_w0p5,42,False,rbc_pilot_001_shallow_small_compact_sharp,val,sharp,shallow,compact,small_compact,False,0.11666666666666667,0.588493287563324,0.36607465147972107,0.8109118938446045,3.5686213970184326,1.2215478420257568,0.3824186325073242,0.16604173183441162,0.18159520626068115,0.18337327241897583,0.1770033985376358,0.5733333333333334,0.7288135593220338,0.7441860465116279,0.0,0.0002083146246150136,0.531219055906462,0.00038241862785071135,1.6201462260036872,0.009999999776482582,0.006000000052154064,0.0010000000474974513,0.550000011920929,0.6000000238418579,0.550000011920929,0.013568621128797531,0.00722154788672924,0.0013824186753481627,0.7160417437553406,0.7815952301025391,0.7333732843399048
P1_profile_primary_w0p5,42,False,rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,wide,large_wide,True,0.11666666666666667,0.08401743322610855,0.104708231985569,0.0633266344666481,0.34921616315841675,0.49755537509918213,0.2242870330810547,0.0,0.035083234310150146,0.006750583648681641,0.01394460629671812,0.9731800766283525,0.9864077669902913,0.019230769230769232,0.0,8.282434282591566e-05,0.13656070018322136,0.0002242870396003127,0.14370589934229117,0.024000000208616257,0.014999999664723873,0.0015999999595806003,0.550000011920929,0.6000000238418579,0.550000011920929,0.024349216371774673,0.014502444304525852,0.0013757129199802876,0.528069257736206,0.6350832581520081,0.5567505955696106
P1_profile_primary_w0p5,42,False,rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,narrow,elongated,False,0.11666666666666667,0.15585751831531525,0.20299728214740753,0.10871776193380356,0.03277324140071869,2.049758195877075,0.22471289336681366,0.013354241847991943,0.016843795776367188,0.03918445110321045,0.023127496242523193,0.7289719626168224,0.8432432432432433,0.3717948717948718,0.0,8.167038322426379e-05,0.11570335016499733,0.00022471288684755564,0.2025103007681628,0.017999999225139618,0.006000000052154064,0.0017999999690800905,0.550000011920929,0.6000000238418579,0.550000011920929,0.018032772466540337,0.008049758151173592,0.0015752870822325349,0.5633542537689209,0.6168438196182251,0.5891844630241394
P1_profile_primary_w0p5,42,False,rbc_pilot_005_medium_small_compact_sharp,val,sharp,medium,compact,small_compact,False,0.11666666666666667,1.066830039024353,0.051762115210294724,2.081897735595703,0.6199628114700317,0.00714743509888649,0.08193357288837433,0.38847774267196655,0.5117822885513306,0.4626469016075134,0.4543023109436035,0.8108108108108109,0.8955223880597015,0.23333333333333334,0.0,0.0003064118209294975,0.35517030078906986,8.193356916308403e-05,0.4894489443393223,0.012000000104308128,0.007000000216066837,0.002199999988079071,0.550000011920929,0.6000000238418579,0.550000011920929,0.01261996291577816,0.007007147651165724,0.002281933557242155,0.9384777545928955,1.1117823123931885,1.0126469135284424
P1_profile_primary_w0p5,42,False,rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,balanced,medium_balanced,True,0.11666666666666667,0.22276689112186432,0.27096614241600037,0.17456765472888947,1.651853322982788,0.6046490669250488,0.6283249258995056,0.0,0.03947710990905762,0.07044833898544312,0.036641817539930344,0.9096774193548387,0.9527027027027027,0.041379310344827586,0.0,0.00023423510720022023,0.24101634235168373,0.0006283249240368605,0.19602131588160424,0.01899999938905239,0.010499999858438969,0.0026000000070780516,0.550000011920929,0.6000000238418579,0.550000011920929,0.02065185271203518,0.00989535078406334,0.001971675083041191,0.49103793501853943,0.6394771337509155,0.6204483509063721
P1_profile_primary_w0p5,42,False,rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,wide,large_wide,False,0.11666666666666667,0.15774407982826233,0.1628492921590805,0.15263886749744415,0.6395596861839294,0.2608858048915863,0.49935024976730347,0.00954657793045044,0.01577204465866089,0.07021266222000122,0.03184376284480095,0.9882352941176471,0.9940828402366864,0.011764705882352941,0.0,0.00018418174295220524,0.1515090996444741,0.0004993502516299486,0.16977688492154494,0.027000000700354576,0.017500000074505806,0.003100000089034438,0.550000011920929,0.6000000238418579,0.550000011920929,0.026360440999269485,0.01723911426961422,0.0026006498374044895,0.5595465898513794,0.6157720685005188,0.6202126741409302
P1_profile_primary_w0p5,42,False,rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,narrow,elongated,False,0.11666666666666667,0.559935450553894,0.4449077546596527,0.6749631762504578,1.6431957483291626,1.7602238655090332,1.0340101718902588,0.10978686809539795,0.14240097999572754,0.18545764684677124,0.14588183164596558,0.7941176470588235,0.8852459016393442,0.22627737226277372,0.0,0.0003486189234536141,0.2540017610768488,0.0010340102016925812,0.09265387400628824,0.024000000208616257,0.00800000037997961,0.0035000001080334187,0.550000011920929,0.6000000238418579,0.550000011920929,0.022356804460287094,0.009760224260389805,0.0024659899063408375,0.6597868800163269,0.7424010038375854,0.7354576587677002
P1_profile_primary_w0p5,42,False,rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,balanced,medium_balanced,False,0.11666666666666667,0.6204147338867188,0.31270554661750793,0.928123950958252,0.5478262901306152,0.6038593053817749,1.0912892818450928,0.17094534635543823,0.23287004232406616,0.20394468307495117,0.20258669555187225,0.9257425742574258,0.961439588688946,0.04736842105263158,0.0,0.00033691772841848433,0.17183343914120708,0.001091289333999157,0.10014317918452421,0.02199999988079071,0.012000000104308128,0.004999999888241291,0.550000011920929,0.6000000238418579,0.550000011920929,0.022547826170921326,0.011396140791475773,0.003908710554242134,0.7209453582763672,0.8328700661659241,0.7539446949958801
P1_profile_primary_w0p5,42,False,rbc_pilot_011_deep_large_wide_sharp,train,sharp,deep,wide,large_wide,False,0.11666666666666667,0.33264318108558655,0.15717816352844238,0.5081081986427307,0.6490554809570312,1.101564645767212,0.1854701042175293,0.08335810899734497,0.13326752185821533,0.11537641286849976,0.11066734790802002,0.9675925925925926,0.9835294117647059,0.027842227378190254,0.0,0.0002665445499587804,0.1235836297533199,0.0001854700967669487,0.0561226726087801,0.029999999329447746,0.019999999552965164,0.005499999970197678,0.550000011920929,0.6000000238418579,0.550000011920929,0.029350943863391876,0.018898434937000275,0.005685470066964626,0.6333581209182739,0.7332675457000732,0.6653764247894287
P1_profile_primary_w0p5,42,False,rbc_pilot_013_shallow_small_compact_round,train,round,shallow,compact,small_compact,True,0.11666666666666667,0.22998511791229248,0.10940078645944595,0.3505694568157196,0.0,0.6672651767730713,0.274041086435318,0.08734273910522461,0.06234252452850342,0.08028042316436768,0.07665523141622543,0.9387755102040817,0.968421052631579,0.06521739130434782,0.0,9.763432899489999e-05,0.23152754143345247,0.0002740410855039954,0.33106013887309277,0.009999999776482582,0.006000000052154064,0.0010000000474974513,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.009686722420156002,0.006667265202850103,0.0012740411330014467,0.6196572780609131,0.6446574926376343,0.62671959400177
P1_profile_primary_w0p5,42,False,rbc_pilot_014_shallow_medium_balanced_round,train,round,shallow,balanced,medium_balanced,True,0.11666666666666667,0.2775971591472626,0.2301129251718521,0.32508137822151184,0.21473504602909088,2.0616660118103027,0.2999999523162842,0.055349528789520264,0.09236907958984375,0.06561172008514404,0.07111010700464249,0.7727272727272727,0.8717948717948718,0.22727272727272727,0.0,0.00011371220898581669,0.25950936992313134,0.0003663423703983426,0.383296441308958,0.01600000075995922,0.008999999612569809,0.0013000000035390258,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.01578526571393013,0.006938333623111248,0.0009336576331406832,0.762349545955658,0.7993690967559814,0.7726117372512817
P1_profile_primary_w0p5,42,False,rbc_pilot_016_shallow_elongated_round,train,round,shallow,narrow,elongated,False,0.11666666666666667,0.16574373841285706,0.13790853321552277,0.19357894361019135,0.3892071545124054,0.13285642862319946,0.49029359221458435,0.0022416114807128906,0.07256722450256348,0.0500791072845459,0.04162931442260742,0.9764705882352941,0.9880952380952381,0.024096385542168676,0.0,0.0002192118117818609,0.28879623764903173,0.0004902936052531004,0.26671711089523226,0.017999999225139618,0.006000000052154064,0.0017999999690800905,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.018389206379652023,0.006132856477051973,0.0013097063638269901,0.7092416286468506,0.6344327926635742,0.6569209098815918
P1_profile_primary_w0p5,42,False,rbc_pilot_017_medium_small_compact_round,train,round,medium,compact,small_compact,False,0.11666666666666667,0.20893621444702148,0.27404770255088806,0.1438247412443161,2.421621322631836,0.4584137201309204,0.5026963949203491,0.04518997669219971,0.04793691635131836,0.004484295845031738,0.0325370617210865,0.7926829268292683,0.8843537414965986,0.26153846153846155,0.0,0.0002110446512233466,0.22748448023763543,0.0005026963772252202,0.009297809801846742,0.012000000104308128,0.007000000216066837,0.002199999988079071,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.014421621337532997,0.007458413951098919,0.0016973036108538508,0.661810040473938,0.754936933517456,0.702515721321106
P1_profile_primary_w0p5,42,False,rbc_pilot_018_medium_medium_balanced_round,val,round,medium,balanced,medium_balanced,False,0.11666666666666667,0.24209268391132355,0.30855056643486023,0.17563480138778687,0.09052082896232605,1.4413529634475708,0.9002926349639893,0.031575679779052734,0.05224025249481201,0.03186899423599243,0.03856164216995239,0.9066666666666666,0.951048951048951,0.09333333333333334,0.0,0.0003741667896974832,0.3412651799440748,0.0009002926526591182,0.42422749803452686,0.01899999938905239,0.010499999858438969,0.0026000000070780516,0.7070000171661377,0.7070000171661377,0.7070000171661377,0.019090520218014717,0.009058646857738495,0.0016997073544189334,0.675424337387085,0.7592402696609497,0.7388690114021301
