sample_id,split,defect_type,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
sample_001,train,rectangular_notch,0.5,0.7240356083086054,0.8399311531841652,0.3522267206477733,3.6018076067142606,334,247,0,0.02571042999625206,0.18465805053710938,0.21036848425865173,0.0,0.9999454021453857,0.03951398655772209,tiny_smoke_only
sample_002,train,rectangular_notch,0.5,0.9291139240506329,0.963254593175853,0.032,0.6282046486595413,387,375,0,0.007498476654291153,0.05211472511291504,0.05961320176720619,0.0,0.9999998807907104,0.04755648970603943,tiny_smoke_only
sample_003,train,rectangular_notch,0.5,0.7738095238095238,0.87248322147651,0.1975806451612903,2.4467885735961565,398,496,0,0.03473511338233948,0.12519913911819458,0.15993425250053406,0.0,0.9999969005584717,0.04906386882066727,tiny_smoke_only
sample_004,train,rectangular_notch,0.5,0.8407643312101911,0.9134948096885813,0.1893939393939394,2.0165409053763717,471,396,0,0.0252477265894413,0.10627448558807373,0.13152220845222473,0.0,0.9999995231628418,0.057866282761096954,tiny_smoke_only
sample_005,train,rectangular_notch,0.5,0.8853974121996303,0.9392156862745098,0.08270676691729323,1.498998870876315,488,532,0,0.019766665995121002,0.06974393129348755,0.08951059728860855,0.0,1.0,0.05962924659252167,tiny_smoke_only
sample_006,train,rectangular_notch,0.5,0.6757679180887372,0.8065173116089613,0.46115288220551376,3.5547609467561596,583,399,0,0.07204803824424744,0.2172498106956482,0.28929784893989563,0.0,0.9999973773956299,0.07212243974208832,tiny_smoke_only
sample_007,train,rectangular_notch,0.5,0.9447322970639033,0.9715808170515098,0.04727272727272727,0.2830287118581961,576,550,0,0.010968643240630627,0.05170410871505737,0.06267274916172028,0.0,0.9999998807907104,0.071163609623909,tiny_smoke_only
sample_008,train,rectangular_notch,0.5,0.9587628865979382,0.9789473684210527,0.043010752688172046,0.5205994178374513,776,744,0,0.008290371857583523,0.025143980979919434,0.03343435376882553,0.0,1.0,0.09431993961334229,tiny_smoke_only
sample_009,train,rectangular_notch,0.5,0.7352941176470589,0.847457627118644,0.36,2.8315703695172565,748,550,0,0.056578606367111206,0.1578192114830017,0.21439781785011292,0.0,0.9999998807907104,0.09071226418018341,tiny_smoke_only
sample_010,train,rectangular_notch,0.5,0.9561643835616438,0.9775910364145658,0.038461538461538464,0.22901742202687755,350,364,0,0.0062106638215482235,0.05618429183959961,0.06239495426416397,0.0,0.9999845027923584,0.04216539114713669,tiny_smoke_only
sample_011,train,rectangular_notch,0.5,0.5612903225806452,0.71900826446281,0.7293233082706767,4.137045624940044,460,266,0,0.10217361152172089,0.286459743976593,0.3886333703994751,0.0,0.9999977350234985,0.056180212646722794,tiny_smoke_only
sample_012,train,rectangular_notch,0.5,0.8928571428571429,0.9433962264150944,0.12,0.2203838401285266,448,400,0,0.01180531457066536,0.06762570142745972,0.07943101227283478,0.0,0.9999996423721313,0.05408135801553726,tiny_smoke_only
sample_013,train,rectangular_notch,0.5,0.8872180451127819,0.9402390438247012,0.09487666034155598,1.7263651330123841,477,527,0,0.0171159990131855,0.0739138126373291,0.0910298079252243,0.0,0.9999995231628418,0.05899970233440399,tiny_smoke_only
sample_014,train,rectangular_notch,0.5,0.7705779334500875,0.8704253214638972,0.29772727272727273,1.5431153957202557,571,440,0,0.034448832273483276,0.13403981924057007,0.16848865151405334,0.0,0.9999988079071045,0.06925716251134872,tiny_smoke_only
sample_015,train,rectangular_notch,0.5,0.9216965742251223,0.9592529711375212,0.003401360544217687,0.7517785098646317,590,588,0,0.016806961968541145,0.0586894154548645,0.0754963755607605,0.0,1.0,0.07279880344867706,tiny_smoke_only
