sample_id,split,shape_type,topology_type,representation_target,rbc_compatible,component_count,model_pass,rbc_representable,baseline_profile_depth_rmse_m,baseline_Er_like_error,baseline_projected_mask_IoU,baseline_projected_mask_Dice,baseline_area_error,baseline_mask_center_error_px,total_normalized_MAE_vs_oracle,L_mae_mm_vs_label,W_mae_mm_vs_label,D_mae_mm_vs_label,L_mae_mm_vs_oracle,W_mae_mm_vs_oracle,D_mae_mm_vs_oracle,wLD_abs_error_vs_oracle,wWD_abs_error_vs_oracle,wLW_abs_error_vs_oracle,component_recall_proxy,merge_component_proxy,missed_component_proxy,true_component_count,pred_component_count,crack_pred_aspect_ratio,crack_aspect_abs_error,rotation_proxy_available,clip_applied_baseline_train_bounds,pred_L_m,pred_W_m,pred_D_m,pred_wLD,pred_wWD,pred_wLW,oracle_L_m,oracle_W_m,oracle_D_m,oracle_wLD,oracle_wWD,oracle_wLW,fit_oracle_profile_depth_rmse_m,notes
surf_shape_001_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0004487911352184057,5.719557764599225,0.23324022346368714,0.3782559456398641,3.287425149700599,0.14818612098297657,0.9745346903800964,11.530766725540161,6.000728996098041,1.8384211473166943,10.578863322734833,5.624027457088232,1.963477407116443,0.11992746591567993,0.09829914569854736,0.1307010054588318,1.0,False,False,1,1,,,False,False,0.02003076672554016,0.011100728996098042,0.0028384211473166943,0.8800782561302185,0.9016837477684021,0.8695011734962463,0.009451903402805328,0.0054767015390098095,0.0008749437402002513,1.0000057220458984,0.9999828934669495,1.0002021789550781,1.6179891419462418e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_002_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.00081577582576044,8.876708726382319,0.2048823016564952,0.34008683068017365,3.880851063829787,0.6237551660422949,1.35919988155365,15.363901630043983,8.726756140589714,2.8795159198343754,14.053452759981155,8.239991031587124,3.0191513942554593,0.17094576358795166,0.11045730113983154,0.1709355115890503,1.0,False,False,1,1,,,False,False,0.025363901630043983,0.014726756140589714,0.0038795159198343754,0.8289564251899719,0.8894338011741638,0.8293524980545044,0.011310448870062828,0.00648676510900259,0.0008603645255789161,0.9999021887779236,0.9998911023139954,1.0002880096435547,1.9142418104780846e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_003_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0008949928835173742,5.4190273311950445,0.30341113105924594,0.465564738292011,2.2958579881656807,0.21640212017482427,1.1091150045394897,13.665808469057083,6.31801585406065,3.081740126013756,12.181047350168228,5.796408746391535,3.26820882037282,0.10704165697097778,0.08326804637908936,0.08574092388153076,1.0,False,False,1,1,,,False,False,0.025665808469057083,0.01351801585406065,0.004581740126013756,0.8935307860374451,0.9164761900901794,0.913352370262146,0.013484761118888855,0.007721607107669115,0.001313531305640936,1.0005724430084229,0.9997442364692688,0.9990932941436768,3.392929292463146e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_004_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,0.00012687176386884212,0.6854068137997091,0.7517564402810304,0.8582887700534759,0.24824355971896955,0.11217158518571146,0.3421982526779175,0.8642018064856545,0.33579932004213464,0.9519972503185272,2.606101334095001,0.9172307327389717,1.1635469272732735,0.06726545095443726,0.026533305644989014,0.052080392837524414,1.0,False,False,1,1,,,False,False,0.012635798193514347,0.007764200679957867,0.0024519972503185272,0.9325816631317139,0.9734610915184021,0.9484753608703613,0.015241899527609348,0.008681431412696838,0.0012884503230452538,0.9998471140861511,0.9999943971633911,1.0005557537078857,3.771513299527994e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_005_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0008838572882831529,5.139231415915717,0.15089285714285713,0.2622187742435997,5.627218934911243,0.3439064267523936,10.512649536132812,17.33256922662258,8.54956982433796,2.172985567897558,17.69073959439993,8.869483135640621,2.9145029839128256,4.130890369415283,4.086797416210175,4.103635013103485,1.0,False,False,1,1,,,False,False,0.02583256922662258,0.01364956982433796,0.004372985567897558,0.8691096305847168,0.9128759503364563,0.8963649868965149,0.008141829632222652,0.004780086688697338,0.0014584825839847326,5.0,4.999673366546631,5.0,5.142115409867651e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_006_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0005424773785765408,2.700249139959178,0.21171171171171171,0.34944237918215615,3.723404255319149,0.6244423528737626,1.2049692869186401,14.530380964279175,8.77590948343277,0.7798715841025112,13.168945908546448,8.288803044706583,1.0989942820742726,0.22166728973388672,0.13732904195785522,0.1964510679244995,1.0,False,False,1,1,,,False,False,0.024530380964279175,0.01477590948343277,0.0029798715841025114,0.7781636714935303,0.8623656034469604,0.8039083480834961,0.011361435055732727,0.006487106438726187,0.0018808773020282388,0.999830961227417,0.9996946454048157,1.0003594160079956,3.925614281894965e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_007_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0003269008598508472,0.9881107331835054,0.41421568627450983,0.58578856152513,1.4142011834319526,0.12408724408174021,0.7007607817649841,9.327976137399673,4.766980062425136,0.07886623218655592,7.71776307374239,4.1516125202178955,0.3438759595155716,0.14703428745269775,0.1034841537475586,0.14448559284210205,1.0,False,False,1,1,,,False,False,0.021327976137399673,0.011966980062425137,0.002921133767813444,0.8525129556655884,0.8961693644523621,0.8556321859359741,0.013610213063657284,0.007815367542207241,0.0025772578082978725,0.9995472431182861,0.9996535181999207,1.0001177787780762,6.790408696344748e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_008_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,True,True,0.00021959380562752072,0.5928653324940757,0.5760869565217391,0.7310344827586207,0.7358490566037735,0.0820715898886979,0.540006697177887,6.821372896432875,3.217025870084761,0.18309962190687662,5.144710652530193,2.5884201750159264,0.27172151021659374,0.1259637475013733,0.10197281837463379,0.13305401802062988,1.0,False,False,1,1,,,False,False,0.020321372896432877,0.011317025870084763,0.0028169003780931234,0.8740847706794739,0.8977691531181335,0.8674253225326538,0.015176662243902683,0.008728605695068836,0.0025451788678765297,1.0000485181808472,0.9997419714927673,1.0004793405532837,7.479148027891204e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_009_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0007036081928221775,9.040148932611178,0.16617790811339198,0.28499580888516346,5.017647058823529,0.018068307620137235,1.3107908964157104,15.136028170585632,8.51450832337141,2.573114052414894,14.037080109119415,8.101744577288628,2.7152333641424775,0.1634054183959961,0.10609650611877441,0.16976642608642578,1.0,False,False,1,1,,,False,False,0.023636028170585632,0.01361450832337141,0.003573114052414894,0.8366485834121704,0.8937183618545532,0.8303537368774414,0.009598948061466217,0.005512763746082783,0.0008578806882724166,1.0000540018081665,0.9998148679733276,1.0001201629638672,1.598507942286353e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
surf_shape_010_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,False,True,0.0008401006827869696,9.129033419666685,0.1988255033557047,0.33170048985304407,4.029535864978903,0.08278644551679144,1.3398441076278687,15.57462453842163,8.55659605562687,2.9782365784049034,14.354969374835491,8.106879889965057,3.108915174379945,0.15864646434783936,0.1112755537033081,0.14163726568222046,1.0,False,False,1,1,,,False,False,0.02557462453842163,0.01455659605562687,0.003978236578404903,0.8414503335952759,0.8888342380523682,0.8586127161979675,0.01121965516358614,0.006449716165661812,0.0008693214040249586,1.0000967979431152,1.0001097917556763,1.000249981880188,1.8127037447545388e-05,center/rotation labels used only for metric reconstruction; model input is delta_b only
