seed,method,group,count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true
42,fair_single_liftoff,overall,200,22730.472033691407,49.30171543121338,0.28832407823498946,0.41829904141812874,0.42428716577512676,1.338955887979236,19,176,24
42,fair_single_liftoff,small,63,12636.993683345734,32.22167829483274,0.18310379024820433,0.2755145619287162,0.5541675669852575,1.0696476383701614,17,55,8
42,fair_single_liftoff,medium,68,20558.274342256434,45.41314169939827,0.3143400077157134,0.4549987318250896,0.351777196304699,1.202813547104597,2,56,12
42,fair_single_liftoff,large,69,34086.97317991395,68.72874953781348,0.35875588893757254,0.5124996683769644,0.37715981284397954,1.6487178297146508,0,65,4
42,fair_single_liftoff,low_signal,60,16737.203653971355,37.55545167922973,0.14263182990851614,0.22197918164400748,0.7006423786413065,1.34884954155201,18,57,3
42,multi_liftoff,overall,200,22877.87837890625,48.435511093139645,0.3179075767334147,0.45303836437196393,0.3537722619379655,1.2772088346806796,10,153,46
42,multi_liftoff,small,63,13019.222904265873,31.865919506739058,0.2430442096654384,0.34951438524776984,0.4546361847167355,1.0932184019022517,9,39,24
42,multi_liftoff,medium,68,20837.805333754597,45.349112903370575,0.3408432426104467,0.485131606923186,0.25644228676840747,1.2538786384819158,1,50,17
42,multi_liftoff,large,69,33889.76623358243,66.60593640977058,0.3636578208731876,0.5159321352609659,0.3575985108722764,1.443855305917669,0,64,5
42,multi_liftoff,low_signal,60,16770.857340494793,36.37408920923869,0.20662120442595275,0.30235920543320477,0.5912974414141184,1.2652642457187175,10,53,7
123,fair_single_liftoff,overall,200,22725.676667480468,48.714928197860715,0.2911804757688068,0.42269645673135414,0.4049148250955665,1.2040660826927,17,176,24
123,fair_single_liftoff,small,63,12706.293798053075,32.15455448816693,0.20028661874262166,0.2961166102463727,0.5111413263664766,1.044499590061605,15,54,9
123,fair_single_liftoff,medium,68,20370.225284352022,45.22737278657801,0.30715556375733943,0.4477815329320634,0.34199664084890824,1.1721462605125976,2,62,6
123,fair_single_liftoff,large,69,34195.123259171196,67.27228054101916,0.35842695416633497,0.5135478356720149,0.36993173739564505,1.3456008639996466,0,60,9
123,fair_single_liftoff,low_signal,60,16431.10349121094,37.352750587463376,0.15569227782048217,0.24049301156728622,0.6639629975642916,1.1631534536217534,17,59,1
123,multi_liftoff,overall,200,23260.91274902344,49.47930145263672,0.2727762998583751,0.3984351514439294,0.4492361101063044,1.3778334751621717,20,173,27
123,multi_liftoff,small,63,12847.070110987102,32.6608999948653,0.1767931161285827,0.2667768608970477,0.5617129389788832,1.1083791726165348,18,55,8
123,multi_liftoff,medium,68,21045.048756318934,46.65639019012451,0.2985492176736459,0.43348109726725026,0.38659980976271074,1.312024660380275,2,53,15
123,multi_liftoff,large,69,34952.95387511323,67.61723272351252,0.33501372251835343,0.4841068614217223,0.4082684029235783,1.6165121040050534,0,65,4
123,multi_liftoff,low_signal,60,16762.533203125,37.52163556416829,0.13216493855601338,0.20393692925131043,0.707345092413345,1.534863159386441,20,59,1
2026,fair_single_liftoff,overall,200,22721.102788085936,47.04446902275085,0.3002031688867489,0.42897687834978243,0.4126323573954695,1.304020423752566,20,171,29
2026,fair_single_liftoff,small,63,12587.534133184523,31.241040517413428,0.2167124656137765,0.3062186339940852,0.5295245304388254,0.9911454858879248,18,50,13
2026,fair_single_liftoff,medium,68,20071.779067095587,43.60821095634909,0.33129759282183485,0.4727772379002803,0.31863513539634086,1.168058384548534,2,52,16
2026,fair_single_liftoff,large,69,34584.41928498641,64.86014357857083,0.34579003089560995,0.4978949210305806,0.3985396645579236,1.6381199424681456,0,69,0
2026,fair_single_liftoff,low_signal,60,16622.47023111979,36.18426767985026,0.1715387041355148,0.25238090692504966,0.6780560093049856,1.3094994177110493,20,58,2
2026,multi_liftoff,overall,200,22981.723742675782,45.40720643997192,0.2568870859892886,0.37821971123969866,0.5163715803165789,1.3457736760545314,22,192,8
2026,multi_liftoff,small,63,12515.435027591766,28.572473011319598,0.1801728781858221,0.2653588359827308,0.6027996547745319,1.0461255691268228,19,57,6
2026,multi_liftoff,medium,68,20313.163114659925,41.81283109328326,0.2818078439783483,0.4151483404613734,0.446374925529032,1.2791821064857336,3,66,2
2026,multi_liftoff,large,69,35167.786231884056,64.32033295562302,0.30237090553077167,0.44487316564716395,0.506441201109364,1.599584817022517,0,69,0
2026,multi_liftoff,low_signal,60,16874.79903157552,33.54888995488485,0.11953149992299808,0.18765359623996805,0.7819411897412692,1.4651618799880932,22,59,1
