row_type,criterion,epoch,split,checkpoint,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
val_epoch,epoch,1,val,,32658.016646728516,59.397057142257694,0.0,0.0,1.0,nan,200,200,0,-1.0
val_epoch,epoch,2,val,,27380.215076904296,70.47481900215149,0.011590108379280907,0.01808872432083266,0.9790540896323319,1.4691538830598196,185,199,1,-0.9493752569322182
val_epoch,epoch,3,val,,24916.977165527343,55.497551946640016,0.1949125974782745,0.2813008240836517,0.5934471939529109,1.417657202504801,68,167,33,-0.1172337723909847
val_epoch,epoch,4,val,,23912.6323828125,53.44882858753204,0.2523229376367231,0.3690129123554861,0.5148474173096317,1.4065006657064647,26,170,30,0.10648843268257757
val_epoch,epoch,5,val,,23808.303317871094,59.769546031951904,0.22173732692689682,0.33218747926544906,0.5612695245160443,1.362195290099172,30,191,9,-0.007344718323698429
val_epoch,epoch,6,val,,23274.661834716797,53.10322058200836,0.27872634288796794,0.4025539413035844,0.4375792989155985,1.2383170954294895,29,173,27,0.2437009852759539
val_epoch,epoch,7,val,,22770.699759521485,47.115733428001406,0.2767881148472238,0.3966398454836558,0.4401413576035446,1.2757099852572347,28,178,22,0.23328660272733498
val_epoch,epoch,8,val,,22693.197232666014,50.39389002799988,0.23444328432069828,0.3450847628823234,0.5441532213250974,1.297645794609225,34,187,13,0.0353748258779244
val_epoch,epoch,9,val,,22955.049622802733,47.39974393367768,0.20970221140149778,0.31120308305937094,0.6149789619224715,1.3170108649879695,40,189,11,-0.09407366746160273
val_epoch,epoch,10,val,,22506.18180419922,50.24465021133423,0.2713301276657688,0.39213371672659364,0.46665556125661295,1.2643119377651433,26,178,21,0.19680828313574944
val_epoch,epoch,11,val,,22834.524998779296,51.14274320602417,0.26653977099862586,0.3844758689965019,0.46432279837474183,1.3159738961025813,27,175,24,0.18669284162038585
val_epoch,epoch,12,val,,22633.059775390626,45.42877436637878,0.25794428529303187,0.37096616984326203,0.5217776268896516,1.2367009965126359,32,173,27,0.10713282824664228
val_epoch,epoch,13,val,,23091.996516113282,51.87741169452667,0.32585787722638915,0.4569056513835072,0.38774527941355474,1.1218989665154369,20,131,69,0.39501824919634165
val_epoch,epoch,14,val,,22472.598970947267,47.830385513305664,0.2678889307497221,0.3846080021872368,0.4899265277084699,1.207108219778713,30,170,30,0.16257040522848898
val_epoch,epoch,15,val,,22378.95442138672,47.40443136692047,0.22615145925364014,0.33204336506892074,0.5876811675133424,1.2524720069342925,38,194,6,-0.029486343190781583
val_epoch,epoch,16,val,,23430.996684570313,50.43521714687348,0.1823985445832636,0.278547457085864,0.6673115864586567,1.4820239380733367,37,198,2,-0.20636558478952916
val_epoch,epoch,17,val,,22284.08889404297,51.975119762420654,0.26394149419318913,0.3814636550796979,0.4837518450217726,1.323240884808366,33,186,13,0.16165330425111446
val_epoch,epoch,18,val,,22682.83184448242,47.21028966665268,0.23733333074432825,0.3476617997021397,0.5525182033372986,1.3183421116924572,33,182,18,0.032476927109169273
val_epoch,epoch,19,val,,22337.53698486328,46.063084352016446,0.2773228805818416,0.39856849668571287,0.44773037423265444,1.2685166054568384,23,175,25,0.2281610030349001
val_epoch,epoch,20,val,,22765.708430175782,46.3987162733078,0.2853794260443863,0.40728648990397104,0.4391715106337959,1.2971459140064399,27,178,22,0.25349440531456147
val_epoch,epoch,21,val,,22840.37351074219,49.594249181747436,0.2957107865253849,0.420213416528414,0.3792449280832897,1.2654016670686277,24,156,44,0.3366792749705092
val_epoch,epoch,22,val,,22386.27683959961,45.57707516670227,0.23181016120109071,0.338645069282372,0.5667010718836941,1.2701892957232799,42,188,12,0.0037541585997685756
val_epoch,epoch,23,val,,22646.741475830077,46.46419295787811,0.22893703089510475,0.3358904954524822,0.5510687367738005,1.3501385744707084,38,190,10,0.0137587895737864
val_epoch,epoch,24,val,,22531.323513183594,44.928225061893464,0.2909400877572278,0.413659518840074,0.41477792003774794,1.2159304726312214,26,162,38,0.28982168655955387
val_epoch,epoch,25,val,,23004.121595458986,53.885852556228635,0.3073219611830347,0.43478083352560254,0.38021007073502716,1.1725843407995793,19,155,45,0.36189272397361
val_epoch,epoch,26,val,,23044.851499023436,45.20961362600327,0.26453324989557386,0.3830584037813382,0.4480910781094142,1.2730876860710292,31,177,22,0.1995005755674979
val_epoch,epoch,27,val,,23045.778763427734,50.35192106723785,0.27796850781926447,0.39846177232057356,0.4324827219472691,1.307563885939361,26,169,31,0.24394755819256897
val_epoch,epoch,28,val,,23164.45919189453,48.93699959278106,0.3141237886323895,0.44311809283973497,0.3709663047663593,1.1820852203028542,18,142,58,0.3862755767057652
val_epoch,epoch,29,val,,23326.69521118164,42.69827825069427,0.23616965804596915,0.34899782815645125,0.5296741227755771,1.3127971557571607,30,193,7,0.0554933634268433
val_epoch,epoch,30,val,,23427.749150390624,43.720586121082306,0.2311245420658605,0.33879129833057303,0.532102920484568,1.427701884598443,35,185,15,0.03781291991186553
val_epoch,epoch,31,val,,23064.155552978515,42.98874271869659,0.2786625283334704,0.39999216399061216,0.4475289293158734,1.2629705652255903,24,172,28,0.2311257630082092
val_epoch,epoch,32,val,,22930.19387207031,42.15469227552414,0.2725559098129882,0.39280813769971007,0.4557580389685605,1.239656542043733,23,181,19,0.2096060085441378
val_epoch,epoch,33,val,,24035.983443603516,47.5914938545227,0.2848925310303435,0.4050427938071991,0.41266866502260524,1.2696698846327776,27,152,48,0.27726665981493737
val_epoch,epoch,34,val,,23478.58627441406,43.41021395206452,0.2971087691181991,0.42026793900308285,0.4023766385326813,1.238923660931993,23,143,57,0.31500006958860066
