model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,val,source_v2,aspect_bin,compact,22,0.25776931643486023,0.5060755610466003,0.40518248081207275,0.07472341507673264,0.2530149817466736,0.9638887047767639,0.9090909090909091,0.8333333333333334,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,aspect_bin,elongated_x,13,0.15918725728988647,0.7552574872970581,0.30205512046813965,0.038923971354961395,0.10932600498199463,0.5257687568664551,0.8461538461538461,0.5462962962962963,0,0
H2_B2_hardcase_tail_weighted,True,val,source_v2,aspect_bin,elongated_y,5,0.34406039118766785,0.8537505269050598,0.7190279960632324,0.06255721300840378,0.46545878052711487,1.227575421333313,0.8,0.5079365079365079,1,1
H2_B2_hardcase_tail_weighted,True,val,source_v2,row_origin,source_v2_240,40,0.2365165501832962,0.6305190324783325,0.41089680790901184,0.061567820608615875,0.23287157714366913,0.8544605374336243,0.875,0.8701298701298702,1,1
H2_B2_hardcase_tail_weighted,True,val,source_v2,hardcase_target_id,,40,0.2365165501832962,0.6305190324783325,0.41089680790901184,0.061567820608615875,0.23287157714366913,0.8544605374336243,0.875,0.8701298701298702,1,1
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,shape_type,internal_cuboid,9,0.38941457867622375,0.9301453828811646,1.0010297298431396,0.061559710651636124,0.39079803228378296,1.5684800148010254,0.5555555555555556,0.2380952380952381,0,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,shape_type,internal_ellipsoid,9,0.4515649378299713,0.9310660362243652,0.9932172298431396,0.10725989192724228,0.7297748327255249,1.192542314529419,0.6666666666666666,0.26666666666666666,1,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,shape_type,internal_sphere,2,1.1732234954833984,2.13065505027771,3.135010004043579,0.0683455765247345,3.1145379543304443,4.492710590362549,0.0,0.0,2,2
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,burial_depth_level,deep,3,0.40127626061439514,0.9602570533752441,1.1827419996261597,0.14165237545967102,0.37041011452674866,1.0885224342346191,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,burial_depth_level,deep_plus,3,0.3727380037307739,0.6983680725097656,0.6636098623275757,0.07574966549873352,0.5561587810516357,1.0994246006011963,0.6666666666666666,0.26666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,val,hardcase_topup,burial_depth_level,medium,3,0.3328097462654114,0.8862736225128174,0.8503570556640625,0.042449723929166794,0.3298783302307129,2.068180561065674,0.6666666666666666,0.26666666666666666,0,0
