candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,vertex_mae,vertex_rmse,invalid_count,out_of_image_count
oracle_quad_pseudo_label,oracle,val,overall,all,0.5,129,0.8066118772722097,0.879328610687304,0.16362115181753706,0.10617585323187848,0,98,27,1.5223193361419767,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,area_bin,small,0.5,43,0.7043286839742584,0.8088054831786085,0.25996036898335506,0.13201119480546303,0,39,3,1.2531737981695117,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,area_bin,medium,0.5,43,0.8321270240028706,0.8965491860153925,0.14021520896900733,0.09053877842894127,0,33,8,1.5884610010492557,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,area_bin,large,0.5,43,0.8833799238395001,0.9326311628679111,0.09068787750024873,0.09597758646123111,0,26,16,1.7253232092071626,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,signal_bin,low_signal,0.5,43,0.7493481542545092,0.8416470756526715,0.216392166405637,0.11137462463121602,0,37,5,1.3746030635015438,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,signal_bin,non_low_signal,0.5,86,0.83524373878106,0.8981693782046203,0.13723564452348708,0.10357646753220971,0,61,22,1.5961774724621933,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,defect_type,polygon,0.5,72,0.6830257844231169,0.7988828320309285,0.2795311146820553,0.1704941544190256,0,67,5,1.20237750177199,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,val,defect_type,rotated_rect,0.5,57,0.9627206261342216,0.9809443310953573,0.01720856714656661,0.024931683311271564,0,31,22,1.926456390083012,1.5223193361419767,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,overall,all,0.5,138,0.8361052892619087,0.9017272527454175,0.1367728731686873,0.09829425380693452,0,106,29,1.601059668838639,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,area_bin,small,0.5,46,0.7678473567792522,0.8592173267724321,0.20487860496474586,0.1093596704405449,0,43,2,1.4221860785869387,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,area_bin,medium,0.5,46,0.8258704539690522,0.8927658535543325,0.1504238470004968,0.10481890582013875,0,39,7,1.5682124605228878,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,area_bin,large,0.5,46,0.9145980570374218,0.9531985779094881,0.055016167540819394,0.0807041851601199,0,24,20,1.8127804674060906,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,signal_bin,low_signal,0.5,46,0.8034380576621297,0.882013022606324,0.1743189949687849,0.09670095208971559,0,42,4,1.5111320852996688,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,signal_bin,non_low_signal,0.5,92,0.8524389050617982,0.9115843678149645,0.11799981226863852,0.09909090466554397,0,64,25,1.6460234606081243,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,defect_type,polygon,0.5,75,0.7342865368214284,0.8375832099448857,0.23460820512291305,0.15629873151580492,0,70,5,1.337261541643401,1.601059668838639,0.0,0.0,0,0
oracle_quad_pseudo_label,oracle,test,defect_type,rotated_rect,0.5,63,0.9573180897862898,0.9780892084603365,0.02030223988984715,0.02924130415351736,0,36,24,1.9151050583567792,1.601059668838639,0.0,0.0,0,0
