sample_id,split,defect_type,delta_iou,delta_dice,delta_area_error,forward_nrmse_reduction,mismatch_flag
rect_p2_0054,train,rectangular_notch,-0.0014632786732939884,-0.0009363821628280977,-0.02463054187192118,0.0049912333488464355,1
rect_v9_0063,train,rectangular_notch,-0.0023586901336942745,-0.0016672367420100809,0.045454545454545456,0.03762650489807129,1
rot_v9_0059,train,rotated_rect,-0.0024182076813655806,-0.0018674136321195078,-0.07083333333333333,0.006175428628921509,1
rot_p3_0011,train,rotated_rect,-0.004789963123296492,-0.0038254791852849745,-0.12099644128113879,0.014705419540405273,1
rect_p2_0115,test,rectangular_notch,-0.004798228346456712,-0.0032379327045040096,0.018518518518518545,0.002421081066131592,1
rot_v9_0005,train,rotated_rect,-0.0068471481514960075,-0.0048577543707765125,0.012499999999999997,0.010616034269332886,1
rot_v8_0021,val,rotated_rect,-0.007081232784158842,-0.005445480251391355,-0.0778688524590164,0.009071201086044312,1
rect_p2_0076,val,rectangular_notch,-0.007452520632395321,-0.00455860729833335,-0.04278074866310161,0.017857074737548828,1
rect_p2_0118,test,rectangular_notch,-0.007832898172323688,-0.005397483053594332,0.00824175824175824,0.0035018324851989746,1
rot_v9_0020,train,rotated_rect,-0.008396484861422415,-0.006553735073590694,0.14225941422594143,0.0237882137298584,1
rect_p2_0093,train,rectangular_notch,-0.009117388635460855,-0.005958924718917791,0.03671328671328672,0.010342776775360107,1
rect_p2_0053,train,rectangular_notch,-0.010204119661750943,-0.0075614471140569295,0.0039215686274509665,0.009325385093688965,1
rect_p2_0057,train,rectangular_notch,-0.010466507177033457,-0.0063626012993101,-0.0468227424749164,0.007933974266052246,1
rot_p3_0043,test,rotated_rect,-0.010667670682731,-0.007925361740316106,-0.010695187165775402,0.00021660327911376953,1
rect_p2_0021,train,rectangular_notch,-0.012680390492360027,-0.009784529196293912,0.014583333333333334,0.002604365348815918,1
rot_v9_0072,train,rotated_rect,-0.013623286512100208,-0.010664017221394206,0.0292887029288703,0.01906701922416687,1
rot_v7_0006,test,rotated_rect,-0.014544025157232743,-0.010303536619326037,-0.033333333333333326,0.024121731519699097,1
rot_v9_0018,train,rotated_rect,-0.014661756683033378,-0.010834600169658093,0.08786610878661089,0.0001976490020751953,1
rect_p2_0065,train,rectangular_notch,-0.014817601156495663,-0.009056280568891295,0.10153846153846155,0.03072190284729004,1
rot_v9_0058,train,rotated_rect,-0.015952817224003768,-0.010859904888126604,-0.012499999999999997,0.014334261417388916,1
rect_v9_0047,train,rectangular_notch,-0.015954606141522,-0.010078009698503032,-0.05882352941176469,0.028356164693832397,1
rot_v8_0035,train,rotated_rect,-0.01606773784918991,-0.01204397801099455,-0.10460251046025104,0.026753246784210205,1
rot_p3_0003,val,rotated_rect,-0.01673144832584228,-0.012950147853618366,-0.11785714285714287,0.02516496181488037,1
rect_v9_0028,train,rectangular_notch,-0.018433179723502335,-0.013570828624859144,0.01843317972350228,0.008102208375930786,1
rot_p3_0032,train,rotated_rect,-0.018820786142571655,-0.013109286348722993,-0.05178571428571428,0.0052953362464904785,1
rot_v7_0023,val,rotated_rect,-0.019188207291101267,-0.014160792018182433,-0.004166666666666666,0.006591171026229858,1
rot_v9_0076,train,rotated_rect,-0.019561815336463284,-0.01525785779676525,-0.0711297071129707,0.01399579644203186,1
rect_v9_0023,train,rectangular_notch,-0.02145246438811277,-0.014729562536679786,-0.03125000000000003,0.024678438901901245,1
rect_p2_0015,train,rectangular_notch,-0.021687445142267947,-0.015847515146986457,-0.0231578947368421,0.007151544094085693,1
rot_p3_0020,train,rotated_rect,-0.022958400636042042,-0.01636643598212517,-0.02495543672014261,0.0015352964401245117,1
rect_v9_0070,train,rectangular_notch,-0.02318758549125044,-0.01777173657630171,-0.031620553359683806,0.02180182933807373,1
rect_v9_0011,train,rectangular_notch,-0.024999999999999967,-0.025013437967735364,0.025000000000000022,0.0006202459335327148,1
rect_p2_0031,train,rectangular_notch,-0.026964629650888416,-0.018125793780512045,0.04190476190476189,0.02114236354827881,1
rot_p3_0036,train,rotated_rect,-0.027458923596412665,-0.018764916317252744,-0.026785714285714288,0.0021826624870300293,1
rect_p2_0029,train,rectangular_notch,-0.027741477092505407,-0.01705002914451581,-0.134469696969697,0.004336655139923096,1
rect_p2_0081,test,rectangular_notch,-0.028080446685097793,-0.021775726828895392,0.20714285714285713,0.02083122730255127,1
rot_v8_0039,train,rotated_rect,-0.03064097307639746,-0.02091964319038553,0.04184100418410042,0.011488586664199829,1
rect_p2_0048,train,rectangular_notch,-0.03141466858281017,-0.024642687621960868,-0.11278195488721804,0.0004900693893432617,1
rect_p2_0100,test,rectangular_notch,-0.03303336259877088,-0.027043687684839668,0.011695906432748537,0.003958165645599365,1
rect_p2_0092,test,rectangular_notch,-0.03391711461765212,-0.02164483002832862,-0.05882352941176471,0.020276188850402832,1
rect_p2_0009,train,rectangular_notch,-0.03412698412698412,-0.02258521981196493,0.034632034632034625,0.005476534366607666,1
rot_v9_0031,train,rotated_rect,-0.03522953677569318,-0.02716271627162714,0.04166666666666667,0.01299092173576355,1
rect_p2_0064,train,rectangular_notch,-0.03559827535903004,-0.020885161093993743,0.037698412698412696,0.002740025520324707,1
rect_v9_0067,val,rectangular_notch,-0.03588372216990354,-0.025440917107583783,0.021739130434782594,0.07713818550109863,1
rect_v9_0057,train,rectangular_notch,-0.036123914674670354,-0.028331231609920238,0.03258145363408521,0.01047566533088684,1
rect_p2_0087,train,rectangular_notch,-0.036353926432899586,-0.027434425306765653,0.01096491228070176,0.006345510482788086,1
rect_v9_0001,val,rectangular_notch,-0.03643668606262118,-0.025100209963733522,0.015999999999999986,0.14188867807388306,1
rot_v9_0023,train,rotated_rect,-0.03830510791735742,-0.029571142575387288,0.1673640167364017,0.02526828646659851,1
rot_v9_0046,train,rotated_rect,-0.03960774325012739,-0.030339983415443195,0.016666666666666663,0.012593328952789307,1
rot_p3_0023,train,rotated_rect,-0.042650210898809826,-0.03226853813191466,-0.0802139037433155,0.013853609561920166,1
rot_v9_0034,train,rotated_rect,-0.043327714841963516,-0.03509570352809188,-0.1333333333333333,0.01292186975479126,1
rect_p2_0003,train,rectangular_notch,-0.04380728732671768,-0.03165688166304004,-0.011428571428571427,0.005970120429992676,1
rect_v9_0008,train,rectangular_notch,-0.04977604893135923,-0.04165601793699214,0.034226190476190466,0.17545557022094727,1
rect_p2_0083,train,rectangular_notch,-0.049869882894605144,-0.031152307115168143,0.008403361344537816,0.003482818603515625,1
rect_v9_0003,train,rectangular_notch,-0.04991630798660929,-0.03779449150944114,-0.1286549707602339,0.03877890110015869,1
rect_v9_0026,train,rectangular_notch,-0.05023817607539327,-0.035266502961143975,0.03359683794466403,0.0030155330896377563,1
rot_v8_0001,val,rotated_rect,-0.052114572087381794,-0.03466312056737586,-0.041666666666666664,0.010452017188072205,1
rect_p2_0019,train,rectangular_notch,-0.05239483919035004,-0.038041547578678836,-0.04761904761904763,0.005888104438781738,1
rect_p2_0006,val,rectangular_notch,-0.052514661453705425,-0.03596750144539451,0.09022556390977443,0.0033216476440429688,1
rot_p3_0047,test,rotated_rect,-0.053852085524009885,-0.042541644515328714,-0.053475935828877,0.0019753575325012207,1
rect_p2_0051,train,rectangular_notch,-0.05386006614303429,-0.036398208201033566,0.05681818181818182,0.005871295928955078,1
rect_p2_0082,train,rectangular_notch,-0.054523019704209585,-0.03371100989307274,-0.016563146997929608,0.008270263671875,1
rect_v9_0054,test,rectangular_notch,-0.06028832668033224,-0.039395040921758384,-0.10326086956521739,0.01828444004058838,1
rect_v9_0007,train,rectangular_notch,-0.06055059261376422,-0.052087256748273636,0.03818181818181815,0.07167965173721313,1
rect_p2_0011,train,rectangular_notch,-0.06424655295614246,-0.04229400131839156,0.21645021645021645,0.0026102066040039062,1
rect_v9_0059,train,rectangular_notch,-0.0658307210031348,-0.051532800812339685,0.0658307210031348,0.05074465274810791,1
rect_p2_0047,val,rectangular_notch,-0.0718254218081088,-0.04779797799941865,-0.03289473684210527,0.011426091194152832,1
rect_p2_0067,train,rectangular_notch,-0.0718350175351048,-0.04434518174807167,0.0041407867494824,0.004971921443939209,1
rect_p2_0032,train,rectangular_notch,-0.07328039192445979,-0.04855700762335591,0.05681818181818182,0.016275882720947266,1
rot_v8_0004,train,rotated_rect,-0.07426135761940067,-0.04579797460294133,0.049999999999999996,0.02541080117225647,1
rect_p2_0091,val,rectangular_notch,-0.07429298219362568,-0.05481039907269414,0.06730769230769232,0.008497953414916992,1
rot_v9_0045,train,rotated_rect,-0.07441691952357232,-0.05442429220598566,0.19999999999999998,0.007238805294036865,1
rot_v9_0066,train,rotated_rect,-0.07718120805369133,-0.05965498633523081,-0.029411764705882353,0.010396838188171387,1
rect_v9_0005,train,rectangular_notch,-0.07914847376481848,-0.05410620998150972,0.11538461538461539,0.17334648966789246,1
rot_v8_0036,train,rotated_rect,-0.08022396622148797,-0.05471048513302035,-0.10084033613445378,0.024914652109146118,1
rect_p2_0056,train,rectangular_notch,-0.08440744718940207,-0.057158814653819445,0.11111111111111112,0.002015233039855957,1
rect_v9_0052,train,rectangular_notch,-0.08789486375693278,-0.05394587249157412,-0.04710144927536231,0.023736536502838135,1
rot_v9_0074,train,rotated_rect,-0.09041322314049594,-0.06427285788295867,-0.13389121338912136,0.007826089859008789,1
rot_v9_0064,train,rotated_rect,-0.09086638217907061,-0.05559947299077739,0.04583333333333334,0.012601107358932495,1
rect_p2_0022,train,rectangular_notch,-0.09687528804498113,-0.06458947885939037,0.09999999999999998,0.02789151668548584,1
rot_v9_0061,train,rotated_rect,-0.09871828255649107,-0.06294273907910275,-0.100418410041841,0.045789629220962524,1
rect_v9_0039,train,rectangular_notch,-0.10097001763668434,-0.06386736907344281,-0.07024793388429752,0.006063640117645264,1
rect_p2_0027,train,rectangular_notch,-0.1059712109799984,-0.0716402288526955,0.125,0.007621407508850098,1
rect_p2_0116,test,rectangular_notch,-0.11766889178184636,-0.0819539937186996,0.17973856209150324,0.013949871063232422,1
rot_v9_0010,train,rotated_rect,-0.12788461538461537,-0.08349026993094799,-0.008333333333333331,0.006963253021240234,1
rot_p3_0018,val,rotated_rect,-0.0002382445141065892,-0.0001641248904035164,-0.007421150278293136,-0.0036554932594299316,0
rect_v9_0015,train,rectangular_notch,0.0002656263415471427,0.00021619662099969794,-0.013468013468013462,0.01882261037826538,0
rot_v9_0028,test,rotated_rect,0.00038813135182069747,0.00029124130108215684,-0.1087866108786611,-0.058017343282699585,0
rot_p3_0039,train,rotated_rect,-0.0006089185971980271,-0.0004891265872479789,-0.05,-0.00509333610534668,0
rect_p2_0077,train,rectangular_notch,0.0006146765855503666,0.00037509467533880514,-0.006688963210702337,-0.0028288960456848145,0
rect_p2_0030,val,rectangular_notch,-0.0007310003295839529,-0.00057462960471788,0.03888888888888889,-0.004437625408172607,0
rot_v8_0037,train,rotated_rect,0.0009384384384384381,0.0006817271557491011,-0.05439330543933055,-0.04152083396911621,0
rot_v7_0013,val,rotated_rect,0.0010998630782698138,0.0007871485943775625,0.008333333333333331,0.013646334409713745,0
rot_v8_0019,test,rotated_rect,0.0011192087454451327,0.0008528953814723739,0.00833333333333336,-0.007344633340835571,0
rot_v7_0021,test,rotated_rect,0.0012362030905077592,0.0008697205246278594,-0.012605042016806733,-0.0136641263961792,0
rot_p3_0033,train,rotated_rect,0.0012755973668026055,0.000898898047304475,-0.14583333333333334,-0.02825111150741577,0
rect_v9_0050,test,rectangular_notch,0.0012821190652426706,0.0010225838162932765,-0.02840909090909091,-0.01286303997039795,0
rect_p2_0040,val,rectangular_notch,0.00142616945895635,0.0009205337157586202,0.008547008547008572,0.006014823913574219,0
rect_p2_0079,train,rectangular_notch,-0.00188405797101443,-0.001242001242001245,-0.07738095238095238,-0.007744967937469482,0
rect_v9_0032,val,rectangular_notch,-0.0020716188221368004,-0.0017258382642997283,0.009803921568627472,-0.0022455155849456787,0
