coverage_type,key,expected_count_if_first_128_succeed,target_count,target_met
split,train,160,160,True
split,val,40,40,True
split,test,40,40,True
curvature_template,sharp,48,48,True
curvature_template,round,48,48,True
curvature_template,boxy,48,48,True
curvature_template,LD_dominant,48,48,True
curvature_template,WD_dominant,48,48,True
depth_bin,shallow,80,80,True
depth_bin,medium,80,80,True
depth_bin,deep,80,80,True
aspect_bin,narrow,60,60,True
aspect_bin,compact,60,60,True
aspect_bin,balanced,60,60,True
aspect_bin,wide,60,60,True
