split,group_name,group_value,sample_count,iou_mean,dice_mean,area_error_mean,center_error_px_mean,pred_area_mean,true_area_mean,pred_area_zero_mean,type_accuracy,center_mae_m,width_mae_m,length_mae_m,depth_mae_m,angle_mae_deg
train,overall,rect_rot,268,0.6571184600635983,0.7891465174071336,0.151540621213495,2.5885577401883433,377.8768656716418,410.00373134328356,0.0,0.8134328358208955,0.0011057206487408056,0.0014054718246655678,0.0007964983050808756,0.00033561745658516884,20.238498192162456
train,defect_type,rectangular_notch,134,0.6785839801936965,0.8038638772977187,0.21685691919055158,2.4286079266973792,454.7089552238806,526.5298507462686,0.0,0.835820895522388,0.0010608905181142838,0.0017976373670372501,0.0011314591497127244,0.00040194528253832413,nan
train,defect_type,rotated_rect,134,0.6356529399334999,0.7744291575165483,0.08622432323643843,2.748507553679307,301.04477611940297,293.4776119402985,0.0,0.7910447761194029,0.0011505507793673276,0.0010133062822938856,0.0004615374604490266,0.00026928963063201355,20.238498192162456
train,source_pack,pilot_v2_rectangular_notch,81,0.7079238738188676,0.8257417148489855,0.170623000919534,2.3533066352020886,501.22222222222223,514.1481481481482,0.0,1.0,0.0010798008641621486,0.0015700273675683103,0.0011057089611795949,0.0004027801850396726,nan
train,source_pack,pilot_v3_rotated_rect,30,0.6248772190970975,0.7672918612098943,0.1430711109023255,2.82816964507193,468.43333333333334,480.06666666666666,0.0,0.16666666666666666,0.0012347663362413228,0.0015222320643564066,0.0008297816229363282,0.0004510510363616049,19.670434241650092
train,source_pack,pilot_v7_topup_rotated_rect,16,0.6559687224079191,0.7860032322667719,0.0827467786178345,2.379375217901517,252.3125,239.5,0.0,0.9375,0.0009668546835007591,0.0007457530591636896,0.0003399628621991724,0.0004086521585122682,20.278588225996977
train,source_pack,pilot_v8_topup_rotated_rect,24,0.6444413176961046,0.7811454718765892,0.05207869811893334,2.581736954633926,251.04166666666666,239.5,0.0,1.0,0.0010884535443710763,0.0008876967476680875,0.00033878692192956805,0.00019434404384810477,21.116753150409725
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.6337437654080579,0.7704279368891788,0.28751630371795583,2.543691032567539,383.62264150943395,545.4528301886793,0.0,0.5849056603773585,0.0010319898005694333,0.0021454941586784597,0.0011708132114331678,0.0004006692994702256,nan
train,source_pack,pilot_v9_topup_rotated_rect,64,0.632329471795982,0.7723626285877212,0.07325138709176926,2.865988006925481,253.515625,239.75,0.0,0.96875,0.0011802852241728785,0.000888739203219302,0.00036534811079036444,0.00017735293477016967,20.165410051163768
train,area_bin,small,102,0.6370567419382535,0.7752970266929987,0.07616405797560177,2.746944475441125,254.18627450980392,239.3921568627451,0.0,0.9607843137254902,0.0011282154872458287,0.0009009560077067683,0.0003646061271794286,0.00023084533898452042,20.858212708878874
train,area_bin,medium,78,0.6668374954446019,0.7963466017637112,0.19366996069122294,2.5570242499988622,413.7564102564103,410.85897435897436,0.0,0.8205128205128205,0.001140907700658019,0.001890656884568624,0.0009326515122292897,0.00034769589696318295,13.432203125413418
train,area_bin,large,88,0.6717572156211765,0.7988174432370054,0.20156699588397603,2.43292325426784,489.4431818181818,607.0,0.0,0.6363636363636364,0.0010484585626379073,0.0015602011275901036,0.0011764193504032764,0.00044635197528722614,20.153531883278394
val,overall,rect_rot,66,0.6386610370292205,0.7747812397302534,0.20853989733674333,2.601604356835162,345.1818181818182,319.8181818181818,0.0,0.6515151515151515,0.0010581328367755237,0.0018108739009635015,0.0007572896835027319,0.0004098570859765239,18.82170191446818
