sample_id,source_index,split,defect_type,source_pack,threshold,dense_threshold,geometry_threshold,pred_center_x,pred_center_y,pred_width,pred_length,pred_depth,pred_angle_deg,pred_angle_rad,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,dense_iou,dense_dice,dense_area_error,geometry_iou,geometry_dice,geometry_area_error,center_abs_error_m,width_abs_error_m,length_abs_error_m,depth_abs_error_m,angle_abs_error_deg,empty_prediction,fallback_used,component_area_px,depth_source,type_probability_source,notes
rect_p2_0003,2,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.002352651208639145,-0.0006308822776190937,0.01535721693154362,0.0070782478069559614,0.001500000013038516,-2.264887970261725,-0.03952975226987852,0.713348729288499,0.2866512707115009,rectangular_notch,0.9149722735674677,0.9555984555984556,0.02666666666666667,0.9130434782608695,0.9545454545454546,0.011428571428571429,0.0006604473149437573,0.0006427839398384094,0.0005782474763691425,9.999994654208422e-05,nan,0.0,0.0,511.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0004,3,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0010131868766620755,0.0006161790224723518,0.01152192786742465,0.0069816113427390095,0.001500000013038516,-1.53779738796311,-0.026839627648524884,0.7602530848233937,0.2397469151766063,rectangular_notch,0.9880668257756563,0.9939975990396158,0.007177033492822967,1.0,1.0,0.0,0.0002876888742374244,0.0004780720919370651,1.8388964235782623e-05,0.0004999999655410647,nan,0.0,0.0,415.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0007,6,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0007392174447886646,0.001009831321425736,0.013561073169186956,0.010002932818204514,0.001500000013038516,-2.6059001736772416,-0.04548153800895993,0.6895536225653744,0.3104463774346256,rectangular_notch,0.7592067988668555,0.8631239935587761,0.23579545454545456,0.9829545454545454,0.9914040114613181,0.017045454545454544,1.4591695738570882e-05,0.00043892767280340195,2.932734787464142e-06,0.0004000000189989805,nan,0.0,0.0,536.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0008,7,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.001538807526230812,-0.0005473574274219573,0.013263774701034386,0.007344718094888444,0.001500000013038516,-0.35781800372922135,-0.0062451022879882615,0.8245370255425067,0.17546297445749326,rectangular_notch,0.7648114901256733,0.866734486266531,0.13825757575757575,0.7705779334500875,0.8704253214638972,0.08522727272727272,0.0009601132519174376,0.0007362253963947296,0.00015528174117207527,0.00020000000949949026,nan,0.0,0.0,455.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0009,8,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002216785680502653,0.0006970623508095741,0.012626547471915637,0.007024082672297453,0.001500000013038516,-0.2426653870145401,-0.004235309984030018,0.8300212966561463,0.16997870334385368,rectangular_notch,0.9296066252587992,0.9635193133047211,0.017316017316017316,0.9128630705394191,0.9544468546637744,0.004329004329004329,0.00030475306833586176,0.00037345290184020996,2.408260479569435e-05,0.00020000000949949026,nan,0.0,0.0,470.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0010,9,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0021868788171559572,-0.00042762715020217,0.011517110973648836,0.0059919466442320875,0.001500000013038516,1.966643908979421,0.034324411425982575,0.7332390229656585,0.2667609770343416,rectangular_notch,0.9723756906077348,0.9859943977591037,0.0221606648199446,1.0,1.0,0.0,9.603178807822039e-05,0.0004828888922929764,8.05361196398735e-06,0.0009999999310821295,nan,0.0,0.0,353.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0011,10,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0014312766725197434,-0.0007789171067997813,0.013453909055409292,0.00726688956473575,0.001500000013038516,-2.008848752764436,-0.035061024910320954,0.7304782600855318,0.26952173991446815,rectangular_notch,0.9338842975206612,0.9658119658119658,0.025974025974025976,0.9565217391304348,0.9777777777777777,0.045454545454545456,0.00023151795653812392,0.00045390892773866653,0.000266889575868845,0.0009999999310821295,nan,0.0,0.0,474.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0012,11,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.0005703673814423382,0.0009916768176481128,0.01581096805316982,0.006361532206526256,0.001500000013038516,-0.5751141407456544,-0.010037635330789744,0.8138104071835095,0.1861895928164905,rectangular_notch,0.9751434034416826,0.9874152952565344,0.013461538461538462,0.9615384615384616,0.9803921568627451,0.038461538461538464,0.0001798253490116178,0.0001890324056148529,0.00013846810907125473,0.00020000000949949026,nan,0.0,0.0,513.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0013,12,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,0.0016174613265320659,-0.0006603606161661446,0.013273041973665415,0.006784322930528811,0.001500000013038516,0.6316895691338971,0.011025062831890848,0.8109359881870524,0.18906401181294769,rectangular_notch,0.7704347826086957,0.8703339882121808,0.22956521739130434,0.8034782608695652,0.8910318225650916,0.19652173913043477,0.0007179554263429918,0.0007269587367773056,0.0012156772427260876,0.0004000000189989805,nan,0.0,0.0,443.0,train_median_depth,angle_magnitude_sigmoid,
rect_p2_0015,14,train,rectangular_notch,pilot_v2_rectangular_notch,0.5,0.6,0.5,-0.002652812050655484,-0.0004971364978700876,0.012666545328630976,0.008017397814793239,0.001500000013038516,-1.9435652029713992,-0.03392161201904279,0.7347410487286039,0.26525895127139615,rectangular_notch,0.93158953722334,0.9645833333333333,0.021052631578947368,0.95,0.9743589743589743,0.05263157894736842,0.0003471997840693035,0.0006665447726845741,1.739710569381714e-05,0.00020000000949949026,nan,0.0,0.0,485.0,train_median_depth,angle_magnitude_sigmoid,
