group_key,group_value,sample_count,schema_pass_count,mean_delta_norm
split,val,5,5,0.020565064029447803
split,test,5,5,0.02134137854638882
split,train,20,20,0.02109421391542229
depth_bin,shallow,12,12,0.021742386063160302
depth_bin,medium,12,12,0.020980107595748605
depth_bin,deep,6,6,0.019791094546787003
size_bin,small_compact,8,8,0.02019615273447687
size_bin,medium_balanced,8,8,0.021363010753666544
size_bin,large_wide,8,8,0.02188963331334097
size_bin,elongated,6,6,0.020637686129292312
curvature_template,sharp,11,11,0.02099168864801317
curvature_template,round,11,11,0.02079447192734466
curvature_template,boxy,8,8,0.021471090607336603
