coverage_type,key,planned_count,target_count,target_met
targeted_role,balanced_interior,60,60,True
targeted_role,hard_depth_aspect,24,24,True
targeted_role,edge_position,24,24,True
targeted_role,old_distribution_anchor,12,12,True
split,train,80,80,True
split,val,20,20,True
split,test,20,20,True
edge_position_bin,interior,96,96,True
edge_position_bin,near_left_roi,6,6,True
edge_position_bin,near_right_roi,6,6,True
edge_position_bin,near_lower_scan_window,6,6,True
edge_position_bin,near_upper_scan_window,6,6,True
depth_bin,deep,44,44,True
depth_bin,medium,44,44,True
depth_bin,shallow,32,32,True
aspect_bin,balanced,32,32,True
aspect_bin,compact,32,32,True
aspect_bin,narrow,32,32,True
aspect_bin,wide,24,24,True
curvature_template,LD_dominant,18,18,True
curvature_template,WD_dominant,12,12,True
curvature_template,boxy,24,24,True
curvature_template,round,30,30,True
curvature_template,sharp,36,36,True
