sample_id,split,subset,row_origin,true_shape_type,f2_pred_shape_type,b2_pred_shape_type,h2_pred_shape_type,burial_depth_level,size_level,aspect_bin,center_region,hardcase_target_id,shape_disagreement_count,b2_h2_shape_diff,b2_f2_shape_diff,h2_f2_shape_diff,center_pairwise_mean_mm,center_pairwise_max_mm,burial_pairwise_mean_mm,burial_pairwise_max_mm,lwd_pairwise_mean_mm,lwd_pairwise_max_mm,b2_f2_center_disagreement_mm,h2_f2_center_disagreement_mm,b2_f2_burial_disagreement_mm,h2_f2_burial_disagreement_mm,f2_pred_L_mm,f2_pred_W_mm,f2_pred_D_mm,f2_pred_burial_depth_mm,f2_pred_center_norm_mm,f2_pred_train_range_violation_count,delta_abs_peak,delta_energy,delta_axis_energy_ratio_max,delta_axis_energy_ratio_min,delta_line_energy_range,feature_abs_z_mean,feature_abs_z_p95,feature_abs_z_max,feature_outlier_count_z3,f2_total_abs_normalized_error,f2_L_error_mm,f2_W_error_mm,f2_D_error_mm,f2_burial_depth_error_mm,f2_center_xyz_error_mm,center_outlier,burial_outlier,dimension_outlier,shape_misclassified,full_shift_failure,catastrophic_failure,geometry_branch_failure,bad_tail_target
internal_hard_topup_001,train,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_cuboid,internal_cuboid,internal_cuboid,deep_plus,medium,compact,x_pos_y_neg,target_01_geometry_branch_cuboid_ellipsoid,0,0,0,0,3.019366949609001,3.2836723658729463,0.7415421803792318,1.1123132705688477,0.41302481870861724,0.6043652208692716,2.524458549667773,3.249969933286283,0.3613560199737549,0.7509572505950928,3.5229625701904297,3.4049360752105713,1.1892094612121582,3.473174810409546,13.708266276442716,0,0.0006164088263176382,3.5754293747913835e-08,2.2626664638519287,0.07811474055051804,5.500378819078833e-09,0.517747213259678,1.178397262096405,1.973926305770874,0,0.2823999524116516,0.022962456569075584,0.09506405144929886,0.010790652595460415,0.7268251180648804,2.7759206295013428,False,False,False,False,False,False,False,False
internal_hard_topup_002,train,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,internal_cuboid,internal_ellipsoid,deep_plus,medium,compact,x_pos_y_neg,target_01_geometry_branch_cuboid_ellipsoid,1,1,0,1,3.476543938758381,4.587759921116168,0.7027831077575684,1.0541746616363525,1.9171406496962435,2.875483421146255,1.8207423996045964,4.021129495554379,0.1634988784790039,0.8906757831573486,4.550663948059082,6.07011079788208,1.3883378505706787,3.336557149887085,10.996972343361298,0,0.0005912221968173981,3.9244131500026924e-08,1.7602062225341797,0.12122828513383865,4.122213681512221e-10,0.5523436140523038,1.3993948400020597,1.9227168560028076,0,0.8238921761512756,1.0506635904312134,2.57011079788208,0.1883377581834793,0.8634426593780518,3.788001298904419,True,False,True,True,False,False,False,True
internal_hard_topup_003,train,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_cuboid,internal_cuboid,internal_cuboid,shallow,large,compact,x_pos_y_pos,target_01_geometry_branch_cuboid_ellipsoid,0,0,0,0,3.167931785620317,4.363994096645677,0.488642414410909,0.7329636216163635,0.8261922108521847,1.2381239514436522,2.402781433578511,2.7370198266367645,0.40493059158325195,0.3280330300331116,5.0341010093688965,4.261298179626465,1.270711064338684,1.1524477005004883,14.593728157700841,0,0.000690038432367146,4.7795769120284604e-08,1.4840608835220337,0.10485392808914185,4.2456385074274294e-09,0.9264497715810484,1.7415670871734619,2.3794264793395996,0,0.3457711637020111,0.03410130739212036,0.7387017607688904,0.12928888201713562,0.3524476885795593,2.33261775970459,False,False,False,False,False,False,False,False
internal_hard_topup_004,train,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,internal_cuboid,internal_ellipsoid,shallow,large,compact,x_pos_y_pos,target_01_geometry_branch_cuboid_ellipsoid,1,1,0,1,2.5609961103672583,3.823291433856489,0.4987741708755493,0.748161256313324,1.0816639212804215,1.449511740211818,2.215671514495431,1.6440253827498545,0.4630199670791626,0.2851412892341614,3.965517520904541,5.094649314880371,1.3153724670410156,1.0290546417236328,13.88927634823559,0,0.0006273635663092136,3.950087190673912e-08,1.6068204641342163,0.1475081443786621,4.169461220726589e-09,0.5960668334102427,1.1118128299713133,2.091158151626587,0,0.22913812100887299,1.0344823598861694,0.09464938193559647,0.08462753891944885,0.22905465960502625,1.1442681550979614,False,False,False,True,False,False,False,False
internal_hard_topup_005,train,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_ellipsoid,internal_ellipsoid,internal_cuboid,deep_plus,large,elongated_y,x_neg_y_pos,target_01_geometry_branch_cuboid_ellipsoid,1,1,0,1,6.517205437905112,9.757044312795669,0.13425985972086588,0.20138978958129883,3.719431515102881,5.560896648244283,6.8184152107312075,2.9761567901884574,0.17008447647094727,0.20138978958129883,2.619319200515747,3.0782759189605713,1.1290327310562134,4.3140339851379395,11.280763275518726,0,0.0006460301810875535,4.266455988499729e-08,2.162818431854248,0.14288266003131866,3.5804532672045752e-09,0.7402126231124964,1.8923761427402497,2.5280938148498535,0,0.7469941973686218,1.130680799484253,4.921724319458008,0.2709672451019287,0.11403393000364304,2.043001174926758,False,False,True,True,False,False,False,False
internal_hard_topup_006,train,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,internal_ellipsoid,internal_ellipsoid,deep_plus,large,elongated_y,x_neg_y_pos,target_01_geometry_branch_cuboid_ellipsoid,0,0,0,0,4.658440703633235,6.586405537327326,0.22186946868896484,0.33280420303344727,3.4294666698531056,5.136337317587142,6.586405537327326,1.2477652364014238,0.33280420303344727,0.03878974914550781,2.6475322246551514,3.2539501190185547,1.1283354759216309,4.168449878692627,13.281650042060377,0,0.000676963129080832,4.1429785824220744e-08,2.0501677989959717,0.18518197536468506,5.286057813691514e-09,0.7239664146337997,1.8420946359634394,3.1012003421783447,2,0.6689347624778748,1.1024677753448486,4.7460503578186035,0.27166447043418884,0.03154994919896126,0.7575749754905701,False,False,True,False,False,False,False,False
internal_hard_topup_007,train,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_cuboid,internal_cuboid,internal_cuboid,shallow,medium,elongated_x,x_pos_y_pos,target_01_geometry_branch_cuboid_ellipsoid,0,0,0,0,3.877517846531758,5.74693560162584,0.8105661074320475,1.2158491611480713,2.2249829307724602,3.2321774939407204,2.9870454909521067,2.8985724470173273,0.46301233768463135,0.7528368234634399,4.057780742645264,5.533648490905762,1.304570198059082,1.5432089567184448,11.594053708371394,0,0.0007207212620414793,5.3659629628555194e-08,1.77887761592865,0.08297424763441086,3.101753520695638e-09,0.7925965703050183,1.5586574554443358,2.0845255851745605,0,0.6709049940109253,1.5422189235687256,2.908648729324341,0.1045701801776886,0.7432090044021606,2.8669145107269287,False,False,True,False,False,False,False,False
internal_hard_topup_008,train,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_cuboid,internal_cuboid,internal_ellipsoid,shallow,medium,elongated_x,x_pos_y_pos,target_01_geometry_branch_cuboid_ellipsoid,1,1,0,1,2.983842362513199,4.393051971298629,0.5292262236277262,0.7938393354415894,2.136720463493148,3.16610592490642,2.3091070041884585,2.2493681120525095,0.39805901050567627,0.3957803249359131,4.388393402099609,5.635690689086914,1.3064277172088623,1.2485828399658203,10.873264975710244,0,0.000618578924331814,3.830695405326878e-08,1.5129774808883667,0.16432330012321472,6.8688343901612825e-09,0.7958548680604012,1.669520890712738,3.196871280670166,1,0.5547823309898376,1.2116063833236694,3.010690927505493,0.10642769932746887,0.44858285784721375,2.4569849967956543,False,False,True,True,False,False,False,False
internal_hard_topup_009,train,hardcase_topup,hardcase_topup_v1,internal_cuboid,internal_ellipsoid,internal_ellipsoid,internal_cuboid,medium,large,compact,x_neg_y_pos,target_01_geometry_branch_cuboid_ellipsoid,1,1,0,1,11.263219992586889,16.89167959872756,1.258363405863444,1.887545108795166,1.5306935626986526,2.279630530911219,9.893412112251916,7.004568266781192,1.3801658153533936,0.5073792934417725,3.938873767852783,3.7352705001831055,1.2005280256271362,2.4904439449310303,7.290455952944185,0,0.00043917656876146793,2.0269277811735265e-08,1.5356937646865845,0.6298571825027466,1.5372059181117947e-09,0.8559026759371838,1.7664966762065888,3.0303149223327637,1,0.5286022424697876,1.0611261129379272,1.2647292613983154,0.19947195053100586,0.49044376611709595,5.612890720367432,True,False,False,True,False,False,False,True
internal_hard_topup_010,train,hardcase_topup,hardcase_topup_v1,internal_ellipsoid,internal_ellipsoid,internal_ellipsoid,internal_ellipsoid,medium,large,compact,x_neg_y_pos,target_01_geometry_branch_cuboid_ellipsoid,0,0,0,0,7.301480421112717,10.942795711499164,1.3541062672932942,2.0311594009399414,2.049361649232314,3.0635954495614652,5.726396217299371,5.235249334539619,0.6851189136505127,1.3460404872894287,3.0442850589752197,3.374272584915161,1.1599924564361572,3.3571550846099854,8.871193443068252,0,0.0004968364373780787,2.9321487460265416e-08,1.8525115251541138,0.22065357863903046,2.6294291188833085e-09,0.44020696762441236,1.3983553051948545,1.909188985824585,0,0.8451307415962219,1.9557148218154907,1.6257274150848389,0.24000753462314606,1.3571549654006958,4.2573771476745605,True,True,True,False,True,True,False,True
