steps,lr,lambda_prior,delta_iou,delta_dice,delta_area_error,forward_nrmse_reduction,angle_error_delta,parameter_drift_norm,mismatch_flag_rate,excessive_parameter_drift_flag,val_refinement_score,mask_non_degrading,selected
20,0.003,0.05,-0.07475498028988235,-0.05888231956251907,0.16385549231049018,0.06814826370188684,-0.025149053444794612,1.882122008186398,0.7121212121212122,0.7575757575757576,-0.46984631018336614,False,False
20,0.003,0.1,-0.05064201512364849,-0.04035551320045715,0.12121140562312058,0.06576803168564131,0.019134662982847574,1.600080458503781,0.5606060606060606,0.5151515151515151,-0.33794978980044066,False,False
20,0.01,0.05,-0.16536850604580117,-0.13805753167407034,0.1948235746436321,0.0442415252327919,-0.16932822972962622,2.5875588808998917,0.6818181818181818,0.9393939393939394,-0.6878255047907061,False,False
20,0.01,0.1,-0.1391255391365543,-0.11653832748753934,0.18293092795544252,0.048434636358058815,-0.09813031356647818,2.4227358409852693,0.6363636363636364,0.9393939393939394,-0.6207235385197668,False,False
50,0.003,0.05,-0.039421876235082726,-0.03133795288287242,0.11873944300163888,0.07617730760213101,0.20241445273749872,1.4345414299856534,0.6363636363636364,0.42424242424242425,-0.3159514638580622,False,False
50,0.003,0.1,-0.034009900838373304,-0.025926848534004624,0.08521424952366963,0.07455415843111096,0.27544967311211044,1.2533131020538735,0.6666666666666666,0.36363636363636365,-0.2703315114950173,False,True
50,0.01,0.05,-0.14105229942747366,-0.1156224389656741,0.17329732499818926,0.048310484624270233,0.41360805616954816,2.4978299484108435,0.6515151515151515,0.9696969696969697,-0.6174224603946661,False,False
50,0.01,0.1,-0.1215348146903223,-0.09637274169837078,0.14137461316262342,0.042821236180536675,0.4003761126921712,2.2191769462643247,0.6060606060606061,0.8787878787878788,-0.5316468629121148,False,False
