seed,source_index,sample_id,split,defect_type,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
42,2,rect_p2_0003,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8223350253807107,0.9025069637883009,0.05142857142857143,1.4042659841395104,552,525,0,0.027940263971686363,0.11723381280899048,0.1451740711927414,0.0,0.9999339580535889,0.06684437394142151,COMSOL_DATA_BASELINE_pilot_v9_only
42,3,rect_p2_0004,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7432150313152401,0.8526946107784431,0.0023923444976076554,1.5142764606701815,417,418,0,0.04173966497182846,0.15535622835159302,0.19709590077400208,0.0,0.9999953508377075,0.051291465759277344,COMSOL_DATA_BASELINE_pilot_v9_only
42,6,rect_p2_0007,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7411598302687411,0.851340373679935,0.25142045454545453,2.3140123761802687,527,704,0,0.05484388768672943,0.1576220989227295,0.21246598660945892,0.0,0.9999674558639526,0.06606936454772949,COMSOL_DATA_BASELINE_pilot_v9_only
42,7,rect_p2_0008,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7527472527472527,0.8589341692789969,0.1875,1.3345400590124876,429,528,0,0.05523400008678436,0.16907775402069092,0.22431175410747528,0.0,0.9999061822891235,0.05286005884408951,COMSOL_DATA_BASELINE_pilot_v9_only
42,8,rect_p2_0009,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6767169179229481,0.8071928071928072,0.16666666666666666,3.4758951254728743,539,462,0,0.06934025883674622,0.19073164463043213,0.26007190346717834,0.0,0.9999983310699463,0.06601002812385559,COMSOL_DATA_BASELINE_pilot_v9_only
42,9,rect_p2_0010,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6838407494145199,0.8122392211404729,0.008310249307479225,2.0476079746016786,358,361,0,0.042099714279174805,0.20870298147201538,0.2508026957511902,0.0,0.9999208450317383,0.04381189122796059,COMSOL_DATA_BASELINE_pilot_v9_only
42,10,rect_p2_0011,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7572463768115942,0.8618556701030928,0.09956709956709957,2.9516809066767964,508,462,0,0.036344632506370544,0.1608458161354065,0.19719044864177704,0.0,0.9998179078102112,0.06149696558713913,COMSOL_DATA_BASELINE_pilot_v9_only
42,11,rect_p2_0012,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7227138643067846,0.839041095890411,0.24615384615384617,3.079784534434165,648,520,0,0.07919144630432129,0.1712557077407837,0.250447154045105,0.0,0.9999974966049194,0.0788242369890213,COMSOL_DATA_BASELINE_pilot_v9_only
42,12,rect_p2_0013,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.49759229534510435,0.6645230439442658,0.3773913043478261,4.468160650495823,358,575,0,0.14540183544158936,0.3341017961502075,0.4795036315917969,0.0,0.9999383687973022,0.04453903064131737,COMSOL_DATA_BASELINE_pilot_v9_only
42,14,rect_p2_0015,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8538622129436325,0.9211711711711712,0.13052631578947368,1.0193733357064905,413,475,0,0.021811604499816895,0.10380619764328003,0.12561780214309692,0.0,0.999976634979248,0.05010858178138733,COMSOL_DATA_BASELINE_pilot_v9_only
42,15,rect_p2_0016,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6709677419354839,0.803088803088803,0.265625,1.1024785811965783,329,448,0,0.056332871317863464,0.20991086959838867,0.26624375581741333,0.0,0.9999489784240723,0.041286662220954895,COMSOL_DATA_BASELINE_pilot_v9_only
42,16,rect_p2_0017,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6158088235294118,0.7622298065984073,0.38419117647058826,2.383598912080005,335,544,0,0.07385635375976562,0.23709529638290405,0.3109516501426697,0.0,0.9999271631240845,0.04136098921298981,COMSOL_DATA_BASELINE_pilot_v9_only
42,18,rect_p2_0019,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7986798679867987,0.8880733944954129,0.0761904761904762,1.8054112412899748,565,525,0,0.03732702136039734,0.13205111026763916,0.1693781316280365,0.0,0.9999643564224243,0.0681963860988617,COMSOL_DATA_BASELINE_pilot_v9_only
42,19,rect_p2_0020,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6673819742489271,0.8005148005148005,0.2219679633867277,2.114724290192322,340,437,0,0.04535268247127533,0.21061259508132935,0.25596529245376587,0.0,0.9998001456260681,0.042276933789253235,COMSOL_DATA_BASELINE_pilot_v9_only
42,20,rect_p2_0021,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7623239436619719,0.8651348651348651,0.08541666666666667,2.3820702892407777,521,480,0,0.04868348687887192,0.150676429271698,0.1993599236011505,0.0,0.9999912977218628,0.06300217658281326,COMSOL_DATA_BASELINE_pilot_v9_only
42,21,rect_p2_0022,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7283531409168081,0.8428290766208252,0.21403508771929824,1.1082313917237863,448,570,0,0.06229361146688461,0.16643989086151123,0.22873350977897644,0.0,0.999997615814209,0.05487788841128349,COMSOL_DATA_BASELINE_pilot_v9_only
42,22,rect_p2_0023,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6258596973865199,0.7698815566835872,0.18153846153846154,3.942288173764028,532,650,0,0.10573220252990723,0.23074471950531006,0.3364769220352173,0.0,0.999955415725708,0.06402374804019928,COMSOL_DATA_BASELINE_pilot_v9_only
42,23,rect_p2_0024,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6932624113475178,0.818848167539267,0.13840155945419103,3.2562535023682777,442,513,0,0.06305593997240067,0.18555349111557007,0.24860942363739014,0.0,0.9999980926513672,0.054249271750450134,COMSOL_DATA_BASELINE_pilot_v9_only
42,26,rect_p2_0027,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7485928705440901,0.8562231759656652,0.11818181818181818,0.9238470062897155,492,440,0,0.038245946168899536,0.17009258270263672,0.20833852887153625,0.0,0.9998229146003723,0.060053497552871704,COMSOL_DATA_BASELINE_pilot_v9_only
42,27,rect_p2_0028,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7065420560747664,0.828039430449069,0.41534391534391535,0.3910084250187836,535,378,0,0.04439473897218704,0.18169641494750977,0.2260911464691162,0.0,0.9999443292617798,0.06483718007802963,COMSOL_DATA_BASELINE_pilot_v9_only
42,28,rect_p2_0029,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8809946714031972,0.9367327667610954,0.005681818181818182,0.8608741291227424,531,528,0,0.019248707219958305,0.10268300771713257,0.12193171679973602,0.0,0.9998389482498169,0.06422233581542969,COMSOL_DATA_BASELINE_pilot_v9_only
42,30,rect_p2_0031,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.800369685767098,0.8891170431211499,0.14476190476190476,1.300799715712344,449,525,0,0.03174493461847305,0.11871623992919922,0.15046116709709167,0.0,0.9999933242797852,0.054584428668022156,COMSOL_DATA_BASELINE_pilot_v9_only
42,31,rect_p2_0032,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8274706867671692,0.9055912007332723,0.06628787878787878,1.7159373353998908,563,528,0,0.02839203178882599,0.11221694946289062,0.1406089812517166,0.0,0.9999785423278809,0.06800082325935364,COMSOL_DATA_BASELINE_pilot_v9_only
42,32,rect_p2_0033,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7239747634069401,0.8398902104300091,0.019927536231884056,3.1376153893229737,541,552,0,0.045512206852436066,0.16793036460876465,0.21344256401062012,0.0,0.9999116659164429,0.06587547063827515,COMSOL_DATA_BASELINE_pilot_v9_only
42,33,rect_p2_0034,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7230769230769231,0.8392857142857143,0.27692307692307694,1.8667526899275773,564,780,0,0.08361156284809113,0.1761329174041748,0.25974446535110474,0.0,0.9999420642852783,0.06847713142633438,COMSOL_DATA_BASELINE_pilot_v9_only
42,35,rect_p2_0036,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.5787321063394683,0.7331606217616581,0.06516290726817042,3.850039575793193,373,399,0,0.07460746169090271,0.26795268058776855,0.34256014227867126,0.0,0.9999339580535889,0.046339623630046844,COMSOL_DATA_BASELINE_pilot_v9_only
42,36,rect_p2_0037,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8126801152737753,0.8966613672496025,0.1362962962962963,1.7029722396824267,583,675,0,0.045658424496650696,0.12983912229537964,0.17549754679203033,0.0,0.999934196472168,0.06984297931194305,COMSOL_DATA_BASELINE_pilot_v9_only
42,37,rect_p2_0038,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6607142857142857,0.7956989247311828,0.3392857142857143,1.1067912229212267,444,672,0,0.07941046357154846,0.21192073822021484,0.2913312017917633,0.0,0.9999730587005615,0.05473458021879196,COMSOL_DATA_BASELINE_pilot_v9_only
42,38,rect_p2_0039,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6004415011037527,0.7503448275862069,0.3294930875576037,1.7566096392448618,291,434,0,0.06158846244215965,0.26119667291641235,0.3227851390838623,0.0,0.9995958209037781,0.036920055747032166,COMSOL_DATA_BASELINE_pilot_v9_only
42,41,rect_p2_0042,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7586206896551724,0.8627450980392157,0.19696969696969696,2.0094055283970826,477,594,0,0.05794905871152878,0.14988672733306885,0.20783579349517822,0.0,0.9999626874923706,0.058730751276016235,COMSOL_DATA_BASELINE_pilot_v9_only
42,43,rect_p2_0044,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7105263157894737,0.8307692307692308,0.2894736842105263,1.527683374063,405,570,0,0.05434794723987579,0.1796947717666626,0.2340427190065384,0.0,0.9998664855957031,0.04971010982990265,COMSOL_DATA_BASELINE_pilot_v9_only
42,45,rect_p2_0046,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6437587657784011,0.7832764505119454,0.3352272727272727,3.3123945131973596,468,704,0,0.10155833512544632,0.23151570558547974,0.33307403326034546,0.0,0.9998034834861755,0.05741023272275925,COMSOL_DATA_BASELINE_pilot_v9_only
42,47,rect_p2_0048,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.6516516516516516,0.7890909090909091,0.06766917293233082,2.7514333246892,284,266,0,0.039289627224206924,0.2222357988357544,0.261525422334671,0.0,0.9995368719100952,0.035298340022563934,COMSOL_DATA_BASELINE_pilot_v9_only
42,50,rect_p2_0051,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8113821138211382,0.895870736086176,0.10984848484848485,2.165553215559541,586,528,0,0.03300364315509796,0.1250241994857788,0.15802784264087677,0.0,0.9999748468399048,0.07142030447721481,COMSOL_DATA_BASELINE_pilot_v9_only
42,51,rect_p2_0052,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7694369973190348,0.8696969696969697,0.20652173913043478,2.8216107568353164,584,736,0,0.0727473571896553,0.14783793687820435,0.22058528661727905,0.0,0.9999865293502808,0.07182635366916656,COMSOL_DATA_BASELINE_pilot_v9_only
42,52,rect_p2_0053,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7116104868913857,0.8315098468271335,0.20784313725490197,1.7912396835600755,404,510,0,0.060580190271139145,0.17829763889312744,0.23887783288955688,0.0,0.9999922513961792,0.04991833120584488,COMSOL_DATA_BASELINE_pilot_v9_only
42,53,rect_p2_0054,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.8126934984520123,0.89666951323655,0.07717569786535304,1.9452305286265932,562,609,0,0.0491470992565155,0.12304490804672241,0.17219200730323792,0.0,0.9999984502792358,0.0686279833316803,COMSOL_DATA_BASELINE_pilot_v9_only
42,54,rect_p2_0055,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7738927738927739,0.8725361366622865,0.20941176470588235,0.7147320034353387,336,425,0,0.02799217216670513,0.15245920419692993,0.1804513782262802,0.0,0.9998970031738281,0.042656369507312775,COMSOL_DATA_BASELINE_pilot_v9_only
42,55,rect_p2_0056,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.5,0.7981651376146789,0.8877551020408163,0.2222222222222222,1.5716957802137455,539,441,0,0.031114719808101654,0.13234567642211914,0.1634604036808014,0.0,0.9999558925628662,0.06576353311538696,COMSOL_DATA_BASELINE_pilot_v9_only
