group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean
angle_deg=0.0,train,80,0.6971535699003535,0.8193765618020489,0.18902481199858384,2.10949514673623,423.625,513.05,0,0.23096686657518148
angle_deg=-30.0,train,14,0.6424401306484754,0.7806177114479633,0.1590667156554566,2.6748813112776126,319.5,351.85714285714283,0,0.2920683015670095
angle_deg=-20.0,train,12,0.6972659687504508,0.8201170292580641,0.15209929599625313,1.855657166638915,309.0833333333333,318.4166666666667,0,0.2510148100554943
angle_deg=-10.0,train,12,0.697669189960055,0.8203116734511461,0.18913000825087634,2.378539426285491,304.5,318.5,0,0.2404235682139794
angle_deg=10.0,train,14,0.686843760594795,0.8122331214777458,0.17194672238197756,2.68334532679904,307.2857142857143,328.07142857142856,0,0.24686212411948613
angle_deg=20.0,train,14,0.6721073784909155,0.802827711763302,0.14328325861991442,2.8330944687521735,326.7142857142857,351.92857142857144,0,0.26174492708274294
angle_deg=30.0,train,14,0.6819067043267186,0.8094008619578387,0.16944213412933748,1.5333096347121327,307.14285714285717,350.85714285714283,0,0.25173443875142504
angle_deg=0.0,val,20,0.6826303154824535,0.8094281322198121,0.2681842329760229,2.255244595422133,363.6,366.3,0,0.265262895077467
angle_deg=-30.0,val,3,0.6549452309886689,0.7914293512592653,0.12289404160294776,3.0292060648500896,290.3333333333333,339.0,0,0.2712099850177765
angle_deg=-20.0,val,4,0.6690384004970824,0.800745799508843,0.17083333333333334,1.917755204223258,342.5,400.0,0,0.25699472799897194
angle_deg=-10.0,val,4,0.6230379180886796,0.7669467396793548,0.28927629596142257,3.647712940476843,322.25,319.25,0,0.31537941098213196
angle_deg=10.0,val,3,0.6671167865160242,0.7997293316880946,0.1372137652875358,3.0757678549159384,309.6666666666667,348.0,0,0.24725150068600973
angle_deg=20.0,val,3,0.7426417078307259,0.8501095385197327,0.12063739050253575,1.4603912069586051,234.66666666666666,240.33333333333334,0,0.19410386681556702
angle_deg=30.0,val,3,0.6726177956490361,0.8016799046109696,0.06394119014411902,2.629677647830567,230.33333333333334,239.66666666666666,0,0.24996056159337363
angle_deg=0.0,test,20,0.6772967785600227,0.8051827620699681,0.19063713722296477,1.9416477054051586,376.1,378.65,0,0.2621502846479416
angle_deg=-30.0,test,3,0.6147233897334899,0.7613296434859985,0.14762319851231986,3.863701452928856,274.6666666666667,239.33333333333334,0,0.3175964454809825
angle_deg=-20.0,test,4,0.6256182988739678,0.766574056375833,0.23271620946672816,2.7980230073481245,347.75,315.25,0,0.31849604845046997
angle_deg=-10.0,test,4,0.6681542297905642,0.7996607606098162,0.25449396190579693,2.572666635642092,362.0,394.25,0,0.27562743052840233
angle_deg=10.0,test,3,0.5986356654514032,0.7485159387671737,0.1828590527119939,3.564127621457869,345.0,346.3333333333333,0,0.32021601994832355
angle_deg=20.0,test,3,0.6095709320517505,0.7554816449700907,0.2410873440285205,3.058149160762571,323.0,347.0,0,0.3149503866831462
angle_deg=30.0,test,3,0.6146518251562675,0.7612764292404695,0.19381848973899182,2.1998529656196073,298.3333333333333,346.0,0,0.2995646397272746
angle_deg=0.0,all,120,0.6914235622739817,0.8153528569163293,0.20248676969888718,2.1058121479620353,405.7,466.19166666666666,0,0.24188010767102242
angle_deg=-30.0,all,20,0.6401583845622565,0.7793462472253639,0.15192428697610977,2.906353045561171,308.4,333.05,0,0.2927687756717205
angle_deg=-20.0,all,20,0.6772909211244806,0.8055341887317736,0.17196948615776417,2.0565499422976257,323.5,334.1,0,0.26570704132318496
angle_deg=-10.0,all,20,0.6768399435518818,0.8055085041285219,0.22223205652396966,2.6711995709950815,319.55,333.8,0,0.2624555092304945
angle_deg=10.0,all,20,0.6706535002114709,0.8007999756027122,0.16837362836731376,2.8743260502153993,313.3,333.8,0,0.2579236149787903
angle_deg=20.0,all,20,0.6733070609260123,0.802818075757785,0.15455699121359853,2.6609471832846974,312.35,334.45,0,0.25957958698272704
angle_deg=30.0,all,20,0.6704251361494985,0.8010240534482029,0.15727344587300282,1.7977463363160187,294.3,333.45,0,0.2586428873240948
