lambda_area,tag,checkpoint,val_sample_count,val_overall_mse,val_overall_mae,val_overall_iou,val_overall_dice,val_overall_area_error,val_overall_center_error,val_overall_area_ratio,val_overall_pred_area_gt_true_count,val_polygon_count,val_polygon_iou,val_polygon_dice,val_polygon_area_error,val_polygon_area_ratio,val_small_polygon_count,val_small_polygon_iou,val_small_polygon_dice,val_small_polygon_area_error,val_small_polygon_area_ratio,val_small_polygon_pred_area_zero,val_medium_polygon_count,val_medium_polygon_area_error,val_medium_polygon_area_ratio,val_multi_defect_count,val_multi_defect_center_error,test_sample_count,test_overall_mse,test_overall_mae,test_overall_iou,test_overall_dice,test_overall_area_error,test_overall_center_error,test_overall_area_ratio,test_overall_pred_area_gt_true_count,test_polygon_count,test_polygon_iou,test_polygon_dice,test_polygon_area_error,test_polygon_area_ratio,test_small_polygon_count,test_small_polygon_iou,test_small_polygon_dice,test_small_polygon_area_error,test_small_polygon_area_ratio,test_small_polygon_pred_area_zero,test_medium_polygon_count,test_medium_polygon_area_error,test_medium_polygon_area_ratio,test_multi_defect_count,test_multi_defect_center_error
0.005,0p005,checkpoints/best_model_v4_smallpoly_w5_dice_area_0p005.pt,200,32736.955247802733,71.08997336387634,0.3597427908217166,0.508407626795261,0.9962394051847566,1.0095417268723998,1.9731452337831468,188,60,0.23266967745556374,0.35135194512585194,1.4378038407955438,2.395205130170816,22,0.11728997361216825,0.18722364771416136,1.9552344014120182,2.8643253105029274,1,24,1.4779063154893706,2.454742872260885,60,0.8390333479891221,200,32785.34708862305,71.20011974334717,0.3562060607480386,0.5011447957316222,0.981228088423885,1.0902372300997376,1.9694403506924627,188,60,0.22989629537220954,0.34316301553813094,1.49727782286264,2.4782541567725485,25,0.1400929366700091,0.21722036474555267,2.035999207859971,2.991348698551927,0,21,1.48286787978091,2.481669916318796,60,0.8455129906535148
0.01,0p01,checkpoints/best_model_v4_smallpoly_w5_dice_area_0p01.pt,200,32560.619904785155,64.03821887969971,0.35981464586378015,0.5082531326936481,0.9141537113367386,1.0658032329753042,1.8968264349724928,188,60,0.2287991194125915,0.3492338699832611,1.314649680642659,2.301752476439311,22,0.12267040893469816,0.19982555636347551,1.8184003564297875,2.8184003564297875,0,24,1.332296148551833,2.3083440527434496,60,1.0110877191027006,200,33142.20398925781,64.41353392601013,0.34941799582606814,0.49434866846338893,0.8855390214809422,1.1625413155183195,1.8685766101330177,189,60,0.22233985400230155,0.33641723414946517,1.3307701889032217,2.324690524332991,25,0.13044515579977575,0.20968916855789957,1.6703599258800659,2.670359925880066,0,21,1.4785569128013312,2.4611864426006727,60,1.03684959957997
0.03,0p03,checkpoints/best_model_v4_smallpoly_w5_dice_area_0p03.pt,200,31899.987951660158,73.84031590461731,0.35545360596089715,0.5026152158089787,0.9953704673483696,1.0583840467408299,1.9751631297750187,189,60,0.2174467414932733,0.33224739916301343,1.6122494860806487,2.5935473610477353,22,0.09880709082856223,0.16405786095099695,2.4254415258866917,3.4254415258866913,0,24,1.5204598098145714,2.4807652525689092,60,0.9348213990529378,200,32579.714157714843,74.69811506271363,0.35078501162672404,0.49555599773542225,0.9742432491129622,1.1175774615630507,1.9672053728545398,191,60,0.21850030577424145,0.3306082920184392,1.5556086701108727,2.551484656168477,25,0.11289915904115323,0.18421687351095872,2.052601259382202,3.051209955034377,0,21,1.6184221264705836,2.6184221264705836,60,0.9357966396957635
0.05,0p05,checkpoints/best_model_v4_smallpoly_w5_dice_area_0p05.pt,200,31475.423073730468,61.73446193695068,0.36185715965080784,0.5083142151331743,0.7727684278281945,1.1194804850872606,1.75482788069514,185,60,0.21976320379523856,0.33608940092298867,1.081935613967582,2.0742135086817877,22,0.10850738566034143,0.17781405878065876,1.3298214510301898,2.329821451030189,0,24,1.2617164782153658,2.2457484143431103,60,1.0484692856669426,200,32078.10630126953,62.193251643180844,0.35096400327299976,0.49498926612302374,0.7942847193127966,1.2453243353590369,1.7740671491087046,186,60,0.21975298582183792,0.3335924845629146,1.1979877438421334,2.188089646556884,25,0.12402176205357669,0.20445779035312225,1.4004871608174687,2.4004871608174683,0,21,1.4293671890744908,2.4024130111769173,60,0.9670550634463628
