group_key,group_value,planned_count,success_count,missing_count,priority
curvature_template,LD_dominant,12,0,12,True
curvature_template,WD_dominant,12,0,12,True
curvature_template,boxy,12,8,4,True
curvature_template,round,12,11,1,True
curvature_template,sharp,12,11,1,True
depth_bin,deep,20,6,14,True
depth_bin,medium,20,12,8,True
depth_bin,shallow,20,12,8,True
size_bin,elongated,15,6,9,True
size_bin,large_wide,15,8,7,True
size_bin,medium_balanced,15,8,7,True
size_bin,small_compact,15,8,7,True
aspect_bin,balanced,15,8,7,True
aspect_bin,compact,15,8,7,True
aspect_bin,narrow,15,6,9,True
aspect_bin,wide,15,8,7,True
plan_split,test,10,5,5,True
plan_split,train,40,20,20,True
plan_split,val,10,5,5,True
