model,selected_model,split,sample_count,selection_score,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy,shape_macro_f1
mean_baseline,,train,160,,0.8549062609672546,1.804101586341858,1.7834727764129639,0.1341562271118164,1.1499998569488525,5.7920050621032715,0.3375,0.16822429906542058
mean_baseline,,val,40,1.1012673544883729,0.8650173544883728,2.040281295776367,1.5697578191757202,0.13043750822544098,1.1499998569488525,5.962708473205566,0.325,0.16352201257861637
mean_baseline,,test,40,,0.8593667149543762,1.5777500867843628,1.9599529504776,0.1354375034570694,1.1499998569488525,6.150312423706055,0.325,0.16352201257861637
ridge_alpha1,,train,160,,0.27555084228515625,0.5195975303649902,0.5479360222816467,0.07147824764251709,0.41556516289711,0.8767783641815186,1.0,1.0
ridge_alpha1,,val,40,0.43052462935447694,0.38677462935447693,0.819004237651825,0.66753089427948,0.08882461488246918,0.6128636598587036,1.2859712839126587,0.875,0.8758620689655173
ridge_alpha1,,test,40,,0.559220016002655,1.0070244073867798,1.3925209045410156,0.1314801424741745,0.7317359447479248,1.9702801704406738,0.875,0.8765432098765432
kernel_ridge_rbf,,train,160,,0.02814570814371109,0.05525856837630272,0.053854718804359436,0.004887744784355164,0.04091754928231239,0.17802996933460236,1.0,1.0
kernel_ridge_rbf,,val,40,0.2941430294513703,0.28539302945137024,0.6029406785964966,0.49790292978286743,0.059382181614637375,0.4048381745815277,1.633933186531067,0.975,0.9751724137931035
kernel_ridge_rbf,,test,40,,0.4794151186943054,0.7794893383979797,1.1504607200622559,0.07858799397945404,0.6999855637550354,2.832354784011841,0.95,0.9505494505494506
svr_rbf_C10,svr_rbf_C10,train,160,,0.056097857654094696,0.08060981333255768,0.09360117465257645,0.021780287846922874,0.06651265919208527,0.22900095582008362,1.0,1.0
svr_rbf_C10,svr_rbf_C10,val,40,0.2481514894962311,0.23940148949623108,0.5902966856956482,0.448554128408432,0.0629134252667427,0.2693639099597931,0.8642966151237488,0.975,0.9751724137931035
svr_rbf_C10,svr_rbf_C10,test,40,,0.416405588388443,0.7570649981498718,1.1507278680801392,0.10785912722349167,0.47151774168014526,1.5601974725723267,0.95,0.9505494505494506
random_forest_cheap,,train,160,,0.2308407425880432,0.42080655694007874,0.4238286018371582,0.045714665204286575,0.3071359097957611,1.36546790599823,1.0,1.0
random_forest_cheap,,val,40,0.3538581812381745,0.34510818123817444,0.7396501898765564,0.5867778062820435,0.07063361257314682,0.4271881878376007,1.9514317512512207,0.975,0.9751724137931035
random_forest_cheap,,test,40,,0.4416462779045105,0.6997916102409363,1.0294641256332397,0.09848559647798538,0.5994700193405151,2.271857976913452,0.925,0.9255172413793104
