candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
current_grid_baseline_single_defect,42,test,overall,all,0.9,138,0.3444359353423028,0.48584663311091086,0.2904162220050172,1.1828867703100996,2,69,69,0.5398663464481965,0.5398663464481964
current_grid_baseline_single_defect,42,test,area_bin,small,0.9,46,0.24393852861587326,0.36888317924520636,0.5190457450923346,1.3469626944173465,2,10,36,0.093775962768745,0.5398663464481964
current_grid_baseline_single_defect,42,test,area_bin,medium,0.9,46,0.3591946973650989,0.5090972758323301,0.14679548007852838,1.0981717647417732,0,21,25,0.7214964931189006,0.5398663464481964
current_grid_baseline_single_defect,42,test,area_bin,large,0.9,46,0.4301745800459362,0.5795594442551962,0.20540744084418863,1.1106595876019285,0,38,8,0.8043265834569437,0.5398663464481964
current_grid_baseline_single_defect,42,test,signal_bin,low_signal,0.9,46,0.2688616217440647,0.39668202728156493,0.39571691443187834,1.227320834994316,2,24,22,0.26982673459375134,0.5398663464481964
current_grid_baseline_single_defect,42,test,signal_bin,non_low_signal,0.9,92,0.38222309214142175,0.5304289360255838,0.2377658757915866,1.1616356958959089,0,45,47,0.674886152375419,0.5398663464481964
current_grid_baseline_single_defect,42,test,defect_type,polygon,0.9,75,0.3100557908920395,0.4446594006602749,0.3606675981673671,1.1556006171676803,2,31,44,0.39404759338494727,0.5398663464481964
current_grid_baseline_single_defect,42,test,defect_type,rotated_rect,0.9,63,0.38536467873547336,0.5348790526950015,0.2067836313355531,1.2145040588719505,0,38,25,0.7134601000949217,0.5398663464481964
current_grid_baseline_single_defect,123,test,overall,all,0.9,138,0.3386879454345857,0.48000245278207254,0.27008814223864,1.1425069930744083,2,86,52,0.5486022559780181,0.5486022559780183
current_grid_baseline_single_defect,123,test,area_bin,small,0.9,46,0.25305722170329004,0.3770432099068829,0.367408138089265,1.2869014187969945,2,13,33,0.26269229352090795,0.5486022559780183
current_grid_baseline_single_defect,123,test,area_bin,medium,0.9,46,0.35133552381667604,0.4966221264036884,0.18420099001299625,1.0754790751506453,0,31,15,0.6637566602073682,0.5486022559780183
current_grid_baseline_single_defect,123,test,area_bin,large,0.9,46,0.41167109078379094,0.5663420220356464,0.2586552986136588,1.071418503785263,0,42,4,0.7193578142057786,0.5486022559780183
current_grid_baseline_single_defect,123,test,signal_bin,low_signal,0.9,46,0.2458922070335907,0.370126155859462,0.3565545483124563,1.2549239102412353,2,28,18,0.25946381458059636,0.5486022559780183
current_grid_baseline_single_defect,123,test,signal_bin,non_low_signal,0.9,92,0.3850858146350833,0.5349406012433778,0.22685493920173183,1.0887423805163607,0,58,34,0.6931714766767293,0.5486022559780183
current_grid_baseline_single_defect,123,test,defect_type,polygon,0.9,75,0.31033874669077255,0.4431019916002157,0.2977512503658381,1.1078067685235036,2,40,35,0.4556894879251501,0.5486022559780183
current_grid_baseline_single_defect,123,test,defect_type,rotated_rect,0.9,63,0.37243699155817267,0.5239315732366643,0.23715587065864227,1.1827151897762502,0,46,17,0.6592126941361947,0.5486022559780183
current_grid_baseline_single_defect,2026,test,overall,all,0.9,138,0.34905622346789383,0.4878073433742909,0.3167478883936063,1.218140510491271,0,60,76,0.5201156784485783,0.5201156784485786
