method,extraction_threshold,split,sample_count,geometry_iou_mean,geometry_dice_mean,geometry_area_error_mean,geometry_center_error_px_mean,angle_mae_deg,empty_count,fallback_count,score,available,notes
largest_component_pca,0.8,train,268,0.7077142183154738,0.8263472571031919,0.14127693393421384,nan,19.994781497587557,0,0,1.3927845414844517,True,
largest_component_pca,0.8,val,66,0.6768698200692238,0.8049428063444275,0.18729561058396277,nan,19.05504808751273,0,0,1.2945170158296886,True,
largest_component_pca,0.8,test,66,0.6705347151775484,0.8004220114340962,0.2211099108271105,nan,18.986357869657787,0,0,1.249846815784534,True,
probability_weighted_pca,0.8,train,268,0.6530288542596466,0.7872928177623132,0.2271698375640212,nan,19.98785769068804,0,0,1.2131518344579386,True,
probability_weighted_pca,0.8,val,66,0.6497327487373957,0.7844701684173966,0.2078166444255188,nan,19.272752436568723,0,0,1.2263862727292736,True,
probability_weighted_pca,0.8,test,66,0.6279554031466049,0.7669327458215083,0.23156949963575327,nan,19.381998133011585,0,0,1.16331864933236,True,
min_area_rect_if_available,0.8,train,268,0.7077142183154738,0.8263472571031919,0.14127693393421384,nan,19.994781497587557,0,268,1.3927845414844517,False,optional dependency unavailable; fallback used
min_area_rect_if_available,0.8,val,66,0.6768698200692238,0.8049428063444275,0.18729561058396277,nan,19.05504808751273,0,66,1.2945170158296886,False,optional dependency unavailable; fallback used
min_area_rect_if_available,0.8,test,66,0.6705347151775484,0.8004220114340962,0.2211099108271105,nan,18.986357869657787,0,66,1.249846815784534,False,optional dependency unavailable; fallback used
hybrid_threshold_sweep_t0.70,0.7000000000000001,train,268,0.7114695566169515,0.8289631733255985,0.14716925150845567,nan,19.961540247940032,0,0,1.3932634784340943,True,
hybrid_threshold_sweep_t0.70,0.7000000000000001,val,66,0.6753013632553274,0.8036793176530582,0.20723844982672676,nan,19.2901537296045,0,0,1.2717422310816588,True,
hybrid_threshold_sweep_t0.70,0.7000000000000001,test,66,0.6710639578508412,0.8008999704815482,0.2416433485855154,nan,19.42743604182378,0,0,1.230320579746874,True,
hybrid_threshold_sweep_t0.80,0.8,train,268,0.7077142183154738,0.8263472571031919,0.14127693393421384,nan,19.994781497587557,0,0,1.3927845414844517,True,
hybrid_threshold_sweep_t0.80,0.8,val,66,0.6768698200692238,0.8049428063444275,0.18729561058396277,nan,19.05504808751273,0,0,1.2945170158296886,True,
hybrid_threshold_sweep_t0.80,0.8,test,66,0.6705347151775484,0.8004220114340962,0.2211099108271105,nan,18.986357869657787,0,0,1.249846815784534,True,
hybrid_threshold_sweep_t0.90,0.9,train,268,0.6961936279459551,0.8181925265895916,0.14162255137949212,nan,20.069571073996755,0,0,1.3727636031560544,True,
hybrid_threshold_sweep_t0.90,0.9,val,66,0.6774553461882845,0.805482977173386,0.15169980540634018,nan,19.528340909516306,0,0,1.3312385179553305,True,
hybrid_threshold_sweep_t0.90,0.9,test,66,0.6725581527673428,0.8017130887704693,0.19446731397193992,nan,19.398328587812824,0,0,1.2798039275658721,True,
