sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,type_entropy,forward_mse,forward_mae,forward_rmse,forward_nrmse,forward_correlation,forward_line0_mse,forward_line1_mse,forward_line2_mse,forward_amplitude_abs_error,forward_abs_peak_index_error_mean,notes,failure_category
rect_v9_0027,146,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.4276729559748428,0.5991189427312775,0.37857142857142856,4.3822884856562565,261.0,420.0,0.0,0.25140681862831116,0.7485932111740112,rotated_rect,0.0,0.000750000006519258,0.0010000000474974513,0.0023454539477825165,-2.7642065106192604e-05,0.0018977675575383712,0.008999999612569809,0.009349578991532326,0.0003495793789625168,0.009499999694526196,0.006324221380054951,0.003175778314471245,0.0010000000474974513,0.0013066752580925822,0.0003066752105951309,0.0,-2.2480124775634804,nan,0.03923270279147583,0.5638753771781921,0.04266557842493057,0.16611577570438385,0.20655647756710652,0.2919186139118054,0.9664101039018116,0.034468065947294235,0.04072640463709831,0.05280226096510887,0.2092599868774414,50.333333333333336,,wrong_type
rect_v9_0017,136,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.48148148148148145,0.65,0.5185185185185185,3.5355339059327378,234.0,486.0,0.0,0.10271541774272919,0.8972846269607544,rotated_rect,0.0,0.0,0.0010000000474974513,-0.00022718438412994146,4.263949449523352e-05,0.000983947135709789,0.010999999940395355,0.00875044520944357,0.002249554730951786,0.008500000461935997,0.006341806147247553,0.002158194314688444,0.0024999999441206455,0.001279421616345644,0.0012205783277750015,0.0,0.049476312867358783,nan,0.0008635245344527313,0.3310086727142334,0.14130058884620667,0.30266159772872925,0.3758997058341582,0.8028121379430788,0.9058820355783316,0.1437665969133377,0.13400879502296448,0.14612635970115662,0.6184382438659668,26.666666666666668,,wrong_type
rot_p3_0045,244,test,rotated_rect,pilot_v3_rotated_rect,0.6,0.4833759590792839,0.6517241379310345,0.4166666666666667,4.555190110680834,340.0,240.0,0.0,0.5017812252044678,0.4982188045978546,rectangular_notch,0.0,-0.003000000026077032,0.0010000000474974513,-0.000946136424317956,3.7697063817176968e-06,0.0022827243544638483,0.00800000037997961,0.010829598642885685,0.0028295982629060745,0.006000000052154064,0.006919670384377241,0.000919670332223177,0.0024999999441206455,0.0015687929699197412,0.0009312069742009044,-30.00000044529205,-1.151242685314224,28.84875775997783,0.4982039741656773,0.6931408047676086,0.18681061267852783,0.3407655656337738,0.43221593292997407,0.4347249817919483,0.9041491229285398,0.16309842467308044,0.19057393074035645,0.2067594826221466,1.4222702980041504,42.0,,wrong_type
rect_v9_0014,133,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.4852941176470588,0.6534653465346535,0.4461538461538462,2.5,216.0,390.0,0.0,0.02728164568543434,0.9727182984352112,rotated_rect,0.0,-0.0022499999031424522,0.0010000000474974513,-0.0033219964243471622,0.00028437896980904043,0.0012889104028800042,0.00800000037997961,0.008062126114964485,6.212573498487473e-05,0.009499999694526196,0.006148490589112043,0.003351509105414152,0.0015999999595806003,0.001453685574233532,0.0001463143853470683,0.0,1.5721709154411252,nan,0.027438698051210807,0.12516209483146667,0.12552286684513092,0.2746990919113159,0.35429206432706184,0.6970206398880894,0.9315905438035593,0.11822114884853363,0.12507988512516022,0.1332676112651825,0.4070887565612793,6.0,,wrong_type
rect_v9_0034,153,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.4975124378109453,0.6644518272425249,0.34615384615384615,2.0,238.0,364.0,0.0,0.13655626773834229,0.8634437322616577,rotated_rect,0.0,0.000750000006519258,0.0,0.002168701495975256,-1.6875710571184754e-06,0.001418702493153776,0.00800000037997961,0.00874028168618679,0.00074028130620718,0.008999999612569809,0.006216185167431831,0.0027838144451379776,0.0010000000474974513,0.0011588308261707425,0.0001588307786732912,0.0,-2.498468684238678,nan,0.04360304992348837,0.3986625075340271,0.033496513962745667,0.1421784907579422,0.18302052880140432,0.2190636237222586,0.9799188162792353,0.03112049773335457,0.033112794160842896,0.036256249994039536,0.3539161682128906,26.0,,wrong_type
rect_p2_0068,67,test,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.4982517482517482,0.6651108518086347,0.38055555555555554,0.6201183088098975,497.0,360.0,0.0,0.8045408725738525,0.19545911252498627,rectangular_notch,1.0,0.0,0.0,-0.00019151822198182344,0.00011946323502343148,0.000225722603815707,0.00800000037997961,0.013785317540168762,0.005785317160189152,0.009499999694526196,0.007965502329170704,0.0015344973653554916,0.0010000000474974513,0.0015178758185356855,0.0005178757710382342,0.0,1.6043181612651423,nan,0.027999719443766686,0.49404263496398926,0.7653976678848267,0.616455614566803,0.8748700862898597,0.4947825417185268,0.9420204715060854,0.771490216255188,0.7284731268882751,0.7962297201156616,4.108650207519531,3.6666666666666665,,wrong_size
rect_v9_0049,168,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.5024271844660194,0.6688206785137318,0.23142857142857143,4.850263031837153,269.0,350.0,0.0,0.23211067914962769,0.7678893208503723,rotated_rect,0.0,0.0,0.0010000000474974513,0.0016250989865511656,-2.894083081628196e-05,0.0019234516070302662,0.008999999612569809,0.009322906844317913,0.0003229072317481041,0.00800000037997961,0.006390268448740244,0.0016097319312393665,0.002199999988079071,0.0013112351298332214,0.0008887648582458496,0.0,-0.8959115378406355,nan,0.015636446842237826,0.5418142080307007,0.10861064493656158,0.23821397125720978,0.32956129162351816,0.5659639042698227,0.9236166629402911,0.09875307977199554,0.11292395740747452,0.1141548901796341,0.004005908966064453,1.0,,wrong_type
rect_p2_0081,80,test,rectangular_notch,pilot_v2_rectangular_notch,0.6,0.502835538752363,0.6691823899371069,0.8392857142857143,3.7389923905407723,515.0,280.0,0.0,0.6512293815612793,0.3487705886363983,rectangular_notch,1.0,0.003000000026077032,0.0010000000474974513,0.0016767170745879412,-1.1953619832638651e-05,0.0016658715552833269,0.008999999612569809,0.01417120173573494,0.005171202123165131,0.006500000134110451,0.00795242004096508,0.0014524199068546295,0.0013000000035390258,0.0016497228061780334,0.00034972280263900757,0.0,4.632857122977589,nan,0.08083658475031472,0.6466822624206543,0.33532649278640747,0.4508501887321472,0.5790738232612552,0.4037296362860203,0.9456828093259481,0.3066238462924957,0.3240690231323242,0.3752865791320801,2.2853784561157227,50.0,,wrong_size
rect_v9_0016,135,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.5090497737556561,0.6746626686656672,0.49095022624434387,1.8101183373088425,225.0,442.0,0.0,0.04322434589266777,0.9567756652832031,rotated_rect,0.0,-0.001500000013038516,0.0,-0.002677834127098322,0.0002000748208956793,0.0011947062962081878,0.010999999940395355,0.008226972073316574,0.002773027867078781,0.008500000461935997,0.006219959817826748,0.002280040644109249,0.0019000000320374966,0.001405887072905898,0.0004941129591315985,0.0,0.6328148388067129,nan,0.011044646355529987,0.17805927991867065,0.08555374294519424,0.24178820848464966,0.2924957144048341,0.5547661402204535,0.9595388704852881,0.08935684710741043,0.08141624182462692,0.08588811755180359,0.42519426345825195,1.6666666666666667,,wrong_type
rect_v9_0044,163,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.6,0.5117647058823529,0.6770428015564203,0.48823529411764705,2.0239180277730386,261.0,510.0,0.0,0.26409968733787537,0.735900342464447,rotated_rect,0.0,0.003000000026077032,-0.0005000000237487257,0.0026252432726323605,-1.3053424481768161e-05,0.0006144588040512163,0.010999999940395355,0.00939484965056181,0.0016051502898335457,0.009499999694526196,0.0063086762093007565,0.003191323485225439,0.0010000000474974513,0.0012949437368661165,0.0002949436893686652,0.0,-2.9235830732748567,nan,0.051020615132810934,0.5773015022277832,0.05110442638397217,0.18522387742996216,0.22606288148206058,0.25672267523794756,0.9697043402175461,0.0502215139567852,0.0488182008266449,0.054273571819067,0.30368733406066895,41.333333333333336,,wrong_type
