model,selected_model,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy
svr_rbf_C10,svr_rbf_C10,train,shape_type,internal_cuboid,4,0.028721129521727562,0.05795460194349289,0.050573378801345825,0.004130590241402388,0.03914092481136322,0.10954443365335464,1.0
svr_rbf_C10,svr_rbf_C10,train,shape_type,internal_ellipsoid,36,0.02955634891986847,0.0560428686439991,0.058188486844301224,0.004918618127703667,0.0382985956966877,0.1066308319568634,1.0
svr_rbf_C10,svr_rbf_C10,train,shape_type,internal_sphere,24,0.09496765583753586,0.05452568084001541,0.05221208557486534,0.06568820029497147,0.07531676441431046,0.15239816904067993,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,deep,15,0.04524124786257744,0.05462633818387985,0.05386490374803543,0.01862059161067009,0.03925403580069542,0.1339023858308792,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,deep_plus,15,0.06677328050136566,0.05650731921195984,0.058132436126470566,0.03503848984837532,0.06470043957233429,0.1518673300743103,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,medium,15,0.061662569642066956,0.05272439122200012,0.05635066702961922,0.036076225340366364,0.06921909004449844,0.1039857268333435,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,shallow,19,0.04489370062947273,0.05790038779377937,0.05394468456506729,0.022319991141557693,0.039226945489645004,0.10990063846111298,1.0
svr_rbf_C10,svr_rbf_C10,train,size_level,large,20,0.0743941143155098,0.05720892548561096,0.05817018449306488,0.045455895364284515,0.06183694675564766,0.14282037317752838,1.0
svr_rbf_C10,svr_rbf_C10,train,size_level,medium,21,0.033067282289266586,0.056290969252586365,0.05182544142007828,0.009569318033754826,0.03920330852270126,0.10376742482185364,1.0
svr_rbf_C10,svr_rbf_C10,train,size_level,small,23,0.05547137185931206,0.053551699966192245,0.05645352602005005,0.028697211295366287,0.05577855929732323,0.1260400116443634,1.0
svr_rbf_C10,svr_rbf_C10,train,aspect_bin,compact,38,0.07053369283676147,0.05375150963664055,0.05360418185591698,0.04321882501244545,0.061149921268224716,0.13509726524353027,1.0
svr_rbf_C10,svr_rbf_C10,train,aspect_bin,elongated_x,13,0.029990224167704582,0.058262284845113754,0.05806285887956619,0.0049165235832333565,0.03928249329328537,0.10882482677698135,1.0
svr_rbf_C10,svr_rbf_C10,train,aspect_bin,elongated_y,13,0.029844891279935837,0.05830854922533035,0.058337923139333725,0.004913792014122009,0.03911891579627991,0.1066172644495964,1.0
svr_rbf_C10,svr_rbf_C10,val,shape_type,internal_cuboid,16,0.7501921653747559,1.6927989721298218,2.1298182010650635,0.16163726150989532,0.38865894079208374,2.9831745624542236,0.4375
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,deep,2,0.9999112486839294,1.819688081741333,2.073233127593994,0.2529377341270447,1.1875728368759155,3.5546913146972656,0.0
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,medium,9,0.7067342400550842,1.4311251640319824,2.1007230281829834,0.146992489695549,0.356560081243515,2.9768717288970947,0.3333333333333333
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,shallow,5,0.7285288572311401,2.113055944442749,2.2048234939575195,0.1514776349067688,0.12687136232852936,2.7659130096435547,0.8
svr_rbf_C10,svr_rbf_C10,val,size_level,large,6,0.7911276817321777,1.6738988161087036,2.8887248039245605,0.22554223239421844,0.15231603384017944,2.6431708335876465,0.6666666666666666
svr_rbf_C10,svr_rbf_C10,val,size_level,medium,5,0.6532105803489685,2.1184580326080322,1.5473315715789795,0.06627456843852997,0.3794774115085602,2.807811975479126,0.4
svr_rbf_C10,svr_rbf_C10,val,size_level,small,5,0.7980509996414185,1.2898200750350952,1.8016172647476196,0.18031397461891174,0.6814519166946411,3.5665414333343506,0.2
svr_rbf_C10,svr_rbf_C10,val,aspect_bin,compact,5,0.7966184616088867,0.8902492523193359,2.2428905963897705,0.1735140085220337,0.6234937310218811,3.40744686126709,0.2
svr_rbf_C10,svr_rbf_C10,val,aspect_bin,elongated_x,6,0.6745140552520752,2.746654510498047,0.9938138723373413,0.1442698985338211,0.40274500846862793,2.5455455780029297,0.5
svr_rbf_C10,svr_rbf_C10,val,aspect_bin,elongated_y,5,0.7945795655250549,1.2307219505310059,3.3799514770507812,0.17060132324695587,0.13692086935043335,3.084057569503784,0.6
svr_rbf_C10,svr_rbf_C10,test,shape_type,internal_cuboid,16,0.8788832426071167,1.5398310422897339,1.959144115447998,0.15865229070186615,0.9222972393035889,3.8277647495269775,0.0
svr_rbf_C10,svr_rbf_C10,test,burial_depth_level,deep,7,0.7605828046798706,1.0782806873321533,1.8165881633758545,0.1292092204093933,0.7963610291481018,3.4934418201446533,0.0
svr_rbf_C10,svr_rbf_C10,test,burial_depth_level,deep_plus,9,0.9708945751190186,1.8988144397735596,2.070020914077759,0.181552454829216,1.0202475786209106,4.087794303894043,0.0
svr_rbf_C10,svr_rbf_C10,test,size_level,large,6,0.9310001134872437,1.7351770401000977,2.4845523834228516,0.20644253492355347,0.6955987811088562,3.780515670776367,0.0
svr_rbf_C10,svr_rbf_C10,test,size_level,medium,6,0.8889794945716858,1.1011488437652588,1.9718765020370483,0.11541690677404404,1.2190111875534058,4.077023983001709,0.0
svr_rbf_C10,svr_rbf_C10,test,size_level,small,4,0.7855633497238159,1.9048349857330322,1.1519336700439453,0.15182001888751984,0.8172743916511536,3.524749279022217,0.0
svr_rbf_C10,svr_rbf_C10,test,aspect_bin,compact,5,0.9053269624710083,1.2618427276611328,1.5791919231414795,0.20190535485744476,0.9351055026054382,4.24608850479126,0.0
svr_rbf_C10,svr_rbf_C10,test,aspect_bin,elongated_x,5,0.6850141882896423,2.1346325874328613,1.4424196481704712,0.07854481041431427,0.6742878556251526,3.130953311920166,0.0
svr_rbf_C10,svr_rbf_C10,test,aspect_bin,elongated_y,6,1.018404245376587,1.275820016860962,2.7063748836517334,0.18936429917812347,1.1182982921600342,4.05983829498291,0.0
