candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_support_length,empty_support_count,full_width_support_count
profile_band_oracle,oracle,val,overall,all,0.5,129,0.4985103585241793,0.6576531754883514,1.151054211546804,0.0694869745825282,0,0,129,nan,0.005109322465726596,0.005109322465726522,27.82170542635659,0,0
profile_band_oracle,oracle,val,area_bin,small,0.5,43,0.39327882502273187,0.5564440682978516,1.7691832217704602,0.10471089478842048,0,0,43,nan,-0.8194603284498767,0.005109322465726522,24.302325581395348,0,0
profile_band_oracle,oracle,val,area_bin,medium,0.5,43,0.5132432429396862,0.676460270736158,0.973215236721342,0.054440829554995046,0,0,43,nan,0.21648827695450223,0.005109322465726522,27.558139534883722,0,0
profile_band_oracle,oracle,val,area_bin,large,0.5,43,0.5890090076101199,0.7400551874310446,0.7107641761486103,0.04930919940416907,0,0,43,nan,0.618300018892554,0.005109322465726522,31.6046511627907,0,0
profile_band_oracle,oracle,val,signal_bin,low_signal,0.5,43,0.42215468391102934,0.5823181888625963,1.6454897821516115,0.0956305475623975,0,0,43,nan,-0.6410169093779858,0.005109322465726522,23.72093023255814,0,0
profile_band_oracle,oracle,val,signal_bin,non_low_signal,0.5,86,0.5366881958307544,0.6953206688012289,0.9038364262444006,0.05641518809259355,0,0,86,nan,0.3281724383875827,0.005109322465726522,29.872093023255815,0,0
profile_band_oracle,oracle,val,defect_type,polygon,0.5,72,0.4423391024378129,0.6051153733930779,1.4498284598298445,0.11377784197166976,0,0,72,nan,-0.40237398399895374,0.005109322465726522,28.77777777777778,0,0
profile_band_oracle,oracle,val,defect_type,rotated_rect,0.5,57,0.569463524106958,0.724016714977118,0.7736551610840162,0.013540615775191486,0,0,57,nan,0.5198250780000596,0.005109322465726522,26.614035087719298,0,0
profile_band_oracle,oracle,test,overall,all,0.5,138,0.5104838376857413,0.6692102469761099,1.1033652270595362,0.07210902758685035,0,0,138,nan,0.07632885760231511,0.07632885760231496,27.579710144927535,0,0
profile_band_oracle,oracle,test,area_bin,small,0.5,46,0.4182969586075224,0.5821433439099925,1.6608677787161508,0.10054219464528495,0,0,46,nan,-0.660427476198636,0.07632885760231496,23.152173913043477,0,0
profile_band_oracle,oracle,test,area_bin,medium,0.5,46,0.5165060856793455,0.6788965057893209,0.9656701709021908,0.07507256071245216,0,0,46,nan,0.2297324205664758,0.07632885760231496,27.891304347826086,0,0
profile_band_oracle,oracle,test,area_bin,large,0.5,46,0.5966484687703565,0.7465908912290162,0.6835577315602676,0.04071232740281393,0,0,46,nan,0.659681628439105,0.07632885760231496,31.695652173913043,0,0
profile_band_oracle,oracle,test,signal_bin,low_signal,0.5,46,0.4400449745054888,0.6021977170876153,1.558577106174877,0.0875528042062955,0,0,46,nan,-0.516334414581773,0.07632885760231496,24.0,0,0
profile_band_oracle,oracle,test,signal_bin,non_low_signal,0.5,92,0.5457032692758678,0.7027165119203572,0.8757592875018656,0.06438713927712778,0,0,92,nan,0.3726604936943594,0.07632885760231496,29.369565217391305,0,0
profile_band_oracle,oracle,test,defect_type,polygon,0.5,75,0.4618543201174624,0.6241371114295093,1.374977591375747,0.12009553066765269,0,0,75,nan,-0.28898615982877507,0.07632885760231496,28.44,0,0
profile_band_oracle,oracle,test,defect_type,rotated_rect,0.5,63,0.5683761205051212,0.7228687416744439,0.7800171743021427,0.01498223820494281,0,0,63,nan,0.5112276878774225,0.07632885760231496,26.555555555555557,0,0
