sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,notes,failure_category
rect_p2_0026,25,test,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.3183279742765273,0.48292682926829267,0.028846153846153848,6.62437838453333,404.0,416.0,0.0,0.6995405554771423,0.3004594147205353,rectangular_notch,1.0,0.003000000026077032,0.0,-0.0013378218282014132,0.0002533401711843908,0.004345213654326699,0.00800000037997961,0.011998286470770836,0.003998286090791225,0.009999999776482582,0.008012433536350727,0.001987566240131855,0.0015999999595806003,0.001744732609950006,0.00014473265036940575,0.0,5.038257024748171,nan,0.08790584538739597,,wrong_center
rect_p2_0095,94,test,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.4256619144602851,0.5971428571428572,0.14323607427055704,4.47213595499958,323.0,377.0,0.0,0.2673528492450714,0.7326471209526062,rotated_rect,0.0,-0.003000000026077032,-0.0005000000237487257,-0.00029139051912352443,0.00020231369126122445,0.0027981797155590946,0.00800000037997961,0.011185599491000175,0.003185599111020565,0.008999999612569809,0.006988283712416887,0.0020117159001529217,0.0024999999441206455,0.0015924101462587714,0.0009075897978618741,0.0,0.34600703134738514,nan,0.006038952755597604,,wrong_type
rot_v7_0006,253,test,rotated_rect,pilot_v7_topup_rotated_rect,0.7,0.43354430379746833,0.6048565121412803,0.1125,4.645472788402342,213.0,240.0,0.0,0.026482606306672096,0.9735174179077148,rotated_rect,1.0,0.0,-0.0010000000474974513,-0.0017001668456941843,0.0002281064516864717,0.0020973346737144967,0.00800000037997961,0.008622115477919579,0.0006221150979399681,0.006000000052154064,0.006320289336144924,0.00032028928399086,0.0010000000474974513,0.0013865960063412786,0.00038659595884382725,20.000000659393134,6.285030791219013,13.714969868174109,0.23880030435201996,,rasterized_geometry_mismatch
rect_v9_0027,146,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.44036697247706424,0.6114649681528662,0.5047619047619047,3.8791523133435133,208.0,420.0,0.0,0.07090432941913605,0.9290956854820251,rotated_rect,0.0,0.000750000006519258,0.0010000000474974513,0.0016838519368320704,-0.00019945637905038893,0.0015201233756239419,0.008999999612569809,0.008644429966807365,0.00035556964576244354,0.009499999694526196,0.0061448682099580765,0.003355131484568119,0.0010000000474974513,0.001397198997437954,0.00039719894994050264,0.0,4.373424767072525,nan,0.076312132678523,,wrong_type
rect_v9_0017,136,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.4548802946593002,0.6253164556962025,0.37448559670781895,5.0,304.0,486.0,0.0,0.6058425307273865,0.3941574990749359,rectangular_notch,1.0,0.0,0.0010000000474974513,-0.0023661162704229355,0.00014990959607530385,0.0025141917201160578,0.010999999940395355,0.01113126240670681,0.00013126246631145477,0.008500000461935997,0.006836705841124058,0.0016632946208119392,0.0024999999441206455,0.0015322861727327108,0.0009677137713879347,0.0,0.14876943086931876,nan,0.0025965156655941347,,acceptable_or_minor_error
rect_v9_0016,135,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.45701357466063347,0.6273291925465838,0.5429864253393665,1.5894481609438582,202.0,442.0,0.0,0.02276349999010563,0.9772365093231201,rotated_rect,0.0,-0.001500000013038516,0.0,-0.0005677889566868544,8.511656778864563e-05,0.0009360888225464505,0.010999999940395355,0.008344864472746849,0.002655135467648506,0.008500000461935997,0.006229132413864136,0.0022708680480718613,0.0019000000320374966,0.001309892162680626,0.0005901078693568707,0.0,5.809448988179256,nan,0.10135058456551993,,wrong_type
rot_v9_0041,360,test,rotated_rect,pilot_v9_topup_rotated_rect,0.7,0.46034816247582205,0.6304635761589404,1.1458333333333333,0.37902066566881515,515.0,240.0,0.0,0.814464807510376,0.1855352371931076,rectangular_notch,0.0,0.001500000013038516,0.0,0.0011559780687093735,-5.759662599302828e-06,0.0003440701554817876,0.00800000037997961,0.014683033339679241,0.006683032959699631,0.006000000052154064,0.008251732215285301,0.002251732163131237,0.001500000013038516,0.0013997870264574885,0.00010021298658102751,-20.000000659393134,5.616122191269338,25.616122850662464,0.4433713946969128,,wrong_type
rot_p3_0045,244,test,rotated_rect,pilot_v3_rotated_rect,0.7,0.4604651162790698,0.6305732484076433,0.6166666666666667,4.479771491410709,388.0,240.0,0.0,0.805943489074707,0.19405654072761536,rectangular_notch,0.0,-0.003000000026077032,0.0010000000474974513,-0.0007409347454085946,0.00018452330550644547,0.0024017449508145043,0.00800000037997961,0.011810753494501114,0.0038107531145215034,0.006000000052154064,0.007825336419045925,0.001825336366891861,0.0024999999441206455,0.0019310954958200455,0.0005689044483006,-30.00000044529205,3.3058726031018786,33.30587304839392,0.5731473071800666,,wrong_type
rect_v9_0055,174,test,rectangular_notch,pilot_v9_topup_rectangular_notch,0.7,0.4843137254901961,0.6525759577278731,0.515686274509804,1.6940369000898639,247.0,510.0,0.0,0.12031135708093643,0.8796886205673218,rotated_rect,0.0,-0.003000000026077032,0.0,-0.0018049821956083179,0.00019932593568228185,0.0012115273186246234,0.010999999940395355,0.0095469756051898,0.001453024335205555,0.009499999694526196,0.006479325704276562,0.003020673990249634,0.0010000000474974513,0.0015009013004601002,0.0005009012529626489,0.0,1.649007021787478,nan,0.028779608610820906,,wrong_type
rot_p3_0043,242,test,rotated_rect,pilot_v3_rotated_rect,0.7,0.48717948717948717,0.6551724137931034,0.13903743315508021,7.2447341889077395,483.0,561.0,0.0,0.9196850061416626,0.08031496405601501,rectangular_notch,0.0,0.003000000026077032,0.0010000000474974513,-0.0011822954984381795,-0.00011272955453023314,0.00432778949560897,0.01600000075995922,0.014125475659966469,0.001874525099992752,0.007000000216066837,0.00807766243815422,0.0010776622220873833,0.0010000000474974513,0.0012396152596920729,0.00023961521219462156,10.000000283105564,3.4233373426741114,6.576662940431447,0.11472141709287342,,wrong_type
