seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,component_type_combination=polygon,train,402,0.7776809118685176,0.8717848792278445,0.11714142462311732,1.604914446325263,373.8532338308458,387.6194029850746,0,0.17682089263675224,1.027363184079602,0.9776119402985075,0.9776119402985075,0.017412935323383085,0.004975124378109453,0.0,0.0,0.022388059701492536,0.022388059701492536,1.0
all,component_type_combination=rectangular_notch,train,402,0.7907854188962553,0.881164955467883,0.12212622291912527,1.5272819713125367,487.34328358208955,526.5298507462686,0,0.16829724986087624,1.0223880597014925,0.9800995024875622,0.9800995024875622,0.017412935323383085,0.0024875621890547263,0.0,0.0,0.01990049751243781,0.01990049751243781,1.0
all,component_type_combination=rectangular_notch+polygon,train,96,0.7403045529694962,0.8481171769737373,0.08679808889153685,2.3467872381958577,657.84375,668.78125,0,0.24525098595768213,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rectangular_notch,train,96,0.7266883690966172,0.8402195225090799,0.0794042558391831,3.008686889696446,701.5729166666666,732.09375,0,0.254732674608628,2.0104166666666665,0.9895833333333334,0.0,0.9895833333333334,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,1.0
all,component_type_combination=rectangular_notch+rectangular_notch+rectangular_notch,train,240,0.8156763306918112,0.8970539193198083,0.06517277038160853,1.597937655904887,423.3375,430.0375,0,0.1460530051961541,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rectangular_notch+rotated_rect,train,240,0.8107666416675922,0.8941486657835687,0.06444506951548709,1.6658349344781271,423.9125,433.0375,0,0.14822867939559123,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rotated_rect,train,96,0.7387051107550131,0.8480307356503953,0.09473304937952687,2.5988231307577347,704.65625,755.6875,0,0.2416999232955277,2.0208333333333335,0.9791666666666666,0.0,0.9791666666666666,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,1.0
all,component_type_combination=rectangular_notch+rotated_rect+rotated_rect,train,240,0.8004989291967242,0.8877190717183912,0.0631710191975354,1.5639578084975432,426.87083333333334,439.2375,0,0.15954636226718624,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect,train,402,0.7406811698228198,0.8491782282020144,0.10693607057070983,1.7476312832402805,297.5845771144279,293.4776119402985,0,0.19775130892570933,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect+polygon,train,96,0.7176737543000761,0.8326557258071565,0.1017818025320847,2.4386737842729613,669.28125,663.96875,0,0.2671839295265575,2.0104166666666665,0.9895833333333334,0.0,0.9895833333333334,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,1.0
all,component_type_combination=rotated_rect+rotated_rect,train,96,0.7117084495673592,0.8294661677246683,0.10200689619024243,2.3139682710724974,706.25,750.375,0,0.27023799368180335,2.03125,0.96875,0.0,0.96875,0.03125,0.0,0.0,0.03125,0.03125,1.0
all,component_type_combination=rotated_rect+rotated_rect+rotated_rect,train,240,0.7896415930120528,0.88162294435642,0.06038968719573513,1.5224173401616292,423.075,435.5875,0,0.16717018270865083,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=polygon,val,99,0.650855479786813,0.7842377633389142,0.2127638294520771,3.1420478230349875,371.4141414141414,390.6060606060606,0,0.3130619191762173,1.0101010101010102,0.98989898989899,0.98989898989899,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,1.0
all,component_type_combination=rectangular_notch,val,99,0.6525198353417997,0.7839588451108969,0.24968635465881617,2.5465476000163316,347.6060606060606,342.6060606060606,0,0.2995213187403149,1.0707070707070707,0.9494949494949495,0.9494949494949495,0.030303030303030304,0.020202020202020204,0.0,0.0,0.050505050505050504,0.050505050505050504,1.0
all,component_type_combination=rectangular_notch+polygon,val,24,0.632792223744932,0.7692343145232897,0.13298662700971317,5.35051621737592,700.2916666666666,702.125,0,0.38637445742885274,2.0416666666666665,0.9583333333333334,0.0,0.9583333333333334,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,1.0
all,component_type_combination=rectangular_notch+rectangular_notch,val,24,0.5758928991966995,0.7280376495957347,0.13700459164448495,5.336371625837715,702.9166666666666,759.5,0,0.4518601807455222,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rectangular_notch+rectangular_notch+rectangular_notch,val,60,0.6575739716863281,0.7723260345532538,0.11869107138471224,2.8656258837543063,436.18333333333334,424.9,0,0.3454490516334772,3.0,0.9333333333333333,0.0,0.03333333333333333,0.9333333333333333,0.1,0.0,0.03333333333333333,0.03333333333333333,0.9555555555555555
all,component_type_combination=rectangular_notch+rectangular_notch+rotated_rect,val,60,0.6796353514707154,0.7974438203611385,0.08311958977301424,2.6473587525455886,419.3666666666667,431.45,0,0.30734687907000385,3.05,0.9666666666666667,0.0,0.0,0.9666666666666667,0.05,0.0,0.03333333333333333,0.03333333333333333,0.9833333333333333
all,component_type_combination=rectangular_notch+rotated_rect,val,24,0.6259523741493748,0.7583051358091474,0.11674730174156467,4.925209104931461,686.375,727.5,0,0.4158122707158327,2.0416666666666665,0.9583333333333334,0.0,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.9583333333333334
all,component_type_combination=rectangular_notch+rotated_rect+rotated_rect,val,60,0.6861439243407025,0.803958783322889,0.08457368946763127,2.3007655183319367,425.1666666666667,429.05,0,0.28588646128773687,3.033333333333333,0.9666666666666667,0.0,0.0,0.9666666666666667,0.016666666666666666,0.0,0.03333333333333333,0.03333333333333333,0.9944444444444446
all,component_type_combination=rotated_rect,val,99,0.6785886292545842,0.8048867371506634,0.14583863207802164,2.4587259308639045,311.07070707070704,297.030303030303,0,0.2608654188236805,1.0101010101010102,0.98989898989899,0.98989898989899,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,1.0
all,component_type_combination=rotated_rect+polygon,val,24,0.5529859338661062,0.7089422276242198,0.1508700556782224,5.505313892994512,635.0416666666666,669.625,0,0.4719126224517822,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
all,component_type_combination=rotated_rect+rotated_rect,val,24,0.5606080021290395,0.6854071409085402,0.1687466669915716,4.279461741268073,612.875,747.375,0,0.5320881623774767,2.125,0.875,0.0,0.875,0.125,0.125,0.0,0.125,0.125,0.875
all,component_type_combination=rotated_rect+rotated_rect+rotated_rect,val,60,0.6521161512470395,0.7783669839285434,0.07688548274223792,2.5715901370152197,412.26666666666665,434.5,0,0.32067391723394395,3.0166666666666666,0.9833333333333333,0.0,0.0,0.9833333333333333,0.05,0.0,0.016666666666666666,0.016666666666666666,0.9833333333333333
all,component_type_combination=polygon,test,99,0.6812578368993183,0.8063575243798502,0.1785010585137858,2.441071704072378,381.8989898989899,412.06060606060606,0,0.2765519271294276,1.0101010101010102,0.98989898989899,0.98989898989899,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,1.0
all,component_type_combination=rectangular_notch,test,99,0.6649632122603006,0.7951385307550876,0.2506862234584797,2.0579734627920008,362.37373737373736,399.6060606060606,0,0.28840314295857844,1.0101010101010102,0.98989898989899,0.98989898989899,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,1.0
all,component_type_combination=rectangular_notch+polygon,test,24,0.5069909871040119,0.6399728840089803,0.24728407846955433,4.50584723446184,629.125,674.0,0,0.6075597169498602,2.375,0.75,0.0,0.75,0.125,0.125,0.0,0.25,0.25,0.875
all,component_type_combination=rectangular_notch+rectangular_notch,test,24,0.578443458110128,0.729267851151106,0.20067904228300915,5.11678783043261,692.875,735.625,0,0.4280000689129035,2.1666666666666665,0.875,0.0,0.875,0.08333333333333333,0.0,0.0,0.125,0.125,1.0
all,component_type_combination=rectangular_notch+rectangular_notch+rectangular_notch,test,60,0.6730159751734409,0.7871343376823022,0.09095671850545077,2.279240817023414,424.6166666666667,420.6,0,0.32730481947461765,2.9833333333333334,0.95,0.0,0.03333333333333333,0.95,0.05,0.0,0.016666666666666666,0.016666666666666666,0.9666666666666667
all,component_type_combination=rectangular_notch+rectangular_notch+rotated_rect,test,60,0.6984254730334436,0.8063032946316017,0.10828231822162294,2.6348215459674673,433.06666666666666,431.9,0,0.2849328212440014,3.0833333333333335,0.9166666666666666,0.0,0.03333333333333333,0.9166666666666666,0.05,0.0,0.05,0.05,0.9777777777777777
all,component_type_combination=rectangular_notch+rotated_rect,test,24,0.5455647031904866,0.6701126693200105,0.2029676095984024,2.6918858983242013,651.125,723.375,0,0.5266538007805744,2.25,0.7916666666666666,0.0,0.7916666666666666,0.16666666666666666,0.125,0.0,0.20833333333333334,0.20833333333333334,0.875
