selected_surrogate,descriptor_kind,feature_mode,alpha,split,subset,sample_count,feature_mse_norm_mean,feature_rmse_norm_mean,feature_mse_norm_p95,target_observed_feature_count,fit_split_only,hyperparameter_selection_split,test_final_only
ridge_param_only_linear_alpha_10,param_only,linear,10.0,train,rbc_representable,63,0.6765845562475326,0.8225476012046552,1.3070739186989442,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,train,refinement_target,51,0.6525716650954142,0.8078190794326501,1.0723052558289348,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,train,already_pass_reference,12,0.7786393436440346,0.8824054304252862,1.5142942274469866,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,train,excluded_negative_control,9,1.8290766441277313,1.3524336006354365,4.069477348648415,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,train,all,72,0.8206460672325572,0.9058951745276917,1.7235548375675382,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,val,rbc_representable,21,0.7648782817421762,0.8745731997621332,1.1520476233654493,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,val,refinement_target,16,0.6761631343911378,0.8222913926286337,0.9984518468923671,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,val,already_pass_reference,5,1.048766753265499,1.0240931370073227,1.1638414398253223,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,val,excluded_negative_control,3,1.088607205659889,1.0433634101596092,1.556081085293753,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,val,all,24,0.8053443972318903,0.8974098267970383,1.1645785533540642,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,test,rbc_representable,20,2.611383061640845,1.6159774322807992,16.380068471974585,117,train,val,True
ridge_param_only_linear_alpha_10,param_only,linear,10.0,test,refinement_target,15,3.1718170882410903,1.7809595975880785,17.581693024591804,117,train,val,True
ridge_param_only_linear_alpha_10,param_only,linear,10.0,test,already_pass_reference,5,0.9300809818401101,0.9644070623134767,1.6271900523308491,117,train,val,True
ridge_param_only_linear_alpha_10,param_only,linear,10.0,test,excluded_negative_control,4,2.0983710876618353,1.448575537437325,4.0634493838264545,117,train,val,True
ridge_param_only_linear_alpha_10,param_only,linear,10.0,test,all,24,2.525881065977677,1.589302068826967,14.371308501791832,117,train,val,True
ridge_param_only_linear_alpha_10,param_only,linear,10.0,all,rbc_representable,104,1.0664897326249727,1.0327098976116056,1.4710892956241282,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,all,refinement_target,82,1.118012456021228,1.0573610811928098,1.3219725166656089,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,all,already_pass_reference,22,0.8744504908752937,0.9351205755811888,1.6429763402188489,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,all,excluded_negative_control,16,1.7575622352985367,1.3257308306358937,4.32055890538551,117,train,val,False
ridge_param_only_linear_alpha_10,param_only,linear,10.0,all,all,120,1.1586327329814479,1.0763980365001824,2.4446296306570408,117,train,val,False
