metric,reference_label,current_label,reference_value,current_value,delta,improved
total_normalized_mae,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.6780143536818333,0.6957241464883853,0.01770979280655205,False
total_normalized_mae,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.7153952435041085,0.6957241464883853,-0.019671097015723227,True
total_normalized_mae,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.7533873075093979,0.6957241464883853,-0.05766316102101254,True
L_mae_mm,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,1.891891360282898,2.5945624946019588,0.7026711343190608,False
L_mae_mm,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,2.7033732659541645,2.5945624946019588,-0.10881077135220574,True
L_mae_mm,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,2.660231047715896,2.5945624946019588,-0.06566855311393738,True
W_mae_mm,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,2.1857595443725586,2.3609011820875683,0.17514163771500968,False
W_mae_mm,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,2.486409778587329,2.3609011820875683,-0.12550859649976065,True
W_mae_mm,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,2.135249491303395,2.3609011820875683,0.22565169078417346,False
D_mae_mm,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.8002312183380127,0.9663975906486695,0.16616637231065678,False
D_mae_mm,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.9795067076308605,0.9663975906486695,-0.013109116982190971,True
D_mae_mm,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,1.1115478296310475,0.9663975906486695,-0.145150238982378,True
curvature_mae,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.20107580721378326,0.1903038014872716,-0.010772005726511658,True
curvature_mae,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.19504618346213531,0.1903038014872716,-0.0047423819748637075,True
curvature_mae,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.21158406477517042,0.1903038014872716,-0.02128026328789881,True
wLD_abs_error,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.2094394713640213,0.2096490095823239,0.00020953821830260733,False
wLD_abs_error,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.2201639887614128,0.2096490095823239,-0.01051497917908889,True
wLD_abs_error,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.2320939057912582,0.2096490095823239,-0.02244489620893428,True
wWD_abs_error,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.20446909964084625,0.1947971781094869,-0.009671921531359345,True
wWD_abs_error,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.1943696569173764,0.1947971781094869,0.0004275211921105082,False
wWD_abs_error,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.21763882270226112,0.1947971781094869,-0.022841644592774213,True
wLW_abs_error,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.18931882083415985,0.1664652182505681,-0.02285360258359176,True
wLW_abs_error,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.17060490754934457,0.1664652182505681,-0.004139689298776478,True
wLW_abs_error,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.18501947017816398,0.1664652182505681,-0.018554251927595883,True
projected_mask_iou,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.7506502455785019,0.7145338928326161,-0.03611635274588576,False
projected_mask_iou,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.7023349188720109,0.7145338928326161,0.012198973960605208,True
projected_mask_iou,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.7282398476842469,0.7145338928326161,-0.01370595485163073,False
projected_mask_dice,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.8477271366767738,0.8262715758785393,-0.02145556079823452,False
projected_mask_dice,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.815450420558869,0.8262715758785393,0.010821155319670317,True
projected_mask_dice,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.8345969696140306,0.8262715758785393,-0.008325393735491349,False
profile_depth_rmse_m,20.77_neural,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.0003877372636895579,0.0004496398864713951,6.190262278183719e-05,False
profile_depth_rmse_m,20.77_feature_baseline_svr_rbf_C10,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,0.0004638535043714234,0.0004496398864713951,-1.4213617900028298e-05,True
profile_depth_rmse_m,20.79_refined_C1_split_heads,F0_F1_F2_basic_physical::svr_rbf_C10_eps0.03,nan,0.0004496398864713951,nan,False
