sample_id,split,subset,row_origin,inference_status,risk_score,risk_threshold,risk_reason,true_shape_type,pred_shape_type,shape_correct,burial_depth_level,size_level,aspect_bin,hardcase_target_id,pred_L_mm,pred_W_mm,pred_D_mm,pred_burial_depth_mm,pred_center_x_mm,pred_center_y_mm,pred_center_z_mm,L_error_mm,W_error_mm,D_error_mm,burial_depth_error_mm,center_xyz_error_mm,total_abs_normalized_error,center_outlier,burial_outlier,catastrophic_failure,geometry_branch_failure,bad_tail_target,failure_tags,stable_prediction_claim
internal_pilot_033,test,source_v2,source_v2_240,accepted_prediction,0.025693779950027223,0.07046389,center_pairwise_max_mm=1.134; burial_pairwise_max_mm=0.190; feature_abs_z_max=2.257,internal_ellipsoid,internal_ellipsoid,True,shallow,large,elongated_y,,3.431893825531006,3.7890572547912598,1.1827330589294434,1.1484557390213013,0.9546441435813904,-1.7031924724578857,-1.4649747610092163,0.3181060254573822,4.210943222045898,0.21726684272289276,0.3484557867050171,4.799228191375732,0.7214146256446838,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,True
internal_pilot_048,test,source_v2,source_v2_240,accepted_prediction,0.02506030454225246,0.07046389,center_pairwise_max_mm=1.598; burial_pairwise_max_mm=0.290; feature_abs_z_max=2.179,internal_ellipsoid,internal_ellipsoid,True,deep,medium,elongated_y,,3.5876495838165283,3.3502085208892822,1.1974189281463623,3.6794185638427734,2.7577877044677734,-0.3177602291107178,-3.211798667907715,0.9626497030258179,2.249791383743286,0.0025811605155467987,0.47941854596138,4.354182720184326,0.4853074848651886,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,True
internal_pilot_087,test,source_v2,source_v2_240,accepted_prediction,0.05170554544177274,0.07046389,center_pairwise_max_mm=1.764; burial_pairwise_max_mm=0.370; feature_abs_z_max=1.723,internal_cuboid,internal_cuboid,True,deep,large,elongated_y,,3.2154200077056885,2.590418815612793,1.1179120540618896,3.2780964374542236,8.983612060546875,-0.8607319593429565,-3.115318775177002,0.534579873085022,5.409581661224365,0.28208795189857483,0.07809652388095856,4.961811542510986,0.9117769002914429,True,False,False,False,True,center_outlier|dimension_outlier|visual_suspect,True
internal_topup_004,test,source_v2,source_v2_240,accepted_prediction,0.03495491793679334,0.07046389,center_pairwise_max_mm=2.945; burial_pairwise_max_mm=0.100; feature_abs_z_max=2.193,internal_sphere,internal_sphere,True,deep_plus,small,compact,,1.1371681690216064,1.1595455408096313,1.0229709148406982,4.121827125549316,-24.09745979309082,-2.026090145111084,-4.587892532348633,0.13716809451580048,0.15954545140266418,0.022970838472247124,0.07817289233207703,1.906019926071167,0.0816749855875969,False,False,False,False,False,,True
internal_topup_022,test,source_v2,source_v2_240,accepted_prediction,0.0028071720807666912,0.07046389,center_pairwise_max_mm=2.392; burial_pairwise_max_mm=0.054; feature_abs_z_max=2.291,internal_sphere,internal_sphere,True,medium,small,compact,,1.2625092267990112,1.2107466459274292,1.0139187574386597,1.9861533641815186,-12.56557559967041,-1.6562819480895996,-2.5268759727478027,0.26250922679901123,0.21074654161930084,0.013918732292950153,0.01384667120873928,1.4752761125564575,0.0771021693944931,False,False,False,False,False,,True
internal_topup_039,test,source_v2,source_v2_240,accepted_prediction,0.014989523314091051,0.07046389,center_pairwise_max_mm=2.266; burial_pairwise_max_mm=0.087; feature_abs_z_max=2.126; f2_pred_train_range_violation_count=1.000,internal_cuboid,internal_cuboid,True,deep,large,elongated_x,,8.236337661743164,3.8383114337921143,1.4130510091781616,3.1912200450897217,34.76268005371094,-3.6531219482421875,-3.8744664192199707,0.2363370656967163,0.08831150084733963,0.013051088899374008,0.00877981074154377,0.8382453322410583,0.05928653106093407,False,False,False,False,False,,True
internal_topup_049,test,source_v2,source_v2_240,accepted_prediction,0.009522731608912025,0.07046389,center_pairwise_max_mm=0.800; burial_pairwise_max_mm=0.066; feature_abs_z_max=2.554,internal_sphere,internal_sphere,True,shallow,small,compact,,1.0144284963607788,1.101900577545166,1.0082310438156128,0.7878687381744385,-19.56224250793457,-5.63125467300415,-1.397143006324768,0.014428398571908474,0.10190054029226303,0.008231028914451599,0.012131232768297195,0.5805525183677673,0.045452896505594254,False,False,False,False,False,,True
internal_topup_052,test,source_v2,source_v2_240,accepted_prediction,0.03495491793679334,0.07046389,center_pairwise_max_mm=2.945; burial_pairwise_max_mm=0.100; feature_abs_z_max=2.193,internal_sphere,internal_sphere,True,deep_plus,small,compact,,1.1371681690216064,1.1595455408096313,1.0229709148406982,4.121827125549316,-24.09745979309082,-2.026090145111084,-4.587892532348633,0.13716809451580048,0.15954545140266418,0.022970838472247124,0.07817289233207703,1.906019926071167,0.0816749855875969,False,False,False,False,False,,True
internal_topup_085,test,source_v2,source_v2_240,accepted_prediction,0.009522731608912025,0.07046389,center_pairwise_max_mm=1.351; burial_pairwise_max_mm=0.019; feature_abs_z_max=2.526,internal_sphere,internal_sphere,True,shallow,small,compact,,0.9416004419326782,0.853715717792511,0.9900723695755005,0.8380554914474487,-20.864582061767578,-2.1126294136047363,-1.1730858087539673,0.05839962884783745,0.14628435671329498,0.009927665814757347,0.038055527955293655,0.8810759782791138,0.05337723717093468,False,False,False,False,False,,True
internal_topup_088,test,source_v2,source_v2_240,accepted_prediction,0.0364607124563605,0.07046389,center_pairwise_max_mm=3.144; burial_pairwise_max_mm=0.083; feature_abs_z_max=3.372,internal_sphere,internal_sphere,True,deep_plus,small,compact,,1.2063772678375244,1.1386959552764893,1.022465467453003,4.167202472686768,-23.205476760864258,1.5173498392105103,-4.598374843597412,0.20637723803520203,0.13869594037532806,0.022465478628873825,0.03279745578765869,2.8377187252044678,0.10553200542926788,False,False,False,False,False,,True
