variant,seed,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
C1_split_heads,42,True,train,curvature_template,LD_dominant,31,0.4888829016877759,2.702924735123111,1.8392184347875657,0.8543625743158402,0.1138093977745983,0.7579739770574625,0.8559385590197325,0.00040161773581677416
C1_split_heads,42,True,train,curvature_template,WD_dominant,34,0.44874479775043097,2.311945774975945,1.9781706948928974,0.8921929440077614,0.09552599674583796,0.7714966931297473,0.8630029561533837,0.0004349729445975219
C1_split_heads,42,True,train,curvature_template,boxy,32,0.4327737644780427,1.8899661782197654,1.735501992981881,0.7744753732113168,0.10244881475227885,0.7937907700571126,0.8772372992198472,0.0003698141600807503
C1_split_heads,42,True,train,curvature_template,round,33,0.5985380090547331,1.8613217771053314,1.8610836466153462,0.7611165056851777,0.1734644819728353,0.7615983223279128,0.8543874118990953,0.00041406468804008466
C1_split_heads,42,True,train,curvature_template,sharp,32,0.6513204680522904,1.2347945235669613,2.012593822320923,0.9114719009958208,0.19377123092999682,0.7784157456738745,0.868124736859172,0.00047871715310066065
C1_split_heads,42,True,train,depth_bin,deep,49,0.49094902511153904,2.4044510481917127,2.2747375911899974,0.7120741922788474,0.11643875817939335,0.7878111372962304,0.8726465272696013,0.0003866384652851872
C1_split_heads,42,True,train,depth_bin,medium,57,0.5098989420946229,1.8077974646237858,1.744497737079336,0.6901220316557508,0.1410386971965955,0.7861077122519702,0.8741755556503918,0.0003441206283337363
C1_split_heads,42,True,train,depth_bin,shallow,56,0.5666914443884578,1.8383969177625008,1.6916051526953066,1.1010422524330872,0.14704713743412867,0.7457240833844262,0.8452656978168341,0.0005267179649958312
C1_split_heads,42,True,train,aspect_bin,balanced,44,0.4480717431923205,1.4297447255389257,0.818670913238417,0.6865348482335155,0.1335581694517962,0.8621127143743768,0.9231086976505537,0.00034770640501268315
C1_split_heads,42,True,train,aspect_bin,compact,43,0.4313234212093575,2.108505222339963,1.0720467482541882,0.6930805985317674,0.11416719992493474,0.7464567530997079,0.8456310243820958,0.00033653934156592546
C1_split_heads,42,True,train,aspect_bin,narrow,33,0.5415163496226976,2.138747630697308,2.156075845613624,0.7433322652271299,0.14225513536031498,0.7307899184336083,0.8381542388851287,0.0003958891096717156
C1_split_heads,42,True,train,aspect_bin,wide,42,0.683889511085692,2.3728480938644636,3.627580196907123,1.2225474654918624,0.1547422873277572,0.7386849255080089,0.8401085466133758,0.0006005179173024814
C1_split_heads,42,True,val,curvature_template,LD_dominant,7,0.6447288862296513,2.4748655131884982,2.3272513832364763,0.8290671908429691,0.17988197372428008,0.6927142503902787,0.8107416408444293,0.0004216821357009134
