candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
starconvex_radial_screening,42,test,defect_type,multi_defect,16,0.5,62,0.31250384649675794,0.4533593633112255,1.1472829008866114,0.9812870869232763,0,0,62,-0.38141969107862805
starconvex_radial_screening,42,test,defect_type,polygon,16,0.5,75,0.31142013931053536,0.45589375519529757,1.0148243263307275,1.175023237168789,0,6,69,-0.24751043182489463
starconvex_radial_screening,42,test,defect_type,rotated_rect,16,0.5,63,0.4226558510940315,0.5857481872635633,0.4563974232127243,1.1673106282121606,0,8,55,0.5520066151448704
starconvex_radial_screening_mean,mean,test,area_bin,large,16,0.5,67,0.4045844206671868,0.5590020816741413,0.63791517539516,0.9386488433315683,0.0,9.0,58.0,0.3256713269461682
starconvex_radial_screening_std,sample_std,test,area_bin,large,16,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,area_bin,medium,16,0.5,66,0.351217122903743,0.503313841786711,0.6567472425671631,1.1290673339231447,0.0,5.0,61.0,0.19778372212329087
starconvex_radial_screening_std,sample_std,test,area_bin,medium,16,0.5,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,area_bin,small,16,0.5,67,0.28465046647260545,0.42582977511130454,1.3419517497204128,1.2701372419720265,0.0,0.0,67.0,-0.6314715081365028
starconvex_radial_screening_std,sample_std,test,area_bin,small,16,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,defect_type,multi_defect,16,0.5,62,0.31250384649675794,0.4533593633112255,1.1472829008866114,0.9812870869232763,0.0,0.0,62.0,-0.38141969107862805
starconvex_radial_screening_std,sample_std,test,defect_type,multi_defect,16,0.5,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,defect_type,polygon,16,0.5,75,0.31142013931053536,0.45589375519529757,1.0148243263307275,1.175023237168789,0.0,6.0,69.0,-0.24751043182489463
starconvex_radial_screening_std,sample_std,test,defect_type,polygon,16,0.5,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,defect_type,rotated_rect,16,0.5,63,0.4226558510940315,0.5857481872635633,0.4563974232127243,1.1673106282121606,0.0,8.0,55.0,0.5520066151448704
starconvex_radial_screening_std,sample_std,test,defect_type,rotated_rect,16,0.5,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,overall,all,16,0.5,200,0.3467953377500656,0.49601223981273906,0.8799820099608808,1.1125355587713421,0.0,14.0,186.0,-0.03717443239807616
starconvex_radial_screening_std,sample_std,test,overall,all,16,0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,signal_bin,low_signal,16,0.5,67,0.2654054869688443,0.3983309182725277,1.27985691342959,1.207942801402576,0.0,4.0,63.0,-0.6161205081882181
starconvex_radial_screening_std,sample_std,test,signal_bin,low_signal,16,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,signal_bin,non_low_signal,16,0.5,133,0.3877962400233124,0.5452201235961537,0.6785412691157414,1.0644732636112468,0.0,10.0,123.0,0.25447509450372474
starconvex_radial_screening_std,sample_std,test,signal_bin,non_low_signal,16,0.5,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening,42,val,overall,all,32,0.5,200,0.35642484007540204,0.5031179080924442,0.6949503097480414,1.063473194744438,0,13,186,0.16459243841980475
starconvex_radial_screening,42,val,area_bin,small,32,0.5,67,0.28512184782801503,0.41803074163951254,0.9923124553719078,1.1750634334870238,0,0,67,-0.28915986590438025
starconvex_radial_screening,42,val,area_bin,medium,32,0.5,66,0.3980284989877395,0.5494058313783668,0.5215746241588012,1.0447784944465666,0,3,62,0.4258597062073052
starconvex_radial_screening,42,val,area_bin,large,32,0.5,67,0.3867451235434716,0.5426080157861087,0.5683761529135752,0.9702986309221432,0,10,57,0.3609769864160052
starconvex_radial_screening,42,val,signal_bin,low_signal,32,0.5,67,0.27603878180399705,0.40876454163951004,0.9109112144352,1.1470269852164965,0,2,65,-0.22610789099169282
