model,selected_model,seed,split,subset,sample_count,selection_score,best_epoch,total_normalized_mae,dimension_mae_mm,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_x_mae_mm,center_y_mae_mm,center_z_mae_mm,shape_accuracy,shape_macro_f1
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,train,all,240,,256,0.07101745903491974,0.09908786416053772,0.14812065660953522,0.13586756587028503,0.013275348581373692,0.07773981988430023,0.3832853436470032,0.7757031917572021,0.2438804805278778,0.1302724927663803,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,train,source_v2,160,,256,0.07450195401906967,0.10184561461210251,0.14791180193424225,0.1428927481174469,0.014732325449585915,0.08007480949163437,0.3991904854774475,0.8094508051872253,0.2492610365152359,0.13885965943336487,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,train,hardcase_topup,80,,256,0.06404848396778107,0.09357231855392456,0.14853838086128235,0.12181718647480011,0.010361394844949245,0.07306986302137375,0.35147517919540405,0.7082080245018005,0.23311932384967804,0.11309819668531418,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,val,all,60,0.6533837318086603,256,0.32844078540802,0.5131202340126038,0.796787440776825,0.6700158715248108,0.07255730032920837,0.42341911792755127,1.1733951568603516,1.8175735473632812,1.227174997329712,0.4754372239112854,0.8333333333333334,0.8451985445340927
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,val,source_v2,40,,256,0.24544677138328552,0.36851179599761963,0.6231668591499329,0.41504064202308655,0.06732787191867828,0.2503539025783539,0.894109308719635,1.4425475597381592,0.8986696600914001,0.3411110043525696,0.925,0.9242636746143057
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,val,hardcase_topup,20,,256,0.4944287836551666,0.8023370504379272,1.1440287828445435,1.1799663305282593,0.08301618695259094,0.7695493698120117,1.7319670915603638,2.5676259994506836,1.8841853141784668,0.7440897226333618,0.65,0.45555555555555555
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,test,all,60,,256,0.4362282156944275,0.6825340390205383,0.8349550366401672,1.1311061382293701,0.08154087513685226,0.5375959277153015,1.7171448469161987,2.595536470413208,1.8711379766464233,0.6847603917121887,0.75,0.762861169837914
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,test,source_v2,40,,256,0.3680172562599182,0.5985108613967896,0.7709894776344299,0.9491115808486938,0.07543161511421204,0.43702933192253113,1.3491737842559814,1.9472990036010742,1.5823003053665161,0.5179222822189331,0.925,0.9259259259259259
H1_B2_feature_fusion_burial_head_hardcase_aug,False,42,test,hardcase_topup,20,,256,0.5726501941680908,0.8505802750587463,0.962885856628418,1.4950956106185913,0.09375940263271332,0.7387291193008423,2.453087329864502,3.892010450363159,2.448812961578369,1.0184369087219238,0.4,0.4331232492997199
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,train,all,240,,296,0.06989679485559464,0.11102063953876495,0.16038700938224792,0.15758760273456573,0.015087340027093887,0.0437668040394783,0.4144734740257263,0.8485056757926941,0.30701905488967896,0.08789578080177307,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,train,source_v2,160,,296,0.07473652809858322,0.12080231308937073,0.18722985684871674,0.1588618904352188,0.01631520502269268,0.042019739747047424,0.45222750306129456,0.9446780681610107,0.3202069103717804,0.09179750829935074,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,train,hardcase_topup,80,,296,0.060217324644327164,0.0914573073387146,0.10670127719640732,0.15503905713558197,0.012631608173251152,0.04726094752550125,0.3389654755592346,0.656160831451416,0.2806432843208313,0.08009233325719833,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,val,all,60,0.6507321584196317,296,0.31927284598350525,0.43531662225723267,0.6933994293212891,0.5326869487762451,0.07986338436603546,0.4459306299686432,1.1793121099472046,1.828705072402954,1.270333170890808,0.4388985335826874,0.7833333333333333,0.800952380952381
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,val,source_v2,40,,296,0.24700170755386353,0.3671291768550873,0.6187062859535217,0.4146694242954254,0.06801183521747589,0.2678430378437042,0.9721845984458923,1.661983847618103,0.9631199836730957,0.2914499044418335,0.9,0.8977272727272728
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,val,hardcase_topup,20,,296,0.4638150930404663,0.5716914534568787,0.8427858352661133,0.7687220573425293,0.10356651991605759,0.8021059036254883,1.5935673713684082,2.1621477603912354,1.884758472442627,0.7337958812713623,0.55,0.38518518518518513
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,test,all,60,,296,0.43697500228881836,0.6801144480705261,0.8749867677688599,1.0809462070465088,0.08441054821014404,0.5245035290718079,1.7105273008346558,2.5553689002990723,1.8990638256072998,0.67714923620224,0.8,0.8086680761099365
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,test,source_v2,40,,296,0.3749120831489563,0.6186516880989075,0.7797890305519104,1.0056190490722656,0.07054708153009415,0.45651012659072876,1.4024384021759033,2.1210556030273438,1.5127832889556885,0.5734766721725464,0.95,0.9505494505494506
H1_B2_feature_fusion_burial_head_hardcase_aug,False,123,test,hardcase_topup,20,,296,0.5611008405685425,0.8030397891998291,1.0653820037841797,1.2316001653671265,0.11213748157024384,0.6604905128479004,2.326704978942871,3.423994779586792,2.6716251373291016,0.884494423866272,0.5,0.508994708994709
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,train,all,240,,289,0.06600594520568848,0.09286372363567352,0.12359380722045898,0.14408810436725616,0.010909256525337696,0.06440212577581406,0.39604538679122925,0.8051412105560303,0.26464733481407166,0.11834768205881119,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,train,source_v2,160,,289,0.06681157648563385,0.09837751090526581,0.13939622044563293,0.14364629983901978,0.012089988216757774,0.0655093640089035,0.3976778984069824,0.8441762924194336,0.23881861567497253,0.1100388616323471,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,train,hardcase_topup,80,,289,0.06439469009637833,0.08183614909648895,0.09198900312185287,0.14497165381908417,0.00854779314249754,0.06218766048550606,0.3927803635597229,0.7270711064338684,0.3163047730922699,0.13496533036231995,1.0,1.0
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,val,all,60,0.6758169843746324,289,0.3377629816532135,0.4992833733558655,0.792090892791748,0.6373354196548462,0.0684238076210022,0.4347626268863678,1.2994329929351807,1.9551864862442017,1.415472149848938,0.527640163898468,0.8166666666666667,0.8311243196465578
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,val,source_v2,40,,289,0.24631938338279724,0.3801978826522827,0.6271145343780518,0.45731833577156067,0.05616078898310661,0.2322336733341217,0.9523452520370483,1.363010287284851,1.1380283832550049,0.3559970259666443,0.925,0.9242636746143057
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,val,hardcase_topup,20,,289,0.5206502676010132,0.7374544739723206,1.1220438480377197,0.997369647026062,0.09294984489679337,0.8398205041885376,1.9936082363128662,3.1395392417907715,1.9703593254089355,0.8709263205528259,0.6,0.4222222222222222
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,test,all,60,,289,0.4364608824253082,0.6553671360015869,0.8282517790794373,1.053179144859314,0.08467064797878265,0.5290311574935913,1.8700662851333618,3.094240665435791,1.828006386756897,0.6879521608352661,0.7666666666666667,0.7783650458069062
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,test,source_v2,40,,289,0.3550824820995331,0.5613321661949158,0.6777772307395935,0.9294658899307251,0.0767533928155899,0.4539446234703064,1.2317733764648438,1.8266520500183105,1.3195571899414062,0.5491109490394592,0.9,0.8999999999999999
H1_B2_feature_fusion_burial_head_hardcase_aug,False,2026,test,hardcase_topup,20,,289,0.5992174744606018,0.8434372544288635,1.12920081615448,1.3006056547164917,0.10050516575574875,0.679203987121582,3.1466522216796875,5.6294169425964355,2.844904661178589,0.9656349420547485,0.5,0.4962406015037594
H2_B2_hardcase_tail_weighted,True,42,train,all,240,,294,0.05670883134007454,0.0786687359213829,0.10254549235105515,0.12097622454166412,0.012484511360526085,0.051159363240003586,0.33219900727272034,0.6870242953300476,0.2246396839618683,0.08493300527334213,1.0,1.0
H2_B2_hardcase_tail_weighted,True,42,train,source_v2,160,,294,0.05739206448197365,0.08091839402914047,0.10814546793699265,0.12128695100545883,0.013322744518518448,0.05105719715356827,0.3186004161834717,0.6379898190498352,0.23744702339172363,0.08036451041698456,1.0,1.0
H2_B2_hardcase_tail_weighted,True,42,train,hardcase_topup,80,,294,0.05534237623214722,0.07416945695877075,0.09134553372859955,0.12035477161407471,0.010808046907186508,0.051363710314035416,0.3593961000442505,0.7850933074951172,0.19902506470680237,0.09406999498605728,1.0,1.0
H2_B2_hardcase_tail_weighted,True,42,val,all,60,0.6327493662963987,294,0.32293206453323364,0.505588173866272,0.7705495953559875,0.6775685548782349,0.06864635646343231,0.4271515905857086,1.1335506439208984,1.731265664100647,1.176196575164795,0.4931897819042206,0.7666666666666667,0.7774830533451224
H2_B2_hardcase_tail_weighted,True,42,val,source_v2,40,,294,0.2365165501832962,0.3676612079143524,0.6305190324783325,0.41089680790901184,0.061567820608615875,0.23287157714366913,0.8544605374336243,1.3254883289337158,0.9083166718482971,0.32957667112350464,0.875,0.8701298701298702
H2_B2_hardcase_tail_weighted,True,42,val,hardcase_topup,20,,294,0.49576306343078613,0.7814420461654663,1.0506106615066528,1.2109121084213257,0.0828033834695816,0.8157115578651428,1.6917309761047363,2.542820692062378,1.71195650100708,0.8204160332679749,0.55,0.39571150097465885
H2_B2_hardcase_tail_weighted,True,42,test,all,60,,294,0.4217822849750519,0.6366268992424011,0.7921104431152344,1.0381202697753906,0.07965001463890076,0.5313616991043091,1.7092565298080444,2.6131107807159424,1.8540452718734741,0.6606128215789795,0.7666666666666667,0.7781625781625782
