model,observation_config,seed,selected_model,split,group_field,group_value,sample_count,total_normalized_mae,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,shape_type,internal_cuboid,13,0.5198126435279846,0.6644346714019775,2.1464178562164307,0.9230769230769231,0.32,6,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,shape_type,internal_ellipsoid,4,0.45632264018058777,0.41190144419670105,1.4791028499603271,1.0,0.3333333333333333,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,shape_type,internal_sphere,3,0.6027234196662903,0.9217336773872375,2.4065561294555664,1.0,0.3333333333333333,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,burial_depth_level,deep,4,0.4387921988964081,0.6245169043540955,2.4894680976867676,0.75,0.2857142857142857,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,burial_depth_level,deep_plus,9,0.4607377052307129,0.35157209634780884,2.0001778602600098,1.0,1.0,4,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,burial_depth_level,medium,2,0.7726263999938965,0.9085588455200195,1.7021422386169434,1.0,0.6666666666666666,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,burial_depth_level,shallow,5,0.588792622089386,1.1142247915267944,1.9351513385772705,1.0,0.6666666666666666,3,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,size_level,large,10,0.4744345545768738,0.6423556804656982,2.069486141204834,1.0,1.0,3,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,size_level,medium,8,0.4947393238544464,0.6527595520019531,2.0142483711242676,0.875,0.5696969696969697,5,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,size_level,small,2,0.8443822860717773,0.7024120092391968,2.115332841873169,1.0,0.6666666666666666,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,aspect_bin,compact,12,0.49496719241142273,0.5930643081665039,2.1796412467956543,1.0,1.0,6,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,aspect_bin,elongated_x,1,0.9197617173194885,1.1431611776351929,2.9878177642822266,1.0,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,aspect_bin,elongated_y,7,0.5045223832130432,0.6843608617782593,1.6994284391403198,0.8571428571428571,0.562962962962963,3,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,shape_type,internal_ellipsoid,3,0.6950715184211731,0.7980985045433044,1.5717664957046509,0.3333333333333333,0.16666666666666666,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,shape_type,internal_sphere,2,0.43223071098327637,0.562271773815155,1.0448414087295532,1.0,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,burial_depth_level,deep,1,0.49734100699424744,0.3414084315299988,0.3158727288246155,1.0,0.3333333333333333,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,burial_depth_level,deep_plus,3,0.5589704513549805,0.5522645115852356,1.7518330812454224,0.6666666666666666,0.5555555555555555,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,burial_depth_level,shallow,1,0.7754237055778503,1.5206371545791626,1.2336103916168213,0.0,0.0,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,size_level,large,2,0.4850340187549591,0.5484456419944763,1.4052046537399292,0.5,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,size_level,medium,3,0.659869372844696,0.80731600522995,1.3315242528915405,0.6666666666666666,0.5555555555555555,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,aspect_bin,compact,3,0.5466283559799194,0.8817269206047058,1.1077643632888794,0.6666666666666666,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,aspect_bin,elongated_x,1,0.706843376159668,0.5599023103713989,2.44508957862854,1.0,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,aspect_bin,elongated_y,1,0.6029476523399353,0.3137560486793518,1.0365993976593018,0.0,0.0,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,shape_type,internal_ellipsoid,3,0.6396397352218628,0.639564037322998,1.9986534118652344,0.6666666666666666,0.26666666666666666,2,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,shape_type,internal_sphere,2,0.6143967509269714,1.2379833459854126,2.239515781402588,1.0,0.3333333333333333,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,burial_depth_level,deep_plus,4,0.6089501976966858,0.5535815954208374,2.2435250282287598,0.75,0.6,3,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,burial_depth_level,shallow,1,0.7119120955467224,2.180332660675049,1.5008912086486816,1.0,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,size_level,large,3,0.6544168591499329,1.2853668928146362,2.1402878761291504,0.6666666666666666,0.5555555555555555,3,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,size_level,medium,1,0.5168815851211548,0.2956341505050659,2.978140354156494,1.0,0.3333333333333333,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,size_level,small,1,0.667580783367157,0.24292385578155518,1.0759879350662231,1.0,0.3333333333333333,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,aspect_bin,compact,3,0.5912360548973083,1.195049524307251,2.4293251037597656,0.6666666666666666,0.3333333333333333,3,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,aspect_bin,elongated_y,2,0.6870023012161255,0.4047551155090332,1.5935078859329224,1.0,0.3333333333333333,1,0
